screenH,OS,workerid,Browser,screenW
900,Windows,0,Chrome,1440
768,Windows,1,Chrome,1366
1080,Windows,2,Chrome,1920
1440,Mac,3,Chrome,2560
1080,Windows,4,Firefox,1920
712,Linux,5,Chrome,1138
864,Windows,6,Chrome,1536
900,Windows,7,Chrome,1440
864,Windows,8,Chrome,1536
900,Windows,9,Chrome,1600
864,Windows,10,Chrome,1536
1080,Windows,11,Chrome,1920
1080,Windows,12,Chrome,1920
900,Windows,13,Chrome,1600
768,Windows,14,Chrome,1366
720,Windows,15,Chrome,1280
864,Linux,16,Chrome,1536
1080,Windows,17,Chrome,1920
900,Mac,18,Chrome,1440
900,Mac,19,Chrome,1440
768,Windows,20,Firefox,1366
1080,Windows,21,Chrome,1920
1024,an unknown OS,22,Safari,768
1080,Windows,23,Firefox,1920
972,Windows,24,Firefox,1728
1080,Mac,25,Chrome,1920
900,Mac,26,Chrome,1440
640,Linux,27,Chrome,360
1050,Windows,28,Chrome,1680
900,Mac,29,Chrome,1440
1080,Mac,30,Firefox,1920
900,Mac,31,Firefox,1440
768,Windows,32,Chrome,1366
768,Windows,33,Firefox,1366
1200,Windows,34,Chrome,1920
800,Mac,35,Chrome,1280
768,Windows,36,Firefox,1366
720,Windows,37,Chrome,1280
768,Linux,38,Chrome,1366
768,Windows,39,Chrome,1366
768,Mac,40,Chrome,1366
720,Windows,41,Chrome,1280
768,Windows,42,Chrome,1366
768,Windows,43,Chrome,1366
800,Mac,44,Chrome,1280
768,Windows,45,Chrome,1360
1080,Windows,46,Chrome,1920
768,Windows,47,Chrome,1366
768,Windows,48,Chrome,1366
768,Windows,49,Chrome,1366
600,Windows,50,Chrome,1024
900,Windows,51,Chrome,1600
1080,Windows,52,Firefox,1920
768,Windows,53,Chrome,1366
900,Windows,54,Chrome,1600
1024,an unknown OS,55,Safari,768
1000,Windows,56,Firefox,1600
864,Windows,57,Chrome,1536
900,Windows,58,Chrome,1600
615,Windows,59,Chrome,1092
1080,Windows,60,Chrome,1920
1050,Mac,61,Chrome,1680
576,Windows,62,Firefox,1024
1080,Windows,63,Chrome,1920
1080,Windows,64,Chrome,1920
768,Windows,65,Chrome,1366
768,Windows,66,Chrome,1366
768,Windows,67,Chrome,1364
1080,Windows,68,Chrome,1920
768,Linux,69,Chrome,1366
768,Windows,70,Chrome,1366
768,Windows,71,Chrome,1366
768,Windows,72,Chrome,1366
1080,Windows,73,Chrome,1920
800,Windows,74,Chrome,1280
1080,Windows,75,Chrome,1920
768,Windows,76,Chrome,1366
900,Windows,77,Chrome,1440
1200,Windows,78,Chrome,1920
768,Windows,79,Chrome,1366
1050,Windows,80,Chrome,1680
1080,Mac,81,Firefox,1920
720,Windows,82,Chrome,1280
768,Windows,83,Chrome,1366
900,Windows,84,Chrome,1600
768,Windows,85,Chrome,1366
864,Windows,86,Firefox,1536
768,Windows,87,Firefox,1366
1080,Windows,88,Chrome,1920
1080,Windows,89,Chrome,1920
800,Mac,90,Chrome,1280
768,Windows,91,Chrome,1366
900,Windows,92,Chrome,1600
768,Windows,93,Firefox,1366
720,Linux,94,Chrome,360
768,Windows,95,Chrome,1366
1080,Windows,96,Chrome,1920
720,Windows,97,Chrome,1280
1080,Windows,98,Chrome,1920
1080,Mac,99,Chrome,1920
1206,Windows,100,Firefox,2144
768,Windows,101,Chrome,1366
1080,Windows,102,Chrome,1920
768,Windows,103,Chrome,1366
864,Windows,104,Chrome,1536
1440,Windows,105,Chrome,2560
800,Windows,106,Chrome,1280
768,Windows,107,Chrome,1366
768,Linux,108,Chrome,1366
1080,Windows,109,Chrome,1920
900,Mac,110,Safari,1440
1080,Windows,111,Chrome,1920
720,Windows,112,Chrome,1280
1080,Windows,113,Chrome,1920
900,Windows,114,Chrome,1600
1080,Windows,115,Chrome,1920
1080,Windows,116,Chrome,1920
768,Linux,117,Chrome,1366
768,Windows,118,Chrome,1366
864,Windows,119,Chrome,1536
864,Windows,120,Chrome,1536
768,Windows,121,Chrome,1364
1080,Windows,122,Chrome,1920
1080,Windows,123,Chrome,1920
1080,Windows,124,Chrome,1920
618,Windows,125,Chrome,1098
768,Windows,126,Chrome,1366
1024,Windows,127,Chrome,1280
720,Linux,128,Chrome,360
864,Windows,129,Chrome,1536
768,Linux,130,Chrome,1366
800,Mac,131,Chrome,1280
768,Linux,132,Chrome,1366
864,Windows,133,Chrome,1536
768,Windows,134,Chrome,1366
768,Windows,135,Chrome,1366
768,Windows,136,Chrome,1366
768,Linux,137,Chrome,1366
768,Linux,138,Chrome,1366
768,Windows,139,Chrome,1366
1080,Windows,140,Chrome,1920
1080,Windows,141,Firefox,1920
768,Windows,142,Chrome,1366
768,Windows,143,Firefox,1366
800,Mac,144,Chrome,1280
900,Windows,145,Chrome,1440
1024,Windows,146,Firefox,1280
768,Linux,147,Chrome,1366
1080,Windows,148,Chrome,1920
892,Linux,149,Chrome,412
768,Windows,150,Firefox,1366
615,Windows,151,Chrome,1093
1080,Windows,152,Chrome,1920
2160,Windows,153,Chrome,3840
900,Mac,154,Safari,1440
962,Linux,155,Chrome,601
768,Windows,156,Chrome,1366
768,Windows,157,Firefox,1366
768,Windows,158,Chrome,1280
1080,Windows,159,Chrome,1920
912,Windows,160,Chrome,1368
1080,Windows,161,Chrome,1920
768,Windows,162,Chrome,1366
1024,Windows,163,Chrome,1821
1080,Windows,164,Firefox,1920
800,Linux,165,Chrome,1280
768,Windows,166,Chrome,1366
800,Linux,167,Chrome,1200
768,Windows,168,Chrome,1360
1080,Windows,169,Chrome,1920
615,Windows,170,Chrome,1093
1024,Windows,171,Chrome,1280
1080,Windows,172,Chrome,1920
1080,Windows,173,Chrome,1920
640,Linux,174,Chrome,360
768,Windows,175,Chrome,1366
1080,Windows,176,Chrome,1920
900,Mac,177,Chrome,1440
800,Windows,178,Chrome,1280
1080,Windows,179,Chrome,1920
1080,Windows,180,Chrome,1920
768,Windows,181,Chrome,1366
1080,Windows,182,Chrome,1920
768,Windows,183,Chrome,1366
864,Windows,184,Chrome,1536
768,Windows,185,Chrome,1366
768,Windows,186,Chrome,1366
768,Windows,187,Chrome,1366
900,Mac,188,Chrome,1440
800,Windows,189,Chrome,1280
864,Windows,190,Chrome,1536
1013,Mac,191,Firefox,1621
864,Windows,192,Chrome,1536
740,Linux,193,Chrome,360
800,Mac,194,Chrome,1280
900,Windows,195,Chrome,1600
800,Mac,196,Safari,1280
1080,Windows,197,Chrome,1920
1080,Windows,198,Chrome,1920
834,Windows,199,Chrome,1334
900,Windows,200,Chrome,1600
768,Windows,201,Chrome,1366
768,Windows,202,Chrome,1366
1320,Windows,203,Firefox,2347
1080,Windows,204,Chrome,1920
1080,Mac,205,Chrome,1920
1080,Windows,206,Chrome,1920
768,Windows,207,Chrome,1366
640,Windows,208,Chrome,1024
900,Windows,209,Chrome,1600
768,Windows,210,Chrome,1366
1080,Windows,211,Chrome,1920
768,Windows,212,Chrome,1366
905,Windows,213,Firefox,1131
768,Windows,214,Chrome,1366
900,Windows,215,Chrome,1440
864,Windows,216,Chrome,1152
1080,Windows,217,Chrome,1920
1080,Windows,218,Firefox,1920
1080,Windows,219,Chrome,1920
900,Windows,220,Chrome,1600
1080,Windows,221,Chrome,1920
