gender,comments,age,language,workerid,american
female,,31,English,0,Yes
male,no,46,English,1,Yes
male,GOOD SURVEY,31,ENGLISH,2,Yes
male,its very interesting,51,ENGLISH,3,Yes
female,,30,English,4,Yes
male,,21,English,5,Yes
female,It really made me look deeper at how I come to conclusions based on peoples statements,34,English,6,Yes
male,,37,English,7,Yes
male,thank you,53,english,8,Yes
female,,33,english,9,Yes
male,,41,eng,10,Yes
male,n/a,33,English,11,Yes
female,none ,30,English,12,Yes
male,None.,32,English,13,Yes
female,The study went well. Thank you for making me a part of this study.,25,English,14,Yes
male,Some of those were both probable and improbable. They really made me think.,44,English,15,Yes
female,,60,English,16,Yes
female,no,40,United States,17,Yes
male,no comments,38,english,18,Yes
male,,30,English,19,Yes
male,i did my best these are very ambiguous ,39,english,20,Yes
male,,43,English,21,Yes
male,thank you so much,27,english,22,Yes
female,None thank you,35,English,23,Yes
female,easy task,43,English,24,Yes
male,"None really, thanks",50,English,25,Yes
male,,33,English,26,Yes
female,,38,English,27,Yes
male,its very interesting,41,English,28,Yes
female,,33,English,29,Yes
male,Thanks for paying fair!,30,English,30,Yes
female,,60,English,31,Yes
male,Very Interesting ,30,English,32,Yes
female,Kinda hard with every sentence ends with a question mark.,33,English,33,Yes
female,no comment,45,English,34,Yes
male,I always love your HITS!,45,English,35,Yes
female,,49,english,36,Yes
male,no,48,English,37,Yes
female,no,30,english,38,Yes
male,,43,English,39,Yes
male,,54,English,40,Yes
male,Good,29,English,41,Yes
female,,32,English,42,Yes
female,,37,english,43,Yes
male,,33,english,44,Yes
male,,25,English,45,Yes
female,,33,English,46,Yes
male,,34,English,47,Yes
female,,54,English,48,Yes
male,no problems,45,English,49,Yes
female,Good Survey,41,English,50,Yes
male,,27,ENGLISH,51,Yes
male,,38,English,52,Yes
female,Thanks!,26,English,53,Yes
female,no,27,English,54,Yes
male,,33,English,55,Yes
male,,40,English,56,Yes
male,,54,English,57,Yes
female,,51,ENGLISH,58,Yes
male,,42,english,59,Yes
female,This was an interesting study. Thank you for the great experience,47,english,60,Yes
female,I thought that it was interesting,43,English,61,Yes
male,None,33,English,62,Yes
male,,26,English,63,Yes
male,"Enjoyable, thanks!",60,English,64,Yes
male,,31,English,65,Yes
male,,56,English,66,Yes
female,"I feel like I was a bit confused in this experiment. I felt like depending on how you read a couple of the sentences you can answer either yes or no in the second part, and I just went with the first interpretation I made. I also felt that the first part was a bit confusing when the fact did not mention a person. I think one of them had to do with a hats. The fact was hats are worn on the top of the head, and the question was how likely is it that someone has a new hat. I was confused on how to answer that question. I think I just chose the middle option becuase I thought it was neither likely nor unlikely, but now I'm leaning towards unlikely. I don't know.",23,English,67,Yes
female,,45,English,68,Yes
male,,38,English,69,Yes
male,,25,English,70,Yes
male,,41,ENGLISH,71,Yes
male,no,28,english,72,Yes
male,,39,English ,73,Yes
male,I did not notice any questions that had an obvious answer as mentioned in the instructions. I read everything carefully.,41,english,74,Yes
male,What does jack playing with kids have to do with ice cream?,28,English,75,Yes
female,none,65,English,76,Yes
male,,34,English,77,Yes
male,,29,English,78,Yes
female,Nice Survey...,29,English,79,Yes
male,n/a,28,English,80,Yes
male,,46,english,81,Yes
male,,42,english,82,Yes
female,I didn't see any attention checks and that is worrisome to me.,55,English,83,Yes
male,,40,English,84,Yes
female,,57,English,85,Yes
male,i read everything very good but I tend to overthink things,24,english,86,Yes
male,,25,english,87,Yes
female,The instructions were clear. Thank you,31,English,88,Yes
female,enjoyable hit,36,english,89,Yes
female,,31,English,90,Yes
male,Thanks,32,english,91,Yes
female,,47,English,92,Yes
female,,34,English,93,Yes
male,no,65,Enflish,94,Yes
male,,36,English,95,Yes
female,Its an interesting study,38,English,96,Yes
male,Interesting,32,English,97,Yes
male,,34,english,98,Yes
female,n/a,40,English,99,Yes
male,,62,English,100,Yes
female,Great questions.  really made me think.,55,English,101,Yes
female,,58,English,102,Yes
female,,36,English,103,Yes
male,nice,28,english,104,Yes
male,,34,english,105,Yes
female,Thanks for allowing my participation. ,31,English,106,Yes
female,None,32,english,107,Yes
male,,41,English,108,Yes
female,nice,25,english,109,Yes
female,"I did my best to give answers based on the requirements, it was a little confusing at first.",25,English,110,Yes
female,,37,English,111,Yes
male,,37,English,112,Yes
female,,41,English,113,Yes
female,,23,English,114,Yes
female,,46,english,115,Yes
male,good,44,English,116,Yes
male,,42,english,117,Yes
female,,25,English,118,Yes
male,,36,English,119,Yes
male,,25,English,120,Yes
male,GOOD SURVEY,31,ENGLISH,121,Yes
female,,57,English,122,Yes
female,,55,english,123,Yes
male,,34,English,124,Yes
male,,30,English,125,Yes
female,,26,English,126,Yes
male,,32,English,127,Yes
male,"People can be certain of things that are not true, and doubt things that are true. Thought provoking test.",82,English ,128,Yes
male,,41,English,129,Yes
female,,51,english,130,Yes
other,,34,English,131,Yes
male,Fun,26,English,132,Yes
