content,trigger_class,block,question_type,workerid,slide_number_in_experiment,prior_fact,rt,Answer.time_in_minutes,trigger,prior,response,short_trigger
kids,MC,block1,projective,0,5,Many children like ice cream,9723,4.314783333333334,MC,,0.03,MC
josh,C,block1,projective,0,6,Josh is a 75-year old man,11421,4.314783333333334,pretend,low_prior,0.01,pretend
mia,C,block1,projective,0,7,Mia is a college student,11539,4.314783333333334,suggest,high_prior,0.18,suggest
muffins,MC,block1,projective,0,8,Muffins are sold at the bakery,6264,4.314783333333334,MC,,0.01,MC
garage,MC,block1,projective,0,9,Garages are used to store cars and other things,13676,4.314783333333334,MC,,0.03,MC
frank,C,block1,projective,0,10,Frank has always wanted a pet,4143,4.314783333333334,confess,high_prior,0.42,confess
charley,C,block1,projective,0,11,Charley lives in Korea,3390,4.314783333333334,be_right,low_prior,0.01,be_right
isabella,C,block1,projective,0,12,Isabella is from Argentina,6516,4.314783333333334,discover,high_prior,0.05,discover
jackson,C,block1,projective,0,13,Jackson is training for a marathon,4223,4.314783333333334,think,high_prior,0.51,think
emma,C,block1,projective,0,14,Emma is in first grade,5009,4.314783333333334,demonstrate,low_prior,0.62,demonstrate
emily,C,block1,projective,0,15,Emily never has any money,4091,4.314783333333334,announce,low_prior,0,announce
zoe,C,block1,projective,0,16,Zoe is 5 years old,3418,4.314783333333334,confirm,low_prior,0,confirm
josie,C,block1,projective,0,17,Josie doesn't have a passport,4022,4.314783333333334,see,low_prior,0,see
hat,MC,block1,projective,0,18,Hats are worn on the head,3741,4.314783333333334,MC,,0.16,MC
pizza,MC,block1,projective,0,19,Pizza is sold at the pizzeria,3007,4.314783333333334,MC,,0.1,MC
ballet,MC,block1,projective,0,20,Ballet is a type of dance,2614,4.314783333333334,MC,,0.31,MC
grace,C,block1,projective,0,21,Grace hates her sister,3218,4.314783333333334,reveal,low_prior,0,reveal
jon,C,block1,projective,0,22,Jon lives 2 blocks away from work,4625,4.314783333333334,hear,high_prior,0.7,hear
olivia,C,block1,projective,0,23,Olivia has two small children,8884,4.314783333333334,prove,low_prior,0,prove
tony,C,block1,projective,0,24,Tony has been sober for 20 years,4345,4.314783333333334,know,low_prior,0,know
danny,C,block1,projective,0,25,Danny loves cake,6073,4.314783333333334,admit,high_prior,0.59,admit
jayden,C,block1,projective,0,26,Jayden's car is in the shop,3972,4.314783333333334,be_annoyed,high_prior,0.49,be_annoyed
owen,C,block1,projective,0,27,Owen lives in Chicago,3459,4.314783333333334,say,high_prior,0.83,say
sophia,C,block1,projective,0,28,Sophia is a hipster,6506,4.314783333333334,inform,high_prior,0.22,inform
julian,C,block1,projective,0,29,Julian is German,2616,4.314783333333334,establish,low_prior,0,establish
mary,C,block1,projective,0,30,Mary is taking a prenatal yoga class,6174,4.314783333333334,acknowledge,high_prior,1,acknowledge
tony,C,block2,prior,0,32,Tony has been sober for 20 years,3609,4.314783333333334,know,low_prior,0.07,know
julian,C,block2,prior,0,33,Julian is German,3489,4.314783333333334,establish,low_prior,0.25,establish
josh,C,block2,prior,0,34,Josh is a 75-year old man,3016,4.314783333333334,pretend,low_prior,0.06,pretend
muffins,MC,block2,prior,0,35,Muffins are sold at the bakery,2062,4.314783333333334,MC,,0.85,MC
emma,C,block2,prior,0,36,Emma is in first grade,3610,4.314783333333334,demonstrate,low_prior,0.63,demonstrate
olivia,C,block2,prior,0,37,Olivia has two small children,2201,4.314783333333334,prove,low_prior,0.04,prove
mia,C,block2,prior,0,38,Mia is a college student,2143,4.314783333333334,suggest,high_prior,0.89,suggest
sophia,C,block2,prior,0,39,Sophia is a hipster,2313,4.314783333333334,inform,high_prior,0.66,inform
grace,C,block2,prior,0,40,Grace hates her sister,1859,4.314783333333334,reveal,low_prior,0.1,reveal
ballet,MC,block2,prior,0,41,Ballet is a type of dance,4646,4.314783333333334,MC,,0.63,MC
owen,C,block2,prior,0,42,Owen lives in Chicago,2052,4.314783333333334,say,high_prior,0.97,say
josie,C,block2,prior,0,43,Josie doesn't have a passport,2644,4.314783333333334,see,low_prior,0,see
charley,C,block2,prior,0,44,Charley lives in Korea,5148,4.314783333333334,be_right,low_prior,0.2,be_right
frank,C,block2,prior,0,45,Frank has always wanted a pet,2966,4.314783333333334,confess,high_prior,0.84,confess
mary,C,block2,prior,0,46,Mary is taking a prenatal yoga class,2102,4.314783333333334,acknowledge,high_prior,1,acknowledge
danny,C,block2,prior,0,47,Danny loves cake,2142,4.314783333333334,admit,high_prior,0.94,admit
garage,MC,block2,prior,0,48,Garages are used to store cars and other things,2193,4.314783333333334,MC,,0.4,MC
jon,C,block2,prior,0,49,Jon lives 2 blocks away from work,2160,4.314783333333334,hear,high_prior,0.89,hear
hat,MC,block2,prior,0,50,Hats are worn on the head,2402,4.314783333333334,MC,,0.5,MC
emily,C,block2,prior,0,51,Emily never has any money,2353,4.314783333333334,announce,low_prior,0.05,announce
zoe,C,block2,prior,0,52,Zoe is 5 years old,2343,4.314783333333334,confirm,low_prior,0,confirm
kids,MC,block2,prior,0,53,Many children like ice cream,3309,4.314783333333334,MC,,0.37,MC
jackson,C,block2,prior,0,54,Jackson is training for a marathon,1991,4.314783333333334,think,high_prior,0.86,think
isabella,C,block2,prior,0,55,Isabella is from Argentina,2211,4.314783333333334,discover,high_prior,0.46,discover
pizza,MC,block2,prior,0,56,Pizza is sold at the pizzeria,1872,4.314783333333334,MC,,0.89,MC
jayden,C,block2,prior,0,57,Jayden's car is in the shop,2835,4.314783333333334,be_annoyed,high_prior,0.89,be_annoyed
pizza,MC,block1,projective,1,5,Pizza is sold at the pizzeria,8271,4.797983333333334,MC,,0.84,MC
josh,C,block1,projective,1,6,Josh is a 5-year old boy,1769,4.797983333333334,admit,high_prior,0.53,admit
frank,C,block1,projective,1,7,Frank is allergic to cats,1879,4.797983333333334,hear,low_prior,0.66,hear
mary,C,block1,projective,1,8,Mary is a middle school student,1215,4.797983333333334,prove,low_prior,0.42,prove
hat,MC,block1,projective,1,9,Hats are worn on the head,1072,4.797983333333334,MC,,0.62,MC
owen,C,block1,projective,1,10,Owen lives in New Orleans,1057,4.797983333333334,discover,low_prior,0.41,discover
jackson,C,block1,projective,1,11,Jackson is obese,2134,4.797983333333334,pretend,low_prior,0.63,pretend
muffins,MC,block1,projective,1,12,Muffins are sold at the bakery,1218,4.797983333333334,MC,,0.28,MC
tony,C,block1,projective,1,13,Tony really likes to party with his friends,1752,4.797983333333334,demonstrate,high_prior,0.66,demonstrate
jayden,C,block1,projective,1,14,Jayden's car is in the shop,1088,4.797983333333334,acknowledge,high_prior,0.73,acknowledge
garage,MC,block1,projective,1,15,Garages are used to store cars and other things,977,4.797983333333334,MC,,0.74,MC
ballet,MC,block1,projective,1,16,Ballet is a type of dance,1479,4.797983333333334,MC,,0.24,MC
jon,C,block1,projective,1,17,Jon lives 2 blocks away from work,1992,4.797983333333334,be_annoyed,high_prior,0.56,be_annoyed
josie,C,block1,projective,1,18,Josie doesn't have a passport,1111,4.797983333333334,say,low_prior,0.77,say
isabella,C,block1,projective,1,19,Isabella is from Argentina,921,4.797983333333334,see,high_prior,0.54,see
julian,C,block1,projective,1,20,Julian is German,1112,4.797983333333334,confess,low_prior,0.75,confess
emma,C,block1,projective,1,21,Emma is in first grade,2214,4.797983333333334,think,low_prior,0.51,think
kids,MC,block1,projective,1,22,Many children like ice cream,945,4.797983333333334,MC,,0.58,MC
olivia,C,block1,projective,1,23,Olivia works the third shift,864,4.797983333333334,know,high_prior,0.39,know
emily,C,block1,projective,1,24,Emily never has any money,2111,4.797983333333334,confirm,low_prior,0.2,confirm
danny,C,block1,projective,1,25,Danny loves cake,2072,4.797983333333334,reveal,high_prior,0.65,reveal
zoe,C,block1,projective,1,26,Zoe is a math major,1616,4.797983333333334,announce,high_prior,0.25,announce
grace,C,block1,projective,1,27,Grace hates her sister,1023,4.797983333333334,be_right,low_prior,0.69,be_right
mia,C,block1,projective,1,28,Mia is a nun,5253,4.797983333333334,inform,low_prior,0.65,inform
sophia,C,block1,projective,1,29,Sophia is a hipster,11104,4.797983333333334,suggest,high_prior,0.6,suggest
charley,C,block1,projective,1,30,Charley lives in Mexico,6255,4.797983333333334,establish,high_prior,0.08,establish
isabella,C,block2,prior,1,32,Isabella is from Argentina,4926,4.797983333333334,see,high_prior,0.81,see
danny,C,block2,prior,1,33,Danny loves cake,6879,4.797983333333334,reveal,high_prior,0.88,reveal
mary,C,block2,prior,1,34,Mary is a middle school student,7898,4.797983333333334,prove,low_prior,0.04,prove
zoe,C,block2,prior,1,35,Zoe is a math major,6760,4.797983333333334,announce,high_prior,0.74,announce
pizza,MC,block2,prior,1,36,Pizza is sold at the pizzeria,4471,4.797983333333334,MC,,0.09,MC
