item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact
acknowledge_charley,charley,acknowledge,8,low_prior,Charley lives in Korea,block2,1,0.11,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,12,low_prior,Charley lives in Korea,block1,0.74,0.02,0.66,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,50,low_prior,Charley lives in Korea,block1,0.79,0.05,0.61,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,67,high_prior,Charley lives in Mexico,block2,0.030000000000000027,0.81,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,129,low_prior,Charley lives in Korea,block2,1,0.5,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,157,high_prior,Charley lives in Mexico,block1,0.99,0.81,0.14,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,184,high_prior,Charley lives in Mexico,block1,0.85,0.84,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,194,high_prior,Charley lives in Mexico,block1,0.73,0.93,0.94,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,221,low_prior,Charley lives in Korea,block1,0.51,0.45,0.11,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,236,low_prior,Charley lives in Korea,block2,0.86,0.22,0.91,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,261,high_prior,Charley lives in Mexico,block2,0.94,0.91,0.91,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,301,low_prior,Charley lives in Korea,block1,0.95,0.05,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,326,high_prior,Charley lives in Mexico,block2,0.98,0.97,0.93,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,374,low_prior,Charley lives in Korea,block2,0.99,0.48,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,423,high_prior,Charley lives in Mexico,block1,0.69,0.91,0.72,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,444,high_prior,Charley lives in Mexico,block2,0.86,0.82,0.13,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,446,high_prior,Charley lives in Mexico,block2,0.17000000000000004,0.49,0.33,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,448,low_prior,Charley lives in Korea,block2,1,0.28,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,470,low_prior,Charley lives in Korea,block2,0.92,0.33,0.76,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,488,high_prior,Charley lives in Mexico,block1,0,0.97,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,530,low_prior,Charley lives in Korea,block2,0.95,0.59,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,540,high_prior,Charley lives in Mexico,block2,0.86,0.95,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
acknowledge_charley,charley,acknowledge,555,low_prior,Charley lives in Korea,block1,1,0.42,0.62,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,587,low_prior,Charley lives in Korea,block1,1,0.33,0.75,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
acknowledge_charley,charley,acknowledge,596,high_prior,Charley lives in Mexico,block2,0.17000000000000004,0.2,0.57,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,26,low_prior,Charley lives in Korea,block2,0.13,0.1,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,68,low_prior,Charley lives in Korea,block2,0.98,0.17,0.7,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,122,low_prior,Charley lives in Korea,block1,0.88,0.18,0.87,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,151,high_prior,Charley lives in Mexico,block1,1,0.76,0.46,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,169,low_prior,Charley lives in Korea,block2,0.44999999999999996,0.21,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,170,high_prior,Charley lives in Mexico,block2,0.20999999999999996,0.97,0.2,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,172,low_prior,Charley lives in Korea,block1,0.94,0.24,0.76,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,187,high_prior,Charley lives in Mexico,block2,0.9299999999999999,0.94,0.62,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,204,low_prior,Charley lives in Korea,block2,0.63,0.26,0.1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,275,high_prior,Charley lives in Mexico,block2,0.22999999999999998,0.98,0.65,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,295,low_prior,Charley lives in Korea,block1,0,0.32,0.54,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,303,low_prior,Charley lives in Korea,block1,0.6699999999999999,0.18,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,311,low_prior,Charley lives in Korea,block2,0.9,0.02,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,314,high_prior,Charley lives in Mexico,block2,0.51,0.91,0.34,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,350,high_prior,Charley lives in Mexico,block2,0.91,0.9,0.93,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,357,high_prior,Charley lives in Mexico,block1,0.19999999999999996,0.99,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,388,low_prior,Charley lives in Korea,block2,0.99,0.12,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,399,high_prior,Charley lives in Mexico,block1,0.45999999999999996,0.96,0.55,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,450,high_prior,Charley lives in Mexico,block2,0,1,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,465,high_prior,Charley lives in Mexico,block1,0.95,0.74,0.24,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,478,low_prior,Charley lives in Korea,block1,0.92,0.03,0.69,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
