item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem
MC_ballet,ballet,MC,2,main_clause,Ballet is a type of dance,block2,0.17000000000000004,0.49,0.1,NA,NA
MC_ballet,ballet,MC,6,main_clause,Ballet is a type of dance,block2,0,0.45,0,NA,NA
MC_ballet,ballet,MC,7,main_clause,Ballet is a type of dance,block2,0.16000000000000003,0.7,0.45,NA,NA
MC_ballet,ballet,MC,8,main_clause,Ballet is a type of dance,block2,0,0.48,0,NA,NA
MC_ballet,ballet,MC,10,main_clause,Ballet is a type of dance,block2,0.030000000000000027,0.41,0.05,NA,NA
MC_ballet,ballet,MC,14,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.16,0.32,NA,NA
MC_ballet,ballet,MC,20,main_clause,Ballet is a type of dance,block2,0,0.48,0.25,NA,NA
MC_ballet,ballet,MC,23,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.32,0.02,NA,NA
MC_ballet,ballet,MC,26,main_clause,Ballet is a type of dance,block2,0.040000000000000036,0.54,0.27,NA,NA
MC_ballet,ballet,MC,30,main_clause,Ballet is a type of dance,block2,0.040000000000000036,0.49,0.03,NA,NA
MC_ballet,ballet,MC,31,main_clause,Ballet is a type of dance,block2,0,0.55,0.02,NA,NA
MC_ballet,ballet,MC,35,main_clause,Ballet is a type of dance,block2,0,0.31,0,NA,NA
MC_ballet,ballet,MC,37,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.54,0.28,NA,NA
MC_ballet,ballet,MC,42,main_clause,Ballet is a type of dance,block2,0.030000000000000027,0.33,0.33,NA,NA
MC_ballet,ballet,MC,43,main_clause,Ballet is a type of dance,block2,0.040000000000000036,0.35,0.08,NA,NA
MC_ballet,ballet,MC,44,main_clause,Ballet is a type of dance,block2,0.13,0.54,0.02,NA,NA
MC_ballet,ballet,MC,52,main_clause,Ballet is a type of dance,block2,0,0.25,0,NA,NA
MC_ballet,ballet,MC,53,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.49,0.08,NA,NA
MC_ballet,ballet,MC,59,main_clause,Ballet is a type of dance,block2,0,0.47,0.25,NA,NA
MC_ballet,ballet,MC,61,main_clause,Ballet is a type of dance,block2,0.14,0.46,0.37,NA,NA
MC_ballet,ballet,MC,62,main_clause,Ballet is a type of dance,block2,0.15000000000000002,0.5,0.18,NA,NA
MC_ballet,ballet,MC,63,main_clause,Ballet is a type of dance,block2,0,0.24,0,NA,NA
MC_ballet,ballet,MC,65,main_clause,Ballet is a type of dance,block2,0,0.34,0,NA,NA
MC_ballet,ballet,MC,67,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.44,0.02,NA,NA
MC_ballet,ballet,MC,68,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.53,0.18,NA,NA
MC_ballet,ballet,MC,69,main_clause,Ballet is a type of dance,block2,0.030000000000000027,0.48,0.11,NA,NA
MC_ballet,ballet,MC,72,main_clause,Ballet is a type of dance,block2,0.12,0.33,0.13,NA,NA
MC_ballet,ballet,MC,73,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.49,0.51,NA,NA
MC_ballet,ballet,MC,77,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.5,0.22,NA,NA
MC_ballet,ballet,MC,78,main_clause,Ballet is a type of dance,block2,0.040000000000000036,0.09,0.09,NA,NA
MC_ballet,ballet,MC,79,main_clause,Ballet is a type of dance,block2,0,0.3,0,NA,NA
MC_ballet,ballet,MC,80,main_clause,Ballet is a type of dance,block2,0.47,0.31,0.44,NA,NA
MC_ballet,ballet,MC,82,main_clause,Ballet is a type of dance,block2,0.18999999999999995,0.54,0.2,NA,NA
MC_ballet,ballet,MC,83,main_clause,Ballet is a type of dance,block2,0.13,0,0.02,NA,NA
MC_ballet,ballet,MC,85,main_clause,Ballet is a type of dance,block2,0,0.64,0.14,NA,NA
MC_ballet,ballet,MC,86,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.19,0.06,NA,NA
MC_ballet,ballet,MC,87,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.47,0.01,NA,NA
MC_ballet,ballet,MC,89,main_clause,Ballet is a type of dance,block2,0.27,0.82,0.2,NA,NA
MC_ballet,ballet,MC,91,main_clause,Ballet is a type of dance,block2,0,0.51,0,NA,NA
MC_ballet,ballet,MC,92,main_clause,Ballet is a type of dance,block2,0,0.52,0,NA,NA
MC_ballet,ballet,MC,95,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.14,0.01,NA,NA
MC_ballet,ballet,MC,98,main_clause,Ballet is a type of dance,block2,0,0.48,0,NA,NA
MC_ballet,ballet,MC,100,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.6,0.5,NA,NA
MC_ballet,ballet,MC,105,main_clause,Ballet is a type of dance,block2,0,0.59,0,NA,NA
MC_ballet,ballet,MC,107,main_clause,Ballet is a type of dance,block2,0,0.53,0.09,NA,NA
MC_ballet,ballet,MC,111,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.35,0.28,NA,NA
MC_ballet,ballet,MC,116,main_clause,Ballet is a type of dance,block2,0.15000000000000002,0.63,0.62,NA,NA
MC_ballet,ballet,MC,123,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.48,0.02,NA,NA
MC_ballet,ballet,MC,124,main_clause,Ballet is a type of dance,block2,0,0.49,0.01,NA,NA
MC_ballet,ballet,MC,126,main_clause,Ballet is a type of dance,block2,0,0.49,0,NA,NA
MC_ballet,ballet,MC,127,main_clause,Ballet is a type of dance,block2,0,0.6,0,NA,NA
MC_ballet,ballet,MC,129,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.5,0,NA,NA
MC_ballet,ballet,MC,130,main_clause,Ballet is a type of dance,block2,0,0.35,0,NA,NA
MC_ballet,ballet,MC,132,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.5,0.01,NA,NA
MC_ballet,ballet,MC,134,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.22,0.23,NA,NA
MC_ballet,ballet,MC,135,main_clause,Ballet is a type of dance,block2,0.040000000000000036,0.08,0.5,NA,NA
MC_ballet,ballet,MC,139,main_clause,Ballet is a type of dance,block2,0,0.48,0,NA,NA
MC_ballet,ballet,MC,140,main_clause,Ballet is a type of dance,block2,0,0.53,0.03,NA,NA
MC_ballet,ballet,MC,143,main_clause,Ballet is a type of dance,block2,0,0.5,0,NA,NA
MC_ballet,ballet,MC,144,main_clause,Ballet is a type of dance,block2,0,0.63,0.73,NA,NA
MC_ballet,ballet,MC,145,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.14,0.5,NA,NA
MC_ballet,ballet,MC,146,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.15,0.07,NA,NA
MC_ballet,ballet,MC,153,main_clause,Ballet is a type of dance,block2,0,0.5,0,NA,NA
MC_ballet,ballet,MC,156,main_clause,Ballet is a type of dance,block2,0.050000000000000044,0.36,0.1,NA,NA
MC_ballet,ballet,MC,158,main_clause,Ballet is a type of dance,block2,0.06999999999999995,0.31,0.04,NA,NA
MC_ballet,ballet,MC,160,main_clause,Ballet is a type of dance,block2,0,0.49,0.03,NA,NA
MC_ballet,ballet,MC,163,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.18,0.02,NA,NA
MC_ballet,ballet,MC,164,main_clause,Ballet is a type of dance,block2,0.43000000000000005,0.91,0.67,NA,NA
MC_ballet,ballet,MC,165,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.49,0.05,NA,NA
MC_ballet,ballet,MC,167,main_clause,Ballet is a type of dance,block2,0.030000000000000027,0.51,0,NA,NA
MC_ballet,ballet,MC,168,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.39,0.05,NA,NA
MC_ballet,ballet,MC,169,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.49,0.01,NA,NA
MC_ballet,ballet,MC,170,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.51,0.09,NA,NA
MC_ballet,ballet,MC,173,main_clause,Ballet is a type of dance,block2,0.030000000000000027,0.4,0.05,NA,NA
MC_ballet,ballet,MC,174,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.5,0.02,NA,NA
MC_ballet,ballet,MC,176,main_clause,Ballet is a type of dance,block2,0,0.5,0,NA,NA
MC_ballet,ballet,MC,182,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.54,0,NA,NA
MC_ballet,ballet,MC,183,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.93,0.87,NA,NA
MC_ballet,ballet,MC,185,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.75,0.01,NA,NA
MC_ballet,ballet,MC,186,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.4,0.11,NA,NA
MC_ballet,ballet,MC,187,main_clause,Ballet is a type of dance,block2,0,0.49,0,NA,NA
MC_ballet,ballet,MC,188,main_clause,Ballet is a type of dance,block2,0.33999999999999997,0.57,0.19,NA,NA
MC_ballet,ballet,MC,196,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.58,0.04,NA,NA
MC_ballet,ballet,MC,197,main_clause,Ballet is a type of dance,block2,0,0.47,0,NA,NA
MC_ballet,ballet,MC,201,main_clause,Ballet is a type of dance,block2,0,0.49,0,NA,NA
MC_ballet,ballet,MC,203,main_clause,Ballet is a type of dance,block2,0.040000000000000036,0.5,0.49,NA,NA
MC_ballet,ballet,MC,204,main_clause,Ballet is a type of dance,block2,0.030000000000000027,0.54,0.08,NA,NA
MC_ballet,ballet,MC,205,main_clause,Ballet is a type of dance,block2,0.020000000000000018,0.98,0.01,NA,NA
MC_ballet,ballet,MC,206,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.46,0.12,NA,NA
MC_ballet,ballet,MC,208,main_clause,Ballet is a type of dance,block2,0,0.49,0.46,NA,NA
MC_ballet,ballet,MC,212,main_clause,Ballet is a type of dance,block2,0,0.44,0,NA,NA
MC_ballet,ballet,MC,213,main_clause,Ballet is a type of dance,block2,0.010000000000000009,0.08,0.02,NA,NA
