short_trigger,contentFact,Mean_prior,YMin_prior,YMax_prior,Mean_proj,YMin_proj,YMax_proj,Mean_ai,YMin_ai,YMax_ai
acknowledge,Charley speaks Spanish-factH,0.7357142857142857,0.5256785714285714,0.9100357142857143,0.5557142857142857,0.25285714285714284,0.8243214285714286,0.5728571428571428,0.31857142857142856,0.8242857142857143
acknowledge,Charley speaks Spanish-factL,0.35857142857142854,0.24285714285714288,0.4728928571428571,0.6614285714285715,0.3768571428571429,0.9414285714285714,0.96,0.92,0.9957142857142857
acknowledge,Danny ate the last cupcake-factH,0.6875,0.62125,0.76378125,0.555,0.3133125,0.7813437499999999,0.66875,0.42000000000000004,0.89753125
acknowledge,Danny ate the last cupcake-factL,0.20875,0.1386875,0.28250000000000003,0.41,0.185,0.62753125,0.7175,0.45990624999999996,0.91503125
acknowledge,Emily bought a car yesterday-factH,0.5466666666666666,0.36666666666666664,0.7266666666666667,0.575,0.435,0.7300416666666666,0.445,0.18162500000000004,0.7534999999999998
acknowledge,Emily bought a car yesterday-factL,0.07714285714285714,0.019964285714285712,0.16574999999999995,0.5828571428571429,0.2857142857142857,0.8629999999999999,0.6428571428571429,0.3713928571428572,0.9171428571428571
acknowledge,Emma studied on Saturday morning-factH,0.635,0.5,0.77,0.55,0.2725,0.7525000000000001,0.5025,0.21500000000000002,0.79
acknowledge,Emma studied on Saturday morning-factL,0.13111111111111112,0.05997222222222222,0.24222222222222223,0.5266666666666666,0.27216666666666667,0.7833611111111111,0.7477777777777778,0.4822222222222222,0.93225
acknowledge,Frank got a cat-factH,0.6166666666666667,0.49,0.68,0.49,0,0.99,0.5933333333333334,0,1
acknowledge,Frank got a cat-factL,0.10166666666666667,0.04329166666666667,0.16999999999999998,0.5183333333333333,0.24333333333333335,0.7866666666666666,0.7183333333333334,0.4666666666666667,0.9666666666666667
acknowledge,Grace visited her sister-factH,0.784,0.726,0.822,0.758,0.618,0.8901999999999998,0.658,0.31599999999999995,0.972
acknowledge,Grace visited her sister-factL,0.24285714285714285,0.1199642857142857,0.39432142857142854,0.5357142857142857,0.3085,0.7685714285714286,0.37714285714285717,0.13282142857142853,0.6200357142857142
acknowledge,Isabella ate a steak on Sunday-factH,0.4614285714285714,0.39999999999999997,0.5142857142857142,0.4614285714285714,0.22699999999999998,0.6957142857142857,0.3942857142857143,0.16710714285714284,0.6314642857142857
acknowledge,Isabella ate a steak on Sunday-factL,0.135,0.03481250000000001,0.2875,0.7775,0.5970625,0.915,0.7375,0.6,0.9199999999999999
acknowledge,Jackson ran 10 miles-factH,0.804,0.712,0.896,0.728,0.428,0.938,0.862,0.784,0.94
acknowledge,Jackson ran 10 miles-factL,0.16,0.09567857142857143,0.23292857142857137,0.5614285714285714,0.3071071428571429,0.79575,0.5828571428571429,0.2940714285714286,0.8714285714285714
acknowledge,Jayden rented a car-factH,0.48333333333333334,0.2683333333333333,0.69,0.7766666666666666,0.6128333333333333,0.94,0.7016666666666667,0.45833333333333337,0.9133333333333333
acknowledge,Jayden rented a car-factL,0.0675,0,0.135,0.5700000000000001,0.2,0.9,0.705,0.24650000000000005,0.995
acknowledge,Jon walks to work-factH,0.92,0.92,0.92,0.99,0.99,0.99,0.98,0.98,0.98
acknowledge,Jon walks to work-factL,0.085,0.03375,0.15503124999999998,0.315,0.10090624999999998,0.5650625,0.7025,0.41859375,0.93253125
acknowledge,Josh learned to ride a bike yesterday-factH,0.5477777777777778,0.48775,0.6066666666666667,0.8811111111111111,0.7833055555555556,0.9644722222222222,0.5211111111111111,0.2810833333333334,0.7800555555555555
acknowledge,Josh learned to ride a bike yesterday-factL,0.22399999999999998,0.1,0.366,0.33799999999999997,0.07769999999999999,0.614,0.458,0.11400000000000005,0.808
acknowledge,Josie went on vacation to France-factH,0.825,0.7162187499999999,0.92253125,0.7225,0.47996874999999994,0.9037499999999999,0.63125,0.29371875000000003,0.8944687499999994
acknowledge,Josie went on vacation to France-factL,0.20666666666666664,0.01999999999999999,0.57,0.32666666666666666,0.18,0.57,0.51,0.32999999999999996,0.69
acknowledge,Julian dances salsa-factH,0.58,0.516,0.644,0.726,0.64,0.8300999999999998,0.67,0.338,0.8921999999999999
acknowledge,Julian dances salsa-factL,0.3628571428571429,0.22282142857142856,0.48714285714285716,0.4942857142857143,0.21714285714285714,0.7586071428571428,0.7128571428571429,0.46142857142857147,0.8885714285714286
acknowledge,Mary is pregnant-factH,0.95,0.925,0.97,0.6825,0.335,0.895,0.3125,0.030000000000000027,0.7625
acknowledge,Mary is pregnant-factL,0.2,0.03285714285714286,0.4171785714285714,0.5728571428571428,0.30967857142857147,0.8357857142857142,0.5957142857142858,0.34714285714285714,0.8285714285714285
acknowledge,Mia drank 2 cocktails last night-factH,0.5033333333333333,0.40772222222222226,0.6067222222222222,0.66,0.5066111111111111,0.7956944444444444,0.7988888888888889,0.6144166666666666,0.9556944444444443
acknowledge,Mia drank 2 cocktails last night-factL,0.55,0.07,0.94,0.5800000000000001,0.030000000000000027,0.9,0.7733333333333333,0.38,0.97
acknowledge,Olivia sleeps until noon-factH,0.82,0.744,0.89405,0.864,0.79,0.93,0.9460000000000001,0.922,0.978
acknowledge,Olivia sleeps until noon-factL,0.095,0.043333333333333335,0.15,0.535,0.28662499999999996,0.7351666666666665,0.81,0.54,0.9733333333333334
acknowledge,Owen shoveled snow last winter-factH,0.813,0.6769000000000001,0.9269999999999999,0.596,0.368875,0.8031499999999999,0.593,0.36595,0.8110249999999999
acknowledge,Owen shoveled snow last winter-factL,0.302,0.13999999999999999,0.4344499999999996,0.41600000000000004,0.184,0.626,0.47200000000000003,0.16400000000000003,0.832
acknowledge,Sophia got a tattoo-factH,0.60625,0.50109375,0.70875,0.6575,0.4911875,0.81625,0.58,0.41621875,0.73
acknowledge,Sophia got a tattoo-factL,0.2671428571428571,0.14564285714285713,0.38285714285714284,0.4185714285714286,0.20425000000000001,0.6557142857142857,0.6428571428571429,0.3711785714285714,0.8672499999999999
acknowledge,Tony had a drink last night-factH,0.635,0.578975,0.696,0.788,0.7130000000000001,0.852,0.518,0.29895,0.751025
acknowledge,Tony had a drink last night-factL,0.155,0.05499999999999999,0.2693035714285714,0.40714285714285714,0.26142857142857145,0.5578571428571428,0.5464285714285714,0.3685178571428571,0.70575
acknowledge,Zoe calculated the tip-factH,0.7942857142857143,0.68425,0.8957499999999999,0.7557142857142857,0.4871428571428571,0.9501785714285712,0.5428571428571428,0.2926428571428572,0.7900357142857143
acknowledge,Zoe calculated the tip-factL,0.032,0.010000000000000002,0.054000000000000006,0.336,0.088,0.62205,0.652,0.372,0.84
admit,Charley speaks Spanish-factH,0.9433333333333334,0.9044444444444445,0.9766666666666667,0.4766666666666667,0.2921944444444445,0.673472222222222,0.42333333333333334,0.2088888888888889,0.6655555555555556
admit,Charley speaks Spanish-factL,0.14666666666666667,0.08166666666666667,0.20500000000000002,0.61,0.3616666666666667,0.8567083333333333,0.6799999999999999,0.41000000000000003,0.9133333333333333
admit,Danny ate the last cupcake-factH,0.70625,0.58875,0.8400312499999999,0.5625,0.30375,0.82253125,0.63625,0.33499999999999996,0.88625
admit,Danny ate the last cupcake-factL,0.10666666666666667,0.04775,0.1644722222222222,0.57,0.36327777777777776,0.7768888888888886,0.7333333333333333,0.5655,0.8723055555555554
admit,Emily bought a car yesterday-factH,0.39666666666666667,0.25,0.51,0.75,0.71,0.79,0.4933333333333333,0.20999999999999996,1
admit,Emily bought a car yesterday-factL,0,0,0,0.33,0.33,0.33,0.99,0.99,0.99
admit,Emma studied on Saturday morning-factH,0.66,0.5375,0.75875,0.68625,0.47371875,0.8337812499999999,0.72375,0.5037187499999999,0.9225625
admit,Emma studied on Saturday morning-factL,0.23142857142857146,0.08857142857142855,0.39142857142857146,0.3214285714285714,0.13428571428571429,0.5658214285714285,0.6271428571428571,0.3713571428571429,0.8485714285714285
admit,Frank got a cat-factH,0.5666666666666667,0.48,0.72,0.42333333333333334,0.12,0.5966666666666667,0.6733333333333333,0.030000000000000027,1
admit,Frank got a cat-factL,0.045714285714285714,0.015714285714285715,0.08142857142857143,0.63,0.44275,0.7943571428571428,0.5585714285714286,0.38425000000000004,0.7428571428571429
admit,Grace visited her sister-factH,0.8433333333333334,0.8,0.88,0.8133333333333334,0.7,0.92,0.66,0.22999999999999998,0.94
admit,Grace visited her sister-factL,0.34099999999999997,0.187925,0.519025,0.411,0.253875,0.585,0.46799999999999997,0.235975,0.6990249999999999
admit,Isabella ate a steak on Sunday-factH,0.46,0.38195,0.512,0.5700000000000001,0.20399999999999996,0.936,0.748,0.39399999999999996,0.974
admit,Isabella ate a steak on Sunday-factL,0.07375,0.03621875,0.115,0.38625,0.23740625,0.55625,0.50125,0.3425,0.6375000000000001
admit,Jackson ran 10 miles-factH,0.8733333333333333,0.68,0.98,0.9133333333333333,0.81,0.97,0.82,0.65,0.98
admit,Jackson ran 10 miles-factL,0.08142857142857143,0.02142857142857143,0.15714285714285717,0.45285714285714285,0.20857142857142857,0.7229285714285715,0.4957142857142857,0.2455714285714286,0.7529642857142856
admit,Jayden rented a car-factH,0.5988888888888889,0.46222222222222226,0.6977777777777778,0.5633333333333334,0.3388888888888889,0.7722222222222223,0.7144444444444444,0.5132222222222222,0.8855833333333333
admit,Jayden rented a car-factL,0.036000000000000004,0.016,0.062,0.374,0.08999999999999997,0.696,0.456,0.12200000000000005,0.79
