language,workerid,comments,american,age
eng,0,drivel,Yes,35
English,1,,Yes,41
English ,2,,Yes,33
English,3,Survey was very interesting and challenging.,Yes,47
English,4, ,Yes,33
English,5,"Great study,",Yes,29
English,6,n/a,Yes,32
English,7,Good,Yes,27
English,8,,Yes,40
English,9,no comments,Yes,71
English,10,,Yes,32
English,11,Interesting word play. Thanks.,Yes,55
English,12,,Yes,44
english,13,,Yes,30
English,14,,Yes,51
,15,,No,34
English,16,Interesting study. Makes me wonder if people who speak English and are of different nationalities would comprehend the questions differently...or if Americans think differently from other English speakers. No other comments or concerns.,Yes,32
English,17,This was interesting. Some of the questions I had to think a little harder on.,Yes,35
English,18,,Yes,28
english,19,nice.,Yes,27
English,20,very fun ,Yes,37
English,21,,Yes,30
English,22,,Yes,52
English,23,,Yes,37
English,24,"Very interesting experiment, definitely made me think quite a bit! Thanks for having me",Yes,31
english,25,,Yes,40
english,26,this was an interesting surbey. i have never done one like it before. thank you.,Yes,38
english,27,good,Yes,27
english,28,good hit :),Yes,30
english,29,None. ,Yes,26
English,30,none,Yes,36
English,31,This was difficult at times,Yes,34
english,32,,Yes,36
English,33,"Thank you for the opportunity, have a great day!",Yes,52
English,34,none.,Yes,35
English,35,,Yes,46
English,36,,Yes,44
english,37,thanks,Yes,55
english,38,,Yes,40
English,39,Interesting,Yes,48
english,40,,Yes,37
English,41,,Yes,49
English,42,,Yes,25
English,43,,Yes,38
English,44,,Yes,31
English,45,nice,Yes,35
English,46,"Very fun. I really had to stop and think about the answers, especially the ones that involved multiple names.  Thanks and have a great week! ",Yes,48
english,47,good,Yes,35
english,48,,Yes,32
english,49,,Yes,54
english,50,no comments,Yes,38
English,51,,Yes,58
English,52,,Yes,29
English,53,,Yes,40
English,54,"A little confusing in the end, otherwise, interesting.",Yes,54
English,55,Thanks. It was a nice experiment :),Yes,34
English,56,,Yes,26
Englsih,57,,Yes,29
ENGLISH,58,GOOD,Yes,27
english,59,,Yes,31
English,60,,Yes,26
English,61,,Yes,36
English,62,,Yes,42
english,63,,Yes,53
english,64,good task,Yes,45
English,65,,Yes,34
English,66,,Yes,51
English,67,,Yes,61
ENGLISH,68,,Yes,31
english,69,,Yes,42
english ,70,,Yes,31
ENGLISH,71,GOOD,Yes,30
English,72,none,Yes,50
English,73,,Yes,47
English,74,,Yes,44
english,75,none,Yes,25
English,76,None,Yes,37
English,77,Interesting survey. I'd like to do more.,Yes,39
English,78,all good thank you,Yes,39
English,79,Thanks,Yes,36
English,80,,Yes,22
English,81,good,Yes,35
english,82,it was fun thanks so much,Yes,31
English,83,,Yes,21
english,84,yes i very interested. and the good experiement.,Yes,25
English,85,I would love to participate in another!,Yes,22
English,86,,Yes,56
English,87,,Yes,38
English,88,Excellent survey!,Yes,25
english,89,,Yes,48
English,90,,Yes,51
english,91,,Yes,30
english ,92,the format of your sentences were bad and confusing,Yes,24
English,93,I enjoyed it.  Have a nice day.,Yes,61
english,94,Interesting!,Yes,41
ENGLISH,95,,Yes,63
english,96,"I hope this went okay, some of the questions were confusing.",Yes,56
english,97,,Yes,51
English,98,,Yes,29
english,99,,Yes,42
English,100,no comments,Yes,56
English,101,,Yes,49
English,102,,Yes,28
English,103,None,Yes,69
English,104,None,Yes,30
English,105,Thanks!,Yes,28
English ,106,,Yes,30
English,107,,Yes,33
ENGLISH,108,NO COMMENTS,Yes,42
english,109,,Yes,47
English,110,,Yes,35
English ,111,,Yes,59
english,112,,Yes,44
English,113,n,Yes,71
English and Laotian,114,,Yes,38
english,115,,Yes,26
english,116,,Yes,21
English,117,thanks and good luck,Yes,37
English,118,"I enjoyed the survey, thanks so much.",Yes,69
english,119,n/a,Yes,44
English,120,,No,32
English,121,Interesting.,Yes,35
English,122,By the 3rd part I began to realize I was wrong on some of the preceding parts.,Yes,64
English,123,Thank you!,Yes,46
English,124,Fun task!!!,Yes,36
english,125,,Yes,39
English,126,n/a,Yes,24
English,127,,Yes,30
English,128,Very good,Yes,35
English,129,None,Yes,41
English,130,,Yes,43
English,131,,Yes,44
English,132,,Yes,29
English,133,None,Yes,36
United States (English),134,,Yes,38
english,135,,Yes,34
English,136,good and very interesting.,Yes,35
English,137,No comments at this time. Thank you.,Yes,33
English,138,,Yes,53
English,139,no comments thanks for asking though ;),Yes,37
English,140,,Yes,28
English,141,,Yes,58
English ,142,It was fun ,Yes,35
English,143,,Yes,28
english,144,,Yes,27
English,145,,Yes,30
English,146,,Yes,27
english,147,,Yes,28
English,148,,Yes,26
English,149,,Yes,47
English,150,,Yes,31
english,151,,Yes,57
english,152,,Yes,36
English,153,,Yes,23
English,154,,Yes,40
english,155,thank you,Yes,32
English,156,Interesting and kind of fun. Makes one think of the perspective of the questions.,Yes,66
english,157,,Yes,48
English ,158,,Yes,50
English,159,Very nice study.,Yes,29
englidh,160,,Yes,29
,161,,,
English,162,,Yes,26
English,163,,Yes,46
English ,164,,Yes,51
English,165,,Yes,28
English,166,Very nice and interesting experiment.,Yes,29
English,167,,Yes,34
English,168,,Yes,36
English,169,very interesting,Yes,60
english,170,,Yes,29
ENGLISH,171,,Yes,28
English,172,,Yes,34
English,173,,Yes,27
English,174,This was very interesting; made me think hard.,Yes,67
English ,175,Good interesting survey.,Yes,46
English,176,,Yes,36
English,177,worked well,Yes,42
English,178,I liked this HIT.  Please post more.,Yes,46
English,179,,Yes,72
english,180,,Yes,42
English,181,fun,Yes,55
English,182,,Yes,53
english,183,,Yes,22
English,184,,Yes,42
English,185,,Yes,36
English ,186,,Yes,51
English,187,"Some of these questions implied knowledge of a fact, and the guests at the party were actually asking about other people's reactions to the fact, not the fact itself. Interesting gray areas though.",Yes,34
English,188,,Yes,25
English,189,None,Yes,36
English,190,,Yes,43
English,191,,Yes,26
English,192,Very good thinking communication this survey. ,Yes,32
English,193,Very nice survey.,Yes,30
English,194,,Yes,29
English,195,,Yes,42
english,196,,Yes,33
English,197,,Yes,39
english,198,,Yes,33
English,199,,Yes,43
english,200,none,Yes,60
English,201,,Yes,51
English,202,Interesting survey. I enjoyed it.,Yes,33
English,203,,Yes,26
english,204,,Yes,41
English,205,,Yes,29
English ,206,None,Yes,44
ENGLISH,207,,Yes,45
English,208,,Yes,25
english,209,,Yes,36
English,210,,Yes,32
English,211,Got a little confusing in some parts with the wording.,Yes,34
English,212,,Yes,31
English,213,All was fine.,Yes,43
ENGLISH,214,VERY NICE THE STUDY.,Yes,28
English ,215,,Yes,27
ENGLISH,216,Its very exited to travel.,Yes,27
English,217,,Yes,24
English,218,good,Yes,30
ENGLISH,219,GOOD,Yes,27
English ,220,,Yes,41
English ,221,No,Yes,26
english,222,this task is very good,Yes,27
English,223,,Yes,31
English,224,,Yes,51
english,225,,Yes,38
English,226,,Yes,63
English,227,Thank you. Very engaging study.,Yes,48
English,228,It was interesting!,Yes,41
English,229,thank you,Yes,59
English,230,good experiment.,Yes,35
English,231,,Yes,38
english,232,,Yes,36
English,233,,Yes,26
english,234,nice,Yes,27
English,235,,Yes,32
english,236,,Yes,57
English,237,none,Yes,55
English,238,,Yes,42
English,239,Difficult hit. I hope I got it right.,Yes,58
English,240,none,Yes,56
English,241,,Yes,35
English,242,None thanks.,Yes,30
English,243,,Yes,37
English,244,,Yes,33
english,245,,Yes,29
English,246,I have nothing to add at this time.,Yes,70
English,247,,Yes,31
English,248,None,Yes,32
Female,249,good,Yes,30
English,250,none,Yes,31
english,251,it went well,Yes,45
English,252,,Yes,35
English,253,,Yes,52
English,254,,Yes,31
English,255,,Yes,32
english,256,,Yes,26
English,257,,Yes,42
English,258,,Yes,24
English,259,,Yes,24
English,260,,Yes,28
English,261,"Some of the questions, if I overheard, would change in context, depending on which word was stressed. ",Yes,29
English,262,I love this kind of experiment. It makes me think about language and thought in new ways. Best wishes for your research.,Yes,46
English,263,It was a fun and interesting survey!  Thank you,Yes,56
English,264,"The third part of the survey was confusing. You asked if they asked that, which if that was what you wanted to know, every answer would have been yes.",Yes,18
English,265,n,Yes,36
english,266,,Yes,33
English,267,,Yes,37
english,268,I do not have any comments. Thank you. ,Yes,55
English,269,I have no other comments other than I thought it was an interesting and different experiment. ,Yes,36
English,270,good,Yes,35
English,271,This experiment was really interesting. ,Yes,25
English,272,,Yes,39
English,273,Very enjoyable!,Yes,41
English,274,,Yes,25
english,275,,Yes,48
English,276,,Yes,34
English,277,,Yes,54
English,278,,Yes,36
