block,predicate,hypothesis,estimate,post.prob,bf
_projai.,acknowledge,cprior > 0,0.044835589984119295,0.5648333333333333,1.297970126388357
_projai.,admit,cprior > 0,-0.1437301848868355,0.28375,0.3961605584642234
_projai.,announce,cprior > 0,0.14562510847398777,0.705,2.389830508474576
_projai.,be.annoyed,cprior > 0,-0.1528990969990251,0.3036666666666667,0.4360938247965534
_projai.,be.right,cprior > 0,-0.11155969334516547,0.3520833333333333,0.5434083601286174
_projai.,confess,cprior > 0,-0.14017447799810492,0.33716666666666667,0.5086748805632386
_projai.,confirm,cprior > 0,0.12482134952599402,0.68925,2.2180209171359615
_projai.,demonstrate,cprior > 0,0.42048549865180157,0.9397500000000001,15.597510373443983
_projai.,discover,cprior > 0,0.23637900526548253,0.7873333333333333,3.7021943573667713
_projai.,establish,cprior > 0,0.2855232441550408,0.8079166666666666,4.206073752711497
_projai.,hear,cprior > 0,0.12798674294698859,0.6754166666666667,2.0808729139922977
_projai.,inform,cprior > 0,-0.09671082581697822,0.369,0.5847860538827259
_projai.,know,cprior > 0,-0.6355724837225114,0.014666666666666666,0.014884979702300407
_projai.,pretend,cprior > 0,-0.763646332075846,0.004416666666666667,0.004436260148991378
_projai.,prove,cprior > 0,0.5029043922940973,0.9655,27.985507246376812
_projai.,reveal,cprior > 0,-0.05817096396260455,0.41558333333333336,0.7111079423926993
_projai.,say,cprior > 0,-0.33771506017529196,0.1105,0.12422709387296234
_projai.,see,cprior > 0,-0.04605398851829083,0.4349166666666667,0.7696504940274296
_projai.,suggest,cprior > 0,-0.5017725299434778,0.030416666666666665,0.03137086377309841
_projai.,think,cprior > 0,-0.43916014320479824,0.0585,0.06213489113117366
_aiproj.,acknowledge,cprior > 0,-0.04727237624754575,0.42916666666666664,0.7518248175182481
_aiproj.,admit,cprior > 0,-0.4073021015371523,0.06708333333333333,0.07190710138454667
_aiproj.,announce,cprior > 0,-0.0024105603765620233,0.4905833333333333,0.9630296090299362
_aiproj.,be.annoyed,cprior > 0,-0.4776559398658862,0.060583333333333336,0.06449037523285726
_aiproj.,be.right,cprior > 0,-0.19377392791282022,0.27,0.3698630136986301
_aiproj.,confess,cprior > 0,-0.3108034373327306,0.12258333333333334,0.13970937410960205
_aiproj.,confirm,cprior > 0,-0.47567163124026474,0.042083333333333334,0.043932144410613314
_aiproj.,demonstrate,cprior > 0,0.30363908008996643,0.8536666666666667,5.83371298405467
_aiproj.,discover,cprior > 0,-0.04571852413532532,0.45475,0.8340210912425493
_aiproj.,establish,cprior > 0,0.45884178530598524,0.9093333333333333,10.029411764705882
_aiproj.,hear,cprior > 0,0.9025402901075505,0.9988333333333334,856.1428571428571
_aiproj.,inform,cprior > 0,-0.12154255748506504,0.3434166666666667,0.5230359182637391
_aiproj.,know,cprior > 0,-0.1633176012679236,0.2830833333333333,0.39486225735208647
_aiproj.,pretend,cprior > 0,-0.6445128248963798,0.01475,0.014970819588936818
_aiproj.,prove,cprior > 0,-0.5773399617819508,0.030250000000000003,0.031193606599639084
_aiproj.,reveal,cprior > 0,0.001989089567286066,0.5006666666666667,1.0026702269692924
_aiproj.,say,cprior > 0,-0.6469730730178334,0.010833333333333335,0.010951979780960405
_aiproj.,see,cprior > 0,-0.2737872384999305,0.1575,0.18694362017804153
_aiproj.,suggest,cprior > 0,-0.15431195167262268,0.33725,0.5088645794039985
_aiproj.,think,cprior > 0,-0.19589851306252698,0.26216666666666666,0.3553196295459679
