block,predicate,hypothesisNEG,estimateNEG,post.probNEG,bfNEG
fullData,acknowledge,cprior < 0,-0.02297989952994413,0.5443,1.194426157559798
fullData,admit,cprior < 0,-0.2782288932382009,0.9316,13.619883040935672
fullData,announce,cprior < 0,0.05425222273081076,0.3911,0.6423057973394646
fullData,be.annoyed,cprior < 0,-0.34858872689764686,0.9377,15.051364365971107
fullData,be.right,cprior < 0,-0.20233290915550506,0.8295,4.865102639296188
fullData,confess,cprior < 0,-0.22310326366215708,0.8543999999999999,5.868131868131868
fullData,confirm,cprior < 0,-0.17248206775832226,0.8174,4.47645125958379
fullData,demonstrate,cprior < 0,0.3461420580378598,0.0457,0.04788850466310385
fullData,discover,cprior < 0,0.14208697069989895,0.2742,0.37779002480022045
fullData,establish,cprior < 0,0.3278814659988577,0.0764,0.08271979211779991
fullData,hear,cprior < 0,0.5338607036586812,0.0034000000000000002,0.0034115994380895043
fullData,inform,cprior < 0,-0.1060977947128761,0.7036,2.3738191632928474
fullData,know,cprior < 0,-0.38575478673525415,0.9598,23.875621890547265
fullData,pretend,cprior < 0,-0.6810091944376256,0.9993,1427.5714285714287
fullData,prove,cprior < 0,-0.03950363267023176,0.5762999999999999,1.3601604909133822
fullData,reveal,cprior < 0,-0.08612241851864572,0.6616,1.955082742316785
fullData,say,cprior < 0,-0.526562496441736,0.9983,587.2352941176471
fullData,see,cprior < 0,-0.17190443456191914,0.7992,3.9800796812749004
fullData,suggest,cprior < 0,-0.33397045967429856,0.9505,19.2020202020202
fullData,think,cprior < 0,-0.32050329747524475,0.9236,12.089005235602095
