item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
announce_charley,charley,announce,38,high_prior,Charley lives in Mexico,block1,0.94,0.92,0.92,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4934939759036145,0.3674698795180722,0.9183132530120481,0.93828125
announce_charley,charley,announce,233,high_prior,Charley lives in Mexico,block1,0.97,0.42,0.07,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,-0.006506024096385565,0.3974698795180722,0.0717269076305221,0.9681640625
announce_charley,charley,announce,329,high_prior,Charley lives in Mexico,block1,0.77,0.93,0.83,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5034939759036146,0.19746987951807227,0.8286746987951807,0.7689453125
announce_charley,charley,announce,361,high_prior,Charley lives in Mexico,block1,1,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5734939759036144,0.42746987951807225,0.9979919678714859,0.998046875
announce_charley,charley,announce,379,low_prior,Charley lives in Korea,block1,0.98,0.44,0.94,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.013493975903614452,0.40746987951807223,0.9382329317269076,0.978125
announce_charley,charley,announce,385,high_prior,Charley lives in Mexico,block1,0.37,0.7,0.92,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.2734939759036144,-0.20253012048192776,0.9183132530120481,0.3705078125
announce_charley,charley,announce,447,low_prior,Charley lives in Korea,block1,0.47,0.52,0.49,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.09349397590361447,-0.10253012048192778,0.4900401606425703,0.4701171875
announce_charley,charley,announce,453,high_prior,Charley lives in Mexico,block1,0.72,0.78,0.74,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3534939759036145,0.14746987951807222,0.7390361445783133,0.719140625
announce_charley,charley,announce,568,high_prior,Charley lives in Mexico,block1,0.99,0.9,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4734939759036145,0.41746987951807224,0.9780722891566265,0.9880859375
announce_danny,danny,announce,11,low_prior,Danny is a diabetic,block1,1,0.09,0.49,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3365060240963855,0.42746987951807225,0.4900401606425703,0.998046875
announce_danny,danny,announce,48,high_prior,Danny loves cake,block1,0.52,0.75,0.11,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.32349397590361445,-0.05253012048192773,0.11156626506024096,0.519921875
announce_danny,danny,announce,97,low_prior,Danny is a diabetic,block1,0.4,0.26,0.47,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.16650602409638554,-0.17253012048192773,0.4701204819277108,0.400390625
announce_danny,danny,announce,155,low_prior,Danny is a diabetic,block1,0.30000000000000004,0.17,0.19,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.25650602409638557,-0.2725301204819277,0.1912449799196787,0.30078125000000006
announce_danny,danny,announce,274,high_prior,Danny loves cake,block1,0.27,0.51,0.23,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.08349397590361446,-0.30253012048192773,0.2310843373493976,0.27089843750000003
announce_danny,danny,announce,302,low_prior,Danny is a diabetic,block1,1,0.5,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.07349397590361445,0.42746987951807225,0.002008032128514056,0.998046875
announce_danny,danny,announce,353,high_prior,Danny loves cake,block1,1,0.65,0.68,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.22349397590361447,0.42746987951807225,0.679277108433735,0.998046875
announce_danny,danny,announce,403,low_prior,Danny is a diabetic,block1,0.02000000000000001,0.02,0.02,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.40650602409638553,-0.5525301204819277,0.021927710843373492,0.021875000000000012
announce_danny,danny,announce,587,low_prior,Danny is a diabetic,block1,0.97,0.04,0.14,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.38650602409638557,0.3974698795180722,0.14144578313253015,0.9681640625
announce_emily,emily,announce,22,high_prior,Emily has been saving for a year,block1,0,0.5,0,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.07349397590361445,-0.5725301204819278,0.002008032128514056,0.001953125
