item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
be_annoyed_charley,charley,be.annoyed,22,low_prior,Charley lives in Korea,block1,1,0,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.4961847389558233,0.17638554216867475,0.9979919678714859,0.998046875
be_annoyed_charley,charley,be.annoyed,66,high_prior,Charley lives in Mexico,block1,0.93,0.93,0.67,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4338152610441767,0.1063855421686748,0.6693172690763052,0.9283203125
be_annoyed_charley,charley,be.annoyed,70,low_prior,Charley lives in Korea,block1,0.62,0.38,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.11618473895582332,-0.20361445783132526,0.9780722891566265,0.61953125
be_annoyed_charley,charley,be.annoyed,76,low_prior,Charley lives in Korea,block1,1,0.48,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.01618473895582334,0.17638554216867475,0.9979919678714859,0.998046875
be_annoyed_charley,charley,be.annoyed,113,high_prior,Charley lives in Mexico,block1,0.83,0.88,0.78,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3838152610441767,0.006385542168674707,0.7788755020080321,0.8287109374999999
be_annoyed_charley,charley,be.annoyed,133,low_prior,Charley lives in Korea,block1,0.52,0.07,0.67,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.4261847389558233,-0.30361445783132524,0.6693172690763052,0.519921875
be_annoyed_charley,charley,be.annoyed,274,high_prior,Charley lives in Mexico,block1,0.8200000000000001,1,0.92,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5038152610441766,-0.0036144578313251907,0.9183132530120481,0.8187500000000001
be_annoyed_charley,charley,be.annoyed,312,high_prior,Charley lives in Mexico,block1,1,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5038152610441766,0.17638554216867475,0.9979919678714859,0.998046875
be_annoyed_charley,charley,be.annoyed,346,low_prior,Charley lives in Korea,block1,0.8,0.14,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3561847389558233,-0.02361445783132521,0.958152610441767,0.798828125
be_annoyed_charley,charley,be.annoyed,356,low_prior,Charley lives in Korea,block1,0.91,0.18,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.31618473895582333,0.08638554216867478,0.9880321285140563,0.9083984375
be_annoyed_charley,charley,be.annoyed,377,low_prior,Charley lives in Korea,block1,0.99,0.26,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.23618473895582331,0.16638554216867474,0.9979919678714859,0.9880859375
be_annoyed_charley,charley,be.annoyed,380,high_prior,Charley lives in Mexico,block1,0.91,0.94,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4438152610441766,0.08638554216867478,0.9681124497991968,0.9083984375
be_annoyed_charley,charley,be.annoyed,435,low_prior,Charley lives in Korea,block1,1,0.2,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.2961847389558233,0.17638554216867475,0.9979919678714859,0.998046875
be_annoyed_charley,charley,be.annoyed,474,high_prior,Charley lives in Mexico,block1,1,0.83,0.79,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.33381526104417664,0.17638554216867475,0.788835341365462,0.998046875
be_annoyed_charley,charley,be.annoyed,495,high_prior,Charley lives in Mexico,block1,0.99,0.92,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4238152610441767,0.16638554216867474,0.9780722891566265,0.9880859375
be_annoyed_charley,charley,be.annoyed,565,high_prior,Charley lives in Mexico,block1,0.31000000000000005,0.58,0.76,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.08381526104417664,-0.5136144578313252,0.7589558232931727,0.31074218750000004
be_annoyed_danny,danny,be.annoyed,74,high_prior,Danny loves cake,block1,1,0.68,0.99,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.18381526104417673,0.17638554216867475,0.9880321285140563,0.998046875
