item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
confirm_charley,charley,confirm,1,low_prior,Charley lives in Korea,block1,0.24,0.05,0.29,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.40224899598393576,-0.07313253012048193,0.29084337349397593,0.24101562499999998
confirm_charley,charley,confirm,4,high_prior,Charley lives in Mexico,block1,0.5,0.81,0.48,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3577510040160643,0.18686746987951808,0.48008032128514055,0.5
confirm_charley,charley,confirm,16,high_prior,Charley lives in Mexico,block1,0.13,0.83,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3777510040160642,-0.18313253012048192,0.011967871485943775,0.1314453125
confirm_charley,charley,confirm,40,low_prior,Charley lives in Korea,block1,0.29000000000000004,0.08,0.08,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.37224899598393574,-0.023132530120481887,0.08168674698795181,0.2908203125
confirm_charley,charley,confirm,90,high_prior,Charley lives in Mexico,block1,0.64,0.91,0.46,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4577510040160643,0.3268674698795181,0.4601606425702811,0.6394531250000001
confirm_charley,charley,confirm,150,low_prior,Charley lives in Korea,block1,1,0,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.45224899598393575,0.6868674698795181,0.021927710843373492,0.998046875
confirm_charley,charley,confirm,181,low_prior,Charley lives in Korea,block1,0.48,0.24,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.21224899598393576,0.16686746987951806,0.002008032128514056,0.48007812499999997
confirm_charley,charley,confirm,232,high_prior,Charley lives in Mexico,block1,0.04000000000000003,0.78,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3277510040160643,-0.2731325301204819,0.9481927710843373,0.04179687500000003
confirm_charley,charley,confirm,271,high_prior,Charley lives in Mexico,block1,0,0.94,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4877510040160642,-0.3131325301204819,0.002008032128514056,0.001953125
confirm_charley,charley,confirm,280,low_prior,Charley lives in Korea,block1,0.31000000000000005,0.26,0.15,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.19224899598393574,-0.003132530120481869,0.1514056224899598,0.31074218750000004
confirm_charley,charley,confirm,325,high_prior,Charley lives in Mexico,block1,0.04000000000000003,0.95,0.17,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4977510040160642,-0.2731325301204819,0.17132530120481929,0.04179687500000003
confirm_charley,charley,confirm,376,low_prior,Charley lives in Korea,block1,0.91,0.15,0.48,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.30224899598393573,0.5968674698795181,0.48008032128514055,0.9083984375
confirm_charley,charley,confirm,384,low_prior,Charley lives in Korea,block1,0.20999999999999996,0.27,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.18224899598393574,-0.10313253012048196,0.002008032128514056,0.21113281249999996
confirm_charley,charley,confirm,464,high_prior,Charley lives in Mexico,block1,1,0.83,0.82,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3777510040160642,0.6868674698795181,0.8187148594377509,0.998046875
confirm_charley,charley,confirm,492,low_prior,Charley lives in Korea,block1,0.97,0.22,0.16,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.23224899598393575,0.656867469879518,0.16136546184738956,0.9681640625
confirm_charley,charley,confirm,511,low_prior,Charley lives in Korea,block1,0.23,0.36,0.07,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.09224899598393577,-0.08313253012048191,0.0717269076305221,0.23105468750000002
confirm_charley,charley,confirm,543,low_prior,Charley lives in Korea,block1,0.11,0.39,0.03,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.06224899598393574,-0.20313253012048194,0.03188755020080321,0.1115234375
confirm_danny,danny,confirm,22,high_prior,Danny loves cake,block1,1,1,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.5477510040160642,0.6868674698795181,0.002008032128514056,0.998046875
