item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
know_charley,charley,know,32,high_prior,Charley lives in Mexico,block1,0.98,0.91,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4743775100401607,0.24502008032128508,0.9880321285140563,0.978125
know_charley,charley,know,48,low_prior,Charley lives in Korea,block1,0.91,0.13,0.71,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3056224899598393,0.17502008032128513,0.7091566265060241,0.9083984375
know_charley,charley,know,118,low_prior,Charley lives in Korea,block1,0.65,0.13,0.49,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3056224899598393,-0.08497991967871488,0.4900401606425703,0.6494140625
know_charley,charley,know,190,low_prior,Charley lives in Korea,block1,0.96,0.26,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.1756224899598393,0.22502008032128507,0.8983935742971888,0.9582031249999999
know_charley,charley,know,227,low_prior,Charley lives in Korea,block1,0.96,0.44,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.0043775100401606815,0.22502008032128507,0.9880321285140563,0.9582031249999999
know_charley,charley,know,241,low_prior,Charley lives in Korea,block1,0.86,0.21,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.22562248995983933,0.1250200803212851,0.9979919678714859,0.8585937499999999
know_charley,charley,know,254,high_prior,Charley lives in Mexico,block1,0.69,0.7,0.35,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.26437751004016063,-0.04497991967871495,0.3506024096385542,0.6892578125
know_charley,charley,know,277,low_prior,Charley lives in Korea,block1,0.97,0.11,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.32562248995983933,0.23502008032128507,0.9780722891566265,0.9681640625
know_charley,charley,know,297,low_prior,Charley lives in Korea,block1,1,0.29,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.14562248995983934,0.2650200803212851,0.9979919678714859,0.998046875
know_charley,charley,know,317,low_prior,Charley lives in Korea,block1,0.03000000000000002,0.46,0.03,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.0243775100401607,-0.7049799196787149,0.03188755020080321,0.03183593750000002
know_charley,charley,know,366,low_prior,Charley lives in Korea,block1,0.64,0.12,0.61,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3156224899598393,-0.09497991967871489,0.609558232931727,0.6394531250000001
know_charley,charley,know,598,high_prior,Charley lives in Mexico,block1,1,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5643775100401607,0.2650200803212851,0.9979919678714859,0.998046875
know_charley,charley,know,599,low_prior,Charley lives in Korea,block1,0.19999999999999996,0.14,0.16,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.2956224899598393,-0.5349799196787149,0.16136546184738956,0.20117187499999994
know_danny,danny,know,94,low_prior,Danny is a diabetic,block1,0.93,0.36,0.61,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.07562248995983933,0.19502008032128515,0.609558232931727,0.9283203125
know_danny,danny,know,119,high_prior,Danny loves cake,block1,0.96,0.59,0.65,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.15437751004016065,0.22502008032128507,0.6493975903614458,0.9582031249999999
know_danny,danny,know,137,low_prior,Danny is a diabetic,block1,0.74,0.24,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.19562248995983933,0.005020080321285092,0.9979919678714859,0.7390625
know_danny,danny,know,177,high_prior,Danny loves cake,block1,0.69,0.67,0.95,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.23437751004016072,-0.04497991967871495,0.9481927710843373,0.6892578125
