item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
reveal_charley,charley,reveal,11,high_prior,Charley lives in Mexico,block1,1,0.91,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5069879518072289,0.42297188755020076,0.5,0.998046875
reveal_charley,charley,reveal,29,low_prior,Charley lives in Korea,block1,0.07999999999999996,0.26,0.25,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.14301204819277108,-0.4970281124497993,0.25100401606425704,0.08164062499999997
reveal_charley,charley,reveal,101,low_prior,Charley lives in Korea,block1,1,0.5,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.09698795180722891,0.42297188755020076,0.002008032128514056,0.998046875
reveal_charley,charley,reveal,177,high_prior,Charley lives in Mexico,block1,0.6799999999999999,0.96,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5569879518072289,0.1029718875502007,0.9481927710843373,0.6792968749999999
reveal_charley,charley,reveal,189,low_prior,Charley lives in Korea,block1,0.93,0.32,0.62,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.08301204819277108,0.3529718875502008,0.6195180722891566,0.9283203125
reveal_charley,charley,reveal,209,low_prior,Charley lives in Korea,block1,0.87,0.05,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3530120481927711,0.29297188755020076,0.9979919678714859,0.8685546875
reveal_charley,charley,reveal,268,low_prior,Charley lives in Korea,block1,0.69,0.41,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.006987951807228887,0.11297188755020071,0.958152610441767,0.6892578125
reveal_charley,charley,reveal,284,high_prior,Charley lives in Mexico,block1,0.16000000000000003,0.82,0.8,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.41698795180722886,-0.4170281124497992,0.7987951807228916,0.16132812500000004
reveal_charley,charley,reveal,340,low_prior,Charley lives in Korea,block1,0.54,0.49,0.47,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.0869879518072289,-0.0370281124497992,0.4701204819277108,0.5398437500000001
reveal_charley,charley,reveal,463,low_prior,Charley lives in Korea,block1,0.99,0.06,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3430120481927711,0.41297188755020076,0.9880321285140563,0.9880859375
reveal_charley,charley,reveal,496,high_prior,Charley lives in Mexico,block1,0.52,0.55,0.52,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.14698795180722896,-0.05702811244979922,0.5199196787148594,0.519921875
reveal_danny,danny,reveal,51,high_prior,Danny loves cake,block1,0.74,0.8,0.79,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.39698795180722896,0.16297188755020076,0.788835341365462,0.7390625
reveal_danny,danny,reveal,104,low_prior,Danny is a diabetic,block1,0.92,0.07,0.45,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3330120481927711,0.3429718875502008,0.45020080321285144,0.9183593750000001
reveal_danny,danny,reveal,110,high_prior,Danny loves cake,block1,0.30000000000000004,0.79,0.9,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.38698795180722895,-0.2770281124497992,0.8983935742971888,0.30078125000000006
reveal_danny,danny,reveal,151,high_prior,Danny loves cake,block1,0.98,0.52,0.98,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.11698795180722893,0.40297188755020075,0.9780722891566265,0.978125
reveal_danny,danny,reveal,175,high_prior,Danny loves cake,block1,0.4300000000000001,0.84,0.57,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.4369879518072289,-0.14702811244979913,0.569718875502008,0.4302734375000001
reveal_danny,danny,reveal,296,high_prior,Danny loves cake,block1,0.99,0.83,0.94,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.42698795180722887,0.41297188755020076,0.9382329317269076,0.9880859375
reveal_danny,danny,reveal,309,low_prior,Danny is a diabetic,block1,0.95,0.32,0.18,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.08301204819277108,0.3729718875502007,0.181285140562249,0.9482421875
reveal_danny,danny,reveal,354,low_prior,Danny is a diabetic,block1,0.30000000000000004,0.51,0.82,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.10698795180722892,-0.2770281124497992,0.8187148594377509,0.30078125000000006
reveal_danny,danny,reveal,366,low_prior,Danny is a diabetic,block1,0.21999999999999997,0.15,0.62,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.2530120481927711,-0.35702811244979926,0.6195180722891566,0.22109374999999998
reveal_danny,danny,reveal,381,high_prior,Danny loves cake,block1,0.4300000000000001,0.68,0.46,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.27698795180722896,-0.14702811244979913,0.4601606425702811,0.4302734375000001
reveal_danny,danny,reveal,384,low_prior,Danny is a diabetic,block1,0.5800000000000001,0.16,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.24301204819277109,0.0029718875502008357,0.002008032128514056,0.5796875
reveal_danny,danny,reveal,391,high_prior,Danny loves cake,block1,0.02000000000000001,0.65,0.81,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.24698795180722893,-0.5570281124497992,0.8087550200803214,0.021875000000000012
reveal_danny,danny,reveal,399,high_prior,Danny loves cake,block1,0.41,0.55,0.39,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.14698795180722896,-0.16702811244979926,0.3904417670682731,0.4103515625
reveal_danny,danny,reveal,454,low_prior,Danny is a diabetic,block1,0.23,0.18,0.1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.2230120481927711,-0.34702811244979925,0.10160642570281125,0.23105468750000002
reveal_danny,danny,reveal,511,high_prior,Danny loves cake,block1,1,0.59,0.57,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.18698795180722888,0.42297188755020076,0.569718875502008,0.998046875
