item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
say_charley,charley,say,3,low_prior,Charley lives in Korea,block1,0.99,0.01,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.42220883534136544,0.6306024096385542,0.011967871485943775,0.9880859375
say_charley,charley,say,46,low_prior,Charley lives in Korea,block1,0.02000000000000001,0.05,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.38220883534136546,-0.3393975903614458,0.011967871485943775,0.021875000000000012
say_charley,charley,say,103,high_prior,Charley lives in Mexico,block1,0,0.94,0.24,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5077911646586345,-0.3593975903614458,0.2410441767068273,0.001953125
say_charley,charley,say,114,high_prior,Charley lives in Mexico,block1,0.01,0.95,0.03,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5177911646586345,-0.3493975903614458,0.03188755020080321,0.011914062500000001
say_charley,charley,say,210,low_prior,Charley lives in Korea,block1,0.93,0.4,0.14,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.03220883534136543,0.5706024096385542,0.14144578313253015,0.9283203125
say_charley,charley,say,224,high_prior,Charley lives in Mexico,block1,0.39,0.81,0.6,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3777911646586346,0.030602409638554207,0.5995983935742971,0.3904296875
say_charley,charley,say,237,high_prior,Charley lives in Mexico,block1,0.97,0.81,0.03,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3777911646586346,0.6106024096385542,0.03188755020080321,0.9681640625
say_charley,charley,say,250,low_prior,Charley lives in Korea,block1,0.45,0.34,0.19,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.09220883534136542,0.0906024096385542,0.1912449799196787,0.4501953125
say_charley,charley,say,259,low_prior,Charley lives in Korea,block1,0.51,0.36,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.07220883534136546,0.1506024096385542,0.002008032128514056,0.5099609375
say_charley,charley,say,299,low_prior,Charley lives in Korea,block1,0.18999999999999995,0.08,0.75,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.35220883534136543,-0.16939759036144586,0.748995983935743,0.19121093749999996
say_charley,charley,say,347,high_prior,Charley lives in Mexico,block1,0.03000000000000002,0.94,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5077911646586345,-0.3293975903614458,0.021927710843373492,0.03183593750000002
say_charley,charley,say,381,high_prior,Charley lives in Mexico,block1,0.39,0.95,0.05,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5177911646586345,0.030602409638554207,0.051807228915662654,0.3904296875
say_charley,charley,say,452,high_prior,Charley lives in Mexico,block1,0.8,0.83,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3977911646586345,0.44060240963855424,0.021927710843373492,0.798828125
say_charley,charley,say,477,low_prior,Charley lives in Korea,block1,0.51,0.28,0.38,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.15220883534136542,0.1506024096385542,0.3804819277108433,0.5099609375
say_charley,charley,say,501,low_prior,Charley lives in Korea,block1,0,0.48,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.04779116465863453,-0.3593975903614458,0.021927710843373492,0.001953125
