item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
announce_charley,charley,announce,6,low_prior,Charley lives in Korea,block2,1,0.48,0.28,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.06562499999999999,0.41816406250000004,0.280859375,0.998046875
announce_charley,charley,announce,196,low_prior,Charley lives in Korea,block2,0.92,0.49,0.55,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.075625,0.3381640625000001,0.5498046875,0.9183593750000001
announce_charley,charley,announce,242,high_prior,Charley lives in Mexico,block2,0.52,0.91,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.49562500000000004,-0.06183593749999994,0.5,0.519921875
announce_charley,charley,announce,285,high_prior,Charley lives in Mexico,block2,0.46,0.63,0.33,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.215625,-0.12183593749999994,0.3306640625,0.46015625000000004
announce_charley,charley,announce,286,high_prior,Charley lives in Mexico,block2,1,0.86,0.06,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.445625,0.41816406250000004,0.061718749999999996,0.998046875
announce_charley,charley,announce,328,high_prior,Charley lives in Mexico,block2,0.51,1,0.53,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5856250000000001,-0.07183593749999995,0.5298828125,0.5099609375
announce_charley,charley,announce,345,high_prior,Charley lives in Mexico,block2,0.87,0.91,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.49562500000000004,0.28816406250000004,0.8984375,0.8685546875
announce_charley,charley,announce,437,low_prior,Charley lives in Korea,block2,0.48,0.27,0.78,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.14437499999999998,-0.10183593749999997,0.77890625,0.48007812499999997
announce_charley,charley,announce,481,high_prior,Charley lives in Mexico,block2,0.8200000000000001,0.94,0.79,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.525625,0.2381640625000001,0.7888671875000001,0.8187500000000001
announce_charley,charley,announce,532,high_prior,Charley lives in Mexico,block2,0.97,0.93,0.91,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.515625,0.3881640625,0.9083984375,0.9681640625
announce_danny,danny,announce,26,low_prior,Danny is a diabetic,block2,0.06000000000000005,0.3,0.12,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.114375,-0.5218359374999999,0.12148437499999999,0.06171875000000005
announce_danny,danny,announce,91,low_prior,Danny is a diabetic,block2,0.9,0,0.06,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.414375,0.31816406250000007,0.061718749999999996,0.8984375
announce_danny,danny,announce,153,low_prior,Danny is a diabetic,block2,1,0.26,0.24,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.15437499999999998,0.41816406250000004,0.24101562499999998,0.998046875
announce_danny,danny,announce,182,high_prior,Danny loves cake,block2,0.64,0.58,0.26,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.16562499999999997,0.05816406250000006,0.2609375,0.6394531250000001
announce_danny,danny,announce,238,low_prior,Danny is a diabetic,block2,1,0.2,0.73,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.21437499999999998,0.41816406250000004,0.7291015625,0.998046875
