item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
confirm_charley,charley,confirm,116,low_prior,Charley lives in Korea,block2,0.45,0.1,0.43,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.306015625,0.11628906249999998,0.43027343749999997,0.4501953125
confirm_charley,charley,confirm,134,high_prior,Charley lives in Mexico,block2,0.01,0.91,0.49,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.503984375,-0.3237109375,0.4900390625,0.011914062500000001
confirm_charley,charley,confirm,164,high_prior,Charley lives in Mexico,block2,0.08999999999999997,0.88,0.91,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.473984375,-0.24371093750000006,0.9083984375,0.09160156249999997
confirm_charley,charley,confirm,230,high_prior,Charley lives in Mexico,block2,0.97,0.74,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.333984375,0.6362890625,0.9681640625,0.9681640625
confirm_charley,charley,confirm,234,high_prior,Charley lives in Mexico,block2,0.27,0.77,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.363984375,-0.06371093750000001,0.3904296875,0.27089843750000003
confirm_charley,charley,confirm,235,high_prior,Charley lives in Mexico,block2,0.92,0.78,0.23,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.37398437500000004,0.5862890625,0.23105468750000002,0.9183593750000001
confirm_charley,charley,confirm,316,low_prior,Charley lives in Korea,block2,0.61,0.27,0.57,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.13601562499999997,0.27628906249999996,0.5697265625,0.6095703124999999
confirm_charley,charley,confirm,533,high_prior,Charley lives in Mexico,block2,0.5700000000000001,0.93,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5239843750000001,0.23628906250000004,0.021875000000000002,0.5697265625000001
confirm_charley,charley,confirm,571,high_prior,Charley lives in Mexico,block2,0.96,0.97,0.05,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.563984375,0.6262890624999999,0.0517578125,0.9582031249999999
confirm_danny,danny,confirm,2,high_prior,Danny loves cake,block2,0.5900000000000001,0.59,0.84,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.18398437499999998,0.25628906250000005,0.838671875,0.5896484375000001
confirm_danny,danny,confirm,37,low_prior,Danny is a diabetic,block2,0.48,0.25,0.13,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.156015625,0.14628906249999996,0.1314453125,0.48007812499999997
confirm_danny,danny,confirm,111,low_prior,Danny is a diabetic,block2,0.05000000000000004,0.11,0.31,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.296015625,-0.2837109375,0.3107421875,0.051757812500000035
