item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
pretend_charley,charley,pretend,20,high_prior,Charley lives in Mexico,block2,0.87,0.9,0.51,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.46859375000000003,0.1324609375,0.5099609375,0.8685546875
pretend_charley,charley,pretend,37,high_prior,Charley lives in Mexico,block2,0.81,0.9,0.34,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.46859375000000003,0.07246093750000004,0.340625,0.8087890625
pretend_charley,charley,pretend,89,low_prior,Charley lives in Korea,block2,0.77,0.11,0.26,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.32140625,0.03246093750000001,0.2609375,0.7689453125
pretend_charley,charley,pretend,165,high_prior,Charley lives in Mexico,block2,1,0.91,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.47859375000000004,0.2624609375,0.011914062500000001,0.998046875
pretend_charley,charley,pretend,272,high_prior,Charley lives in Mexico,block2,0.92,0.95,0.07,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.51859375,0.18246093750000003,0.0716796875,0.9183593750000001
pretend_charley,charley,pretend,282,high_prior,Charley lives in Mexico,block2,1,0.72,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.28859375,0.2624609375,0.001953125,0.998046875
pretend_charley,charley,pretend,293,low_prior,Charley lives in Korea,block2,0.96,0.11,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.32140625,0.22246093749999996,0.021875000000000002,0.9582031249999999
pretend_charley,charley,pretend,319,high_prior,Charley lives in Mexico,block2,0.7,0.85,0.25,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.41859375,-0.03753906250000005,0.2509765625,0.69921875
pretend_charley,charley,pretend,321,low_prior,Charley lives in Korea,block2,0,0.12,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.31140625,-0.7375390625,0.001953125,0.001953125
pretend_charley,charley,pretend,336,high_prior,Charley lives in Mexico,block2,0.8200000000000001,0.91,0.17,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.47859375000000004,0.08246093750000005,0.1712890625,0.8187500000000001
