item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
reveal_charley,charley,reveal,83,low_prior,Charley lives in Korea,block2,0.85,0.06,0.05,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.379140625,0.2916015625,0.0517578125,0.8486328125
reveal_charley,charley,reveal,92,high_prior,Charley lives in Mexico,block2,0,1,0.73,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5608593749999999,-0.5583984375,0.7291015625,0.001953125
reveal_charley,charley,reveal,156,high_prior,Charley lives in Mexico,block2,0.8200000000000001,0.89,0.86,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.450859375,0.2616015625000001,0.8585937499999999,0.8187500000000001
reveal_charley,charley,reveal,213,low_prior,Charley lives in Korea,block2,0.99,0.35,0.92,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.08914062500000003,0.43160156250000004,0.9183593750000001,0.9880859375
reveal_charley,charley,reveal,273,low_prior,Charley lives in Korea,block2,0.99,0.33,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.10914062499999999,0.43160156250000004,0.9880859375,0.9880859375
reveal_charley,charley,reveal,323,low_prior,Charley lives in Korea,block2,0.61,0.35,0.53,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.08914062500000003,0.05160156250000003,0.5298828125,0.6095703124999999
reveal_charley,charley,reveal,500,high_prior,Charley lives in Mexico,block2,0.6599999999999999,0.78,0.65,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.340859375,0.10160156249999996,0.6494140625,0.6593749999999999
reveal_charley,charley,reveal,528,high_prior,Charley lives in Mexico,block2,0.02000000000000001,0.97,0.8,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5308593749999999,-0.5383984374999999,0.798828125,0.021875000000000012
reveal_charley,charley,reveal,538,high_prior,Charley lives in Mexico,block2,0.18999999999999995,0.71,0.24,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.27085937499999996,-0.3683984375,0.24101562499999998,0.19121093749999996
reveal_charley,charley,reveal,588,low_prior,Charley lives in Korea,block2,0.97,0.04,0.23,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.399140625,0.4116015625,0.23105468750000002,0.9681640625
reveal_danny,danny,reveal,80,high_prior,Danny loves cake,block2,0.43999999999999995,0.5,0.64,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.06085937499999999,-0.11839843750000001,0.6394531250000001,0.44023437499999996
reveal_danny,danny,reveal,144,high_prior,Danny loves cake,block2,1,0.74,0.86,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.300859375,0.44160156250000004,0.8585937499999999,0.998046875
reveal_danny,danny,reveal,164,low_prior,Danny is a diabetic,block2,0.4300000000000001,0.46,0.62,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.020859375000000013,-0.12839843749999985,0.61953125,0.4302734375000001
