item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
see_charley,charley,see,63,low_prior,Charley lives in Korea,block2,1,0.22,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.201015625,0.28910156249999996,0.3904296875,0.998046875
see_charley,charley,see,79,high_prior,Charley lives in Mexico,block2,1,0.89,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.468984375,0.28910156249999996,0.998046875,0.998046875
see_charley,charley,see,124,high_prior,Charley lives in Mexico,block2,1,0.95,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.528984375,0.28910156249999996,0.001953125,0.998046875
see_charley,charley,see,135,high_prior,Charley lives in Mexico,block2,0.99,0.89,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.468984375,0.27910156249999996,0.9582031249999999,0.9880859375
see_charley,charley,see,260,low_prior,Charley lives in Korea,block2,0.83,0.5,0.17,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.078984375,0.11910156249999992,0.1712890625,0.8287109374999999
see_charley,charley,see,508,high_prior,Charley lives in Mexico,block2,1,0.78,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.358984375,0.28910156249999996,0.998046875,0.998046875
see_charley,charley,see,520,high_prior,Charley lives in Mexico,block2,0.64,0.76,0.8,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.338984375,-0.07089843750000002,0.798828125,0.6394531250000001
see_charley,charley,see,529,high_prior,Charley lives in Mexico,block2,0,0.84,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.41898437499999996,-0.7108984375,0.998046875,0.001953125
see_charley,charley,see,559,high_prior,Charley lives in Mexico,block2,1,1,0.92,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.578984375,0.28910156249999996,0.9183593750000001,0.998046875
see_charley,charley,see,561,low_prior,Charley lives in Korea,block2,0.05000000000000004,0.48,0.87,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.05898437499999998,-0.6608984375,0.8685546875,0.051757812500000035
see_charley,charley,see,575,low_prior,Charley lives in Korea,block2,0.16000000000000003,0.06,0.17,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.361015625,-0.5508984375,0.1712890625,0.16132812500000004
see_charley,charley,see,577,low_prior,Charley lives in Korea,block2,0.13,0.38,0.83,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.041015625,-0.5808984375,0.8287109374999999,0.1314453125
see_danny,danny,see,10,high_prior,Danny loves cake,block2,0.02000000000000001,0.64,0.27,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.218984375,-0.6908984375,0.27089843750000003,0.021875000000000012
see_danny,danny,see,23,high_prior,Danny loves cake,block2,0.33999999999999997,0.64,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.218984375,-0.37089843750000007,0.001953125,0.34062499999999996
see_danny,danny,see,85,high_prior,Danny loves cake,block2,0.8200000000000001,0.83,0.92,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.40898437499999996,0.10910156250000003,0.9183593750000001,0.8187500000000001
see_danny,danny,see,140,low_prior,Danny is a diabetic,block2,0.97,0.38,0.91,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.041015625,0.25910156249999994,0.9083984375,0.9681640625
see_danny,danny,see,145,high_prior,Danny loves cake,block2,0.04000000000000003,0.69,0.52,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.26898437499999994,-0.6708984375,0.519921875,0.04179687500000003
see_danny,danny,see,169,low_prior,Danny is a diabetic,block2,0.98,0.19,0.98,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.231015625,0.26910156249999995,0.978125,0.978125
see_danny,danny,see,201,low_prior,Danny is a diabetic,block2,0.99,0.05,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.371015625,0.27910156249999996,0.998046875,0.9880859375
see_danny,danny,see,288,high_prior,Danny loves cake,block2,0.37,0.48,0.48,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.05898437499999998,-0.34089843750000004,0.48007812499999997,0.3705078125
see_danny,danny,see,323,low_prior,Danny is a diabetic,block2,0.62,0.24,0.53,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.181015625,-0.09089843750000004,0.5298828125,0.61953125
see_danny,danny,see,338,low_prior,Danny is a diabetic,block2,0.30000000000000004,0.18,0.33,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.241015625,-0.4108984375,0.3306640625,0.30078125000000006
see_danny,danny,see,393,high_prior,Danny loves cake,block2,0.98,0.79,0.93,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.36898437500000003,0.26910156249999995,0.9283203125,0.978125
see_danny,danny,see,417,high_prior,Danny loves cake,block2,0.46,0.66,0.68,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.23898437500000003,-0.2508984375,0.679296875,0.46015625000000004
see_danny,danny,see,469,low_prior,Danny is a diabetic,block2,0.98,0.09,0.97,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.33101562500000004,0.26910156249999995,0.9681640625,0.978125
