item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
establish_charley,charley,establish,65,high_prior,Charley lives in Mexico,block2,0.28,0.76,0.04,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.33691089108910893,-0.08186138613861382,0.04091089108910891,0.28043564356435646
establish_charley,charley,establish,71,high_prior,Charley lives in Mexico,block1,0.36,0.6,0.46,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.1769108910891089,-0.001861386138613863,0.4600792079207921,0.36027722772277226
establish_charley,charley,establish,94,high_prior,Charley lives in Mexico,block1,0.7,0.74,0.12,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3169108910891089,0.3381386138613861,0.12075247524752475,0.6996039603960396
establish_charley,charley,establish,97,low_prior,Charley lives in Korea,block1,0.03000000000000002,0.48,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.056910891089108906,-0.3318613861386138,0.5,0.03093069306930695
establish_charley,charley,establish,128,high_prior,Charley lives in Mexico,block1,0.19999999999999996,0.87,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4469108910891089,-0.1618613861386139,0.8992079207920792,0.20059405940594055
establish_charley,charley,establish,141,high_prior,Charley lives in Mexico,block1,0,1,0.15,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.576910891089109,-0.36186138613861385,0.1506930693069307,9.900990099009901e-4
establish_charley,charley,establish,142,low_prior,Charley lives in Korea,block1,0.01,0.15,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.2730891089108911,-0.35186138613861384,0.020950495049504952,0.01097029702970297
establish_charley,charley,establish,195,low_prior,Charley lives in Korea,block1,0.31999999999999995,0,0.21,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.4230891089108911,-0.0418613861386139,0.21057425742574254,0.3203564356435643
establish_charley,charley,establish,197,high_prior,Charley lives in Mexico,block2,0.27,0.83,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4069108910891089,-0.09186138613861383,0.999009900990099,0.2704554455445545
establish_charley,charley,establish,203,low_prior,Charley lives in Korea,block2,0.49,0.06,0.38,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3630891089108911,0.12813861386138614,0.38023762376237624,0.490019801980198
