item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
see_charley,charley,see,60,low_prior,Charley lives in Korea,block1,1,0.09,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3429108910891089,0.3042574257425743,0.999009900990099,0.999009900990099
see_charley,charley,see,63,low_prior,Charley lives in Korea,block2,1,0.22,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.2129108910891089,0.3042574257425743,0.39021782178217823,0.999009900990099
see_charley,charley,see,79,high_prior,Charley lives in Mexico,block2,1,0.89,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4570891089108911,0.3042574257425743,0.999009900990099,0.999009900990099
see_charley,charley,see,93,high_prior,Charley lives in Mexico,block1,0.8,0.73,0.69,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.2970891089108911,0.10425742574257435,0.6896237623762376,0.7994059405940594
see_charley,charley,see,102,high_prior,Charley lives in Mexico,block1,0.13,1,0.69,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5670891089108911,-0.5657425742574257,0.6896237623762376,0.13073267326732674
see_charley,charley,see,124,high_prior,Charley lives in Mexico,block2,1,0.95,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5170891089108911,0.3042574257425743,9.900990099009901e-4,0.999009900990099
see_charley,charley,see,135,high_prior,Charley lives in Mexico,block2,0.99,0.89,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4570891089108911,0.2942574257425743,0.959089108910891,0.989029702970297
see_charley,charley,see,137,high_prior,Charley lives in Mexico,block1,0.8,0.69,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.25708910891089104,0.10425742574257435,0.999009900990099,0.7994059405940594
see_charley,charley,see,147,high_prior,Charley lives in Mexico,block1,0.75,0.81,0.79,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.37708910891089115,0.054257425742574306,0.7894257425742575,0.7495049504950495
see_charley,charley,see,175,high_prior,Charley lives in Mexico,block1,0.5900000000000001,0.78,0.76,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3470891089108911,-0.10574257425742561,0.7594851485148515,0.5898217821782179
see_charley,charley,see,199,high_prior,Charley lives in Mexico,block1,0.99,0.83,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.39708910891089105,0.2942574257425743,0.959089108910891,0.989029702970297
see_charley,charley,see,257,low_prior,Charley lives in Korea,block1,0.06000000000000005,0.49,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.057089108910891084,-0.6357425742574256,0.969069306930693,0.060871287128712925
see_charley,charley,see,260,low_prior,Charley lives in Korea,block2,0.83,0.5,0.17,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.0670891089108911,0.13425742574257427,0.17065346534653467,0.8293465346534653
see_charley,charley,see,315,low_prior,Charley lives in Korea,block1,0.47,0.7,0.77,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.26708910891089105,-0.22574257425742572,0.7694653465346535,0.47005940594059403
see_charley,charley,see,322,high_prior,Charley lives in Mexico,block1,0.77,0.92,0.78,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.48708910891089113,0.07425742574257432,0.7794455445544555,0.7694653465346535
see_charley,charley,see,403,high_prior,Charley lives in Mexico,block1,0.03000000000000002,0.97,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5370891089108911,-0.6657425742574257,0.969069306930693,0.03093069306930695
see_charley,charley,see,425,high_prior,Charley lives in Mexico,block1,0.96,0.96,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5270891089108911,0.26425742574257427,0.959089108910891,0.959089108910891
see_charley,charley,see,462,low_prior,Charley lives in Korea,block1,0.96,0.3,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.13291089108910892,0.26425742574257427,0.9491089108910891,0.959089108910891
see_charley,charley,see,472,low_prior,Charley lives in Korea,block1,0,0.23,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.2029108910891089,-0.6957425742574257,0.999009900990099,9.900990099009901e-4
see_charley,charley,see,508,high_prior,Charley lives in Mexico,block2,1,0.78,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3470891089108911,0.3042574257425743,0.999009900990099,0.999009900990099
see_charley,charley,see,520,high_prior,Charley lives in Mexico,block2,0.64,0.76,0.8,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3270891089108911,-0.05574257425742568,0.7994059405940594,0.6397227722772277
see_charley,charley,see,529,high_prior,Charley lives in Mexico,block2,0,0.84,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.40708910891089106,-0.6957425742574257,0.999009900990099,9.900990099009901e-4
see_charley,charley,see,559,high_prior,Charley lives in Mexico,block2,1,1,0.92,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5670891089108911,0.3042574257425743,0.9191683168316832,0.999009900990099
see_charley,charley,see,561,low_prior,Charley lives in Korea,block2,0.05000000000000004,0.48,0.87,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.047089108910891075,-0.64574257425742565,0.8692673267326733,0.05089108910891093
see_charley,charley,see,572,low_prior,Charley lives in Korea,block1,0.02000000000000001,0.07,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3629108910891089,-0.6757425742574257,0.5,0.020950495049504962
see_charley,charley,see,575,low_prior,Charley lives in Korea,block2,0.16000000000000003,0.06,0.17,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3729108910891089,-0.5357425742574257,0.17065346534653467,0.1606732673267327
see_charley,charley,see,577,low_prior,Charley lives in Korea,block2,0.13,0.38,0.83,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.0529108910891089,-0.5657425742574257,0.8293465346534653,0.13073267326732674
see_danny,danny,see,4,low_prior,Danny is a diabetic,block1,1,0.29,0.51,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.14291089108910893,0.3042574257425743,0.509980198019802,0.999009900990099
see_danny,danny,see,10,high_prior,Danny loves cake,block2,0.02000000000000001,0.64,0.27,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.2070891089108911,-0.6757425742574257,0.2704554455445545,0.020950495049504962
see_danny,danny,see,23,high_prior,Danny loves cake,block2,0.33999999999999997,0.64,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.2070891089108911,-0.3557425742574257,9.900990099009901e-4,0.3403168316831683
see_danny,danny,see,29,low_prior,Danny is a diabetic,block1,0.8,0.27,0.29,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.1629108910891089,0.10425742574257435,0.2904158415841584,0.7994059405940594
see_danny,danny,see,32,low_prior,Danny is a diabetic,block1,0.49,0.04,0.22,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3929108910891089,-0.2057425742574257,0.22055445544554456,0.490019801980198
see_danny,danny,see,85,high_prior,Danny loves cake,block2,0.8200000000000001,0.83,0.92,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.39708910891089105,0.12425742574257437,0.9191683168316832,0.8193663366336634
see_danny,danny,see,140,low_prior,Danny is a diabetic,block2,0.97,0.38,0.91,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.0529108910891089,0.2742574257425743,0.9091881188118812,0.969069306930693
see_danny,danny,see,145,high_prior,Danny loves cake,block2,0.04000000000000003,0.69,0.52,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.25708910891089104,-0.6557425742574257,0.519960396039604,0.04091089108910894
see_danny,danny,see,169,low_prior,Danny is a diabetic,block2,0.98,0.19,0.98,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.2429108910891089,0.2842574257425743,0.979049504950495,0.979049504950495
see_danny,danny,see,201,low_prior,Danny is a diabetic,block2,0.99,0.05,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3829108910891089,0.2942574257425743,0.999009900990099,0.989029702970297
see_danny,danny,see,210,high_prior,Danny loves cake,block1,0.53,0.72,0.98,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.28708910891089107,-0.16574257425742567,0.979049504950495,0.529940594059406
see_danny,danny,see,265,low_prior,Danny is a diabetic,block1,0.6,0.11,0.9,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3229108910891089,-0.09574257425742572,0.8992079207920792,0.5998019801980198
see_danny,danny,see,288,high_prior,Danny loves cake,block2,0.37,0.48,0.48,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.047089108910891075,-0.3257425742574257,0.480039603960396,0.37025742574257425
see_danny,danny,see,323,low_prior,Danny is a diabetic,block2,0.62,0.24,0.53,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.19291089108910892,-0.0757425742574257,0.529940594059406,0.6197623762376238
see_danny,danny,see,338,low_prior,Danny is a diabetic,block2,0.30000000000000004,0.18,0.33,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.2529108910891089,-0.39574257425742565,0.33033663366336635,0.30039603960396044
see_danny,danny,see,344,low_prior,Danny is a diabetic,block1,1,0.06,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3729108910891089,0.3042574257425743,0.999009900990099,0.999009900990099
see_danny,danny,see,393,high_prior,Danny loves cake,block2,0.98,0.79,0.93,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.35708910891089113,0.2842574257425743,0.9291485148514852,0.979049504950495
see_danny,danny,see,417,high_prior,Danny loves cake,block2,0.46,0.66,0.68,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.22708910891089112,-0.23574257425742567,0.6796435643564357,0.4600792079207921
see_danny,danny,see,449,low_prior,Danny is a diabetic,block1,1,0.54,0.66,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.10708910891089113,0.3042574257425743,0.6596831683168317,0.999009900990099
see_danny,danny,see,469,low_prior,Danny is a diabetic,block2,0.98,0.09,0.97,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3429108910891089,0.2842574257425743,0.969069306930693,0.979049504950495
see_danny,danny,see,481,high_prior,Danny loves cake,block2,1,0.5,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.0670891089108911,0.3042574257425743,0.999009900990099,0.999009900990099
see_danny,danny,see,485,low_prior,Danny is a diabetic,block2,0.76,0.28,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.15291089108910888,0.06425742574257431,0.999009900990099,0.7594851485148515
see_danny,danny,see,501,low_prior,Danny is a diabetic,block1,0.14,0.04,0.52,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3929108910891089,-0.5557425742574257,0.519960396039604,0.14071287128712873
see_danny,danny,see,518,high_prior,Danny loves cake,block1,0.99,0.52,0.91,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.08708910891089111,0.2942574257425743,0.9091881188118812,0.989029702970297
see_danny,danny,see,562,high_prior,Danny loves cake,block2,0.52,0.68,0.97,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.24708910891089114,-0.17574257425742568,0.969069306930693,0.519960396039604
see_danny,danny,see,566,low_prior,Danny is a diabetic,block2,0.72,0.1,0.14,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3329108910891089,0.02425742574257428,0.14071287128712873,0.7195643564356435
see_danny,danny,see,578,low_prior,Danny is a diabetic,block1,1,0.04,0.88,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3929108910891089,0.3042574257425743,0.8792475247524753,0.999009900990099
see_emily,emily,see,14,low_prior,Emily never has any money,block2,0.76,0.16,0.72,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.27291089108910893,0.06425742574257431,0.7195643564356435,0.7594851485148515
see_emily,emily,see,24,low_prior,Emily never has any money,block1,0.01,0.15,0.98,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.28291089108910894,-0.6857425742574257,0.979049504950495,0.01097029702970297
