short_trigger,projective,aiMean,prior,content,workerid,betaProjective,caiMean,cprior
acknowledge,1,0.7441379310344828,0.11,charley,8,0.999009900990099,0.11606329444347163,-0.31306930693069307
acknowledge,0.66,0.7441379310344828,0.02,charley,12,0.6596831683168317,0.11606329444347163,-0.40306930693069304
acknowledge,0.61,0.7441379310344828,0.05,charley,50,0.6097821782178218,0.11606329444347163,-0.37306930693069307
acknowledge,0.02,0.6538461538461539,0.81,charley,67,0.02095049504950495,0.025771517255142706,0.386930693069307
acknowledge,0.02,0.7441379310344828,0.5,charley,129,0.02095049504950495,0.11606329444347163,0.07693069306930694
acknowledge,0.14,0.6538461538461539,0.81,charley,157,0.14071287128712873,0.025771517255142706,0.386930693069307
acknowledge,0.02,0.6538461538461539,0.84,charley,184,0.02095049504950495,0.025771517255142706,0.4169306930693069
acknowledge,0.94,0.6538461538461539,0.93,charley,194,0.9391287128712872,0.025771517255142706,0.5069306930693069
acknowledge,0.11,0.7441379310344828,0.45,charley,221,0.11077227722772276,0.11606329444347163,0.026930693069306955
acknowledge,0.91,0.7441379310344828,0.22,charley,236,0.9091881188118812,0.11606329444347163,-0.20306930693069306
acknowledge,0.91,0.6538461538461539,0.91,charley,261,0.9091881188118812,0.025771517255142706,0.486930693069307
acknowledge,1,0.7441379310344828,0.05,charley,301,0.999009900990099,0.11606329444347163,-0.37306930693069307
acknowledge,0.93,0.6538461538461539,0.97,charley,326,0.9291485148514852,0.025771517255142706,0.546930693069307
acknowledge,0.98,0.7441379310344828,0.48,charley,374,0.979049504950495,0.11606329444347163,0.056930693069306926
acknowledge,0.72,0.6538461538461539,0.91,charley,423,0.7195643564356435,0.025771517255142706,0.486930693069307
acknowledge,0.13,0.6538461538461539,0.82,charley,444,0.13073267326732674,0.025771517255142706,0.3969306930693069
acknowledge,0.33,0.6538461538461539,0.49,charley,446,0.33033663366336635,0.025771517255142706,0.06693069306930693
acknowledge,0,0.7441379310344828,0.28,charley,448,9.9009900990099e-4,0.11606329444347163,-0.14306930693069303
acknowledge,0.76,0.7441379310344828,0.33,charley,470,0.7594851485148515,0.11606329444347163,-0.09306930693069304
acknowledge,0,0.6538461538461539,0.97,charley,488,9.9009900990099e-4,0.025771517255142706,0.546930693069307
acknowledge,0.96,0.7441379310344828,0.59,charley,530,0.959089108910891,0.11606329444347163,0.1669306930693069
acknowledge,1,0.6538461538461539,0.95,charley,540,0.999009900990099,0.025771517255142706,0.526930693069307
acknowledge,0.62,0.7441379310344828,0.42,charley,555,0.6197623762376238,0.11606329444347163,-0.003069306930693072
acknowledge,0.75,0.7441379310344828,0.33,charley,587,0.7495049504950495,0.11606329444347163,-0.09306930693069304
acknowledge,0.57,0.6538461538461539,0.2,charley,596,0.5698613861386138,0.025771517255142706,-0.22306930693069305
acknowledge,0.78,0.73,0.82,danny,20,0.7794455445544555,0.10192536340898883,0.3969306930693069
acknowledge,0.78,0.73,0.62,danny,43,0.7794455445544555,0.10192536340898883,0.19693069306930694
acknowledge,0,0.6162962962962963,0.28,danny,53,9.9009900990099e-4,-0.011778340294714806,-0.14306930693069303
acknowledge,0.64,0.6162962962962963,0.33,danny,107,0.6397227722772277,-0.011778340294714806,-0.09306930693069304
acknowledge,0.65,0.6162962962962963,0.27,danny,146,0.6497029702970297,-0.011778340294714806,-0.15306930693069304
acknowledge,0.05,0.73,0.57,danny,163,0.05089108910891089,0.10192536340898883,0.1469306930693069
acknowledge,0.92,0.6162962962962963,0.35,danny,165,0.9191683168316832,-0.011778340294714806,-0.07306930693069308
acknowledge,0.98,0.73,0.83,danny,185,0.979049504950495,0.10192536340898883,0.4069306930693069
acknowledge,0.74,0.73,0.59,danny,258,0.7395247524752475,0.10192536340898883,0.1669306930693069
acknowledge,0.37,0.73,0.5,danny,277,0.37025742574257425,0.10192536340898883,0.07693069306930694
acknowledge,0.62,0.6162962962962963,0.36,danny,280,0.6197623762376238,-0.011778340294714806,-0.06306930693069307
acknowledge,0.82,0.73,0.6,danny,335,0.8193663366336633,0.10192536340898883,0.17693069306930692
acknowledge,0.21,0.6162962962962963,0.11,danny,465,0.21057425742574257,-0.011778340294714806,-0.31306930693069307
acknowledge,0.76,0.73,0.91,danny,498,0.7594851485148515,0.10192536340898883,0.486930693069307
acknowledge,0.57,0.6162962962962963,0.03,danny,502,0.5698613861386138,-0.011778340294714806,-0.3930693069306931
acknowledge,0.04,0.6162962962962963,0.17,danny,509,0.04091089108910891,-0.011778340294714806,-0.25306930693069307
acknowledge,0.34,0.6162962962962963,0.12,danny,525,0.34031683168316834,-0.011778340294714806,-0.30306930693069306
acknowledge,0.18,0.73,0.79,danny,551,0.18063366336633663,0.10192536340898883,0.366930693069307
acknowledge,0.38,0.6162962962962963,0.19,danny,552,0.38023762376237624,-0.011778340294714806,-0.23306930693069305
acknowledge,0.11,0.73,0.68,danny,559,0.11077227722772276,0.10192536340898883,0.256930693069307
acknowledge,0.12,0.6162962962962963,0.12,danny,560,0.12075247524752476,-0.011778340294714806,-0.30306930693069306
acknowledge,0.96,0.6420833333333333,0.3,emily,59,0.959089108910891,0.014008696742322191,-0.12306930693069307
