short_trigger,projective,aiMean,prior,content,workerid,betaProjective,caiMean,cprior
announce,0.28,0.6465,0.48,charley,6,0.28043564356435646,0.05225600129986796,0.05964356435643564
announce,0.92,0.7237037037037037,0.92,charley,38,0.9191683168316832,0.12945970500357173,0.4996435643564357
announce,0.55,0.6465,0.49,charley,196,0.54990099009901,0.05225600129986796,0.06964356435643565
announce,0.07,0.7237037037037037,0.42,charley,233,0.07085148514851486,0.12945970500357173,-3.5643564356435675e-4
announce,0.5,0.7237037037037037,0.91,charley,242,0.5,0.12945970500357173,0.4896435643564357
announce,0.33,0.7237037037037037,0.63,charley,285,0.33033663366336635,0.12945970500357173,0.20964356435643566
announce,0.06,0.7237037037037037,0.86,charley,286,0.06087128712871287,0.12945970500357173,0.43964356435643565
announce,0.53,0.7237037037037037,1,charley,328,0.529940594059406,0.12945970500357173,0.5796435643564357
announce,0.83,0.7237037037037037,0.93,charley,329,0.8293465346534653,0.12945970500357173,0.5096435643564357
announce,0.9,0.7237037037037037,0.91,charley,345,0.8992079207920792,0.12945970500357173,0.4896435643564357
announce,1,0.7237037037037037,1,charley,361,0.999009900990099,0.12945970500357173,0.5796435643564357
announce,0.94,0.6465,0.44,charley,379,0.9391287128712872,0.05225600129986796,0.01964356435643566
announce,0.92,0.7237037037037037,0.7,charley,385,0.9191683168316832,0.12945970500357173,0.2796435643564356
announce,0.78,0.6465,0.27,charley,437,0.7794455445544555,0.05225600129986796,-0.15035643564356432
announce,0.49,0.6465,0.52,charley,447,0.490019801980198,0.05225600129986796,0.09964356435643568
announce,0.74,0.7237037037037037,0.78,charley,453,0.7395247524752475,0.12945970500357173,0.3596435643564357
announce,0.79,0.7237037037037037,0.94,charley,481,0.7894257425742575,0.12945970500357173,0.5196435643564357
announce,0.91,0.7237037037037037,0.93,charley,532,0.9091881188118812,0.12945970500357173,0.5096435643564357
announce,0.98,0.7237037037037037,0.9,charley,568,0.979049504950495,0.12945970500357173,0.4796435643564357
announce,0.49,0.6654166666666667,0.09,danny,11,0.490019801980198,0.07117266796653465,-0.3303564356435643
announce,0.12,0.6654166666666667,0.3,danny,26,0.12075247524752476,0.07117266796653465,-0.12035643564356435
announce,0.11,0.4945,0.75,danny,48,0.11077227722772276,-0.09974399870013201,0.32964356435643566
announce,0.06,0.6654166666666667,0,danny,91,0.06087128712871287,0.07117266796653465,-0.42035643564356434
announce,0.47,0.6654166666666667,0.26,danny,97,0.470059405940594,0.07117266796653465,-0.16035643564356433
announce,0.24,0.6654166666666667,0.26,danny,153,0.2405148514851485,0.07117266796653465,-0.16035643564356433
announce,0.19,0.6654166666666667,0.17,danny,155,0.19061386138613864,0.07117266796653465,-0.25035643564356436
announce,0.26,0.4945,0.58,danny,182,0.2604752475247525,-0.09974399870013201,0.15964356435643562
announce,0.73,0.6654166666666667,0.2,danny,238,0.7295445544554455,0.07117266796653465,-0.22035643564356433
announce,0.23,0.4945,0.51,danny,274,0.23053465346534657,-0.09974399870013201,0.08964356435643567
announce,0,0.6654166666666667,0.5,danny,302,9.9009900990099e-4,0.07117266796653465,0.07964356435643566
announce,0.68,0.4945,0.54,danny,341,0.6796435643564357,-0.09974399870013201,0.1196435643564357
announce,0.68,0.4945,0.65,danny,353,0.6796435643564357,-0.09974399870013201,0.22964356435643568
announce,0.55,0.6654166666666667,0.08,danny,402,0.54990099009901,0.07117266796653465,-0.3403564356435643
announce,0.02,0.6654166666666667,0.02,danny,403,0.02095049504950495,0.07117266796653465,-0.4003564356435643
announce,0.54,0.6654166666666667,0.36,danny,524,0.539920792079208,0.07117266796653465,-0.060356435643564355
announce,0,0.4945,0.82,danny,528,9.9009900990099e-4,-0.09974399870013201,0.3996435643564356
announce,0.14,0.6654166666666667,0.04,danny,587,0.14071287128712873,0.07117266796653465,-0.38035643564356436
announce,0.86,0.6654166666666667,0.09,danny,589,0.8592871287128713,0.07117266796653465,-0.3303564356435643
announce,0,0.6658333333333333,0.5,emily,22,9.9009900990099e-4,0.07158933463320127,0.07964356435643566
announce,0.04,0.6658333333333333,0.23,emily,34,0.04091089108910891,0.07158933463320127,-0.19035643564356433
announce,0.02,0.6658333333333333,0.07,emily,35,0.02095049504950495,0.07158933463320127,-0.35035643564356433
announce,0.25,0.6658333333333333,0.59,emily,68,0.2504950495049505,0.07158933463320127,0.16964356435643563
announce,1,0.47291666666666665,0.19,emily,76,0.999009900990099,-0.12132733203346535,-0.23035643564356434
announce,0.75,0.47291666666666665,0.78,emily,116,0.7495049504950495,-0.12132733203346535,0.3596435643564357
announce,0.15,0.47291666666666665,0.01,emily,118,0.1506930693069307,-0.12132733203346535,-0.41035643564356433
announce,0.84,0.47291666666666665,0.07,emily,132,0.8393267326732673,-0.12132733203346535,-0.35035643564356433
announce,0.84,0.47291666666666665,0.15,emily,137,0.8393267326732673,-0.12132733203346535,-0.2703564356435644
announce,0.49,0.6658333333333333,0.32,emily,145,0.490019801980198,0.07158933463320127,-0.10035643564356433
announce,0.34,0.6658333333333333,0,emily,167,0.34031683168316834,0.07158933463320127,-0.42035643564356434
announce,0.69,0.47291666666666665,0.05,emily,189,0.6896237623762376,-0.12132733203346535,-0.37035643564356435
