short_trigger,projective,aiMean,prior,content,workerid,betaProjective,caiMean,cprior
confirm,0.29,0.44894736842105265,0.05,charley,1,0.2904158415841584,0.11575945253735104,-0.3788118811881188
confirm,0.48,0.3674193548387097,0.81,charley,4,0.480039603960396,0.034231438955008076,0.38118811881188125
confirm,0.01,0.3674193548387097,0.83,charley,16,0.01097029702970297,0.034231438955008076,0.40118811881188116
confirm,0.08,0.44894736842105265,0.08,charley,40,0.08083168316831683,0.11575945253735104,-0.3488118811881188
confirm,0.46,0.3674193548387097,0.91,charley,90,0.4600792079207921,0.034231438955008076,0.4811881188118812
confirm,0.43,0.44894736842105265,0.1,charley,116,0.4301386138613862,0.11575945253735104,-0.32881188118811877
confirm,0.49,0.3674193548387097,0.91,charley,134,0.490019801980198,0.034231438955008076,0.4811881188118812
confirm,0.02,0.44894736842105265,0,charley,150,0.02095049504950495,0.11575945253735104,-0.4288118811881188
confirm,0.91,0.3674193548387097,0.88,charley,164,0.9091881188118812,0.034231438955008076,0.4511881188118812
confirm,0,0.44894736842105265,0.24,charley,181,9.9009900990099e-4,0.11575945253735104,-0.1888118811881188
confirm,0.97,0.3674193548387097,0.74,charley,230,0.969069306930693,0.034231438955008076,0.3111881188118812
confirm,0.95,0.3674193548387097,0.78,charley,232,0.9491089108910892,0.034231438955008076,0.3511881188118812
confirm,0.39,0.3674193548387097,0.77,charley,234,0.39021782178217823,0.034231438955008076,0.3411881188118812
confirm,0.23,0.3674193548387097,0.78,charley,235,0.23053465346534657,0.034231438955008076,0.3511881188118812
confirm,0,0.3674193548387097,0.94,charley,271,9.9009900990099e-4,0.034231438955008076,0.5111881188118812
confirm,0.15,0.44894736842105265,0.26,charley,280,0.1506930693069307,0.11575945253735104,-0.1688118811881188
confirm,0.57,0.44894736842105265,0.27,charley,316,0.5698613861386138,0.11575945253735104,-0.1588118811881188
confirm,0.17,0.3674193548387097,0.95,charley,325,0.17065346534653467,0.034231438955008076,0.5211881188118812
confirm,0.48,0.44894736842105265,0.15,charley,376,0.480039603960396,0.11575945253735104,-0.27881188118811884
confirm,0,0.44894736842105265,0.27,charley,384,9.9009900990099e-4,0.11575945253735104,-0.1588118811881188
confirm,0.82,0.3674193548387097,0.83,charley,464,0.8193663366336633,0.034231438955008076,0.40118811881188116
confirm,0.16,0.44894736842105265,0.22,charley,492,0.16067326732673268,0.11575945253735104,-0.2088118811881188
confirm,0.07,0.44894736842105265,0.36,charley,511,0.07085148514851486,0.11575945253735104,-0.06881188118811882
confirm,0.02,0.3674193548387097,0.93,charley,533,0.02095049504950495,0.034231438955008076,0.5011881188118812
confirm,0.03,0.44894736842105265,0.39,charley,543,0.03093069306930693,0.11575945253735104,-0.03881188118811879
confirm,0.05,0.3674193548387097,0.97,charley,571,0.05089108910891089,0.034231438955008076,0.5411881188118812
confirm,0.84,0.4058620689655173,0.59,danny,2,0.8393267326732673,0.07267415308181568,0.16118811881188116
confirm,0,0.4058620689655173,1,danny,22,9.9009900990099e-4,0.07267415308181568,0.5711881188118813
confirm,0.01,0.4058620689655173,0.77,danny,34,0.01097029702970297,0.07267415308181568,0.3411881188118812
confirm,0.13,0.2976,0.25,danny,37,0.13073267326732674,-0.03558791588370164,-0.1788118811881188
confirm,1,0.2976,0.49,danny,76,0.999009900990099,-0.03558791588370164,0.06118811881188119
confirm,0,0.2976,0.04,danny,103,9.9009900990099e-4,-0.03558791588370164,-0.3888118811881188
confirm,0.31,0.2976,0.11,danny,111,0.3103762376237624,-0.03558791588370164,-0.3188118811881188
confirm,0.01,0.4058620689655173,0.51,danny,174,0.01097029702970297,0.07267415308181568,0.0811881188118812
confirm,0.63,0.4058620689655173,0.6,danny,178,0.6297425742574257,0.07267415308181568,0.17118811881188117
confirm,0.01,0.4058620689655173,0.55,danny,199,0.01097029702970297,0.07267415308181568,0.12118811881188124
