short_trigger,projective,aiMean,prior,content,workerid,betaProjective,caiMean,cprior
discover,0.69,0.7564705882352941,0.63,charley,10,0.6896237623762376,0.06835491931534587,0.1992871287128713
discover,0.61,0.8533333333333333,0.07,charley,57,0.6097821782178218,0.16521766441338503,-0.3607128712871287
discover,0.99,0.8533333333333333,0.19,charley,95,0.989029702970297,0.16521766441338503,-0.2407128712871287
discover,0.52,0.8533333333333333,0.35,charley,96,0.519960396039604,0.16521766441338503,-0.08071287128712873
discover,1,0.7564705882352941,0.87,charley,144,0.999009900990099,0.06835491931534587,0.4392871287128713
discover,0.98,0.8533333333333333,0.06,charley,201,0.979049504950495,0.16521766441338503,-0.3707128712871287
discover,0.85,0.8533333333333333,0.48,charley,226,0.8493069306930693,0.16521766441338503,0.049287128712871275
discover,0.84,0.7564705882352941,0.71,charley,228,0.8393267326732673,0.06835491931534587,0.27928712871287126
discover,0,0.8533333333333333,0.17,charley,243,9.9009900990099e-4,0.16521766441338503,-0.2607128712871287
discover,0.25,0.7564705882352941,0.78,charley,334,0.2504950495049505,0.06835491931534587,0.3492871287128713
discover,0.7,0.7564705882352941,0.85,charley,397,0.6996039603960396,0.06835491931534587,0.41928712871287127
discover,0.5,0.8533333333333333,0.22,charley,418,0.5,0.16521766441338503,-0.2107128712871287
discover,0.65,0.7564705882352941,0.95,charley,436,0.6497029702970297,0.06835491931534587,0.5192871287128713
discover,0.98,0.7564705882352941,0.83,charley,458,0.979049504950495,0.06835491931534587,0.39928712871287125
discover,0.87,0.7564705882352941,0.97,charley,468,0.8692673267326733,0.06835491931534587,0.5392871287128713
discover,0.97,0.8533333333333333,0.33,charley,483,0.969069306930693,0.16521766441338503,-0.10071287128712869
discover,0.68,0.8533333333333333,0.21,charley,507,0.6796435643564357,0.16521766441338503,-0.22071287128712871
discover,0.91,0.7564705882352941,0.78,charley,518,0.9091881188118812,0.06835491931534587,0.3492871287128713
discover,0.52,0.8533333333333333,0.72,charley,524,0.519960396039604,0.16521766441338503,0.28928712871287127
discover,0.02,0.7564705882352941,0.96,charley,534,0.02095049504950495,0.06835491931534587,0.5292871287128713
discover,0.03,0.7564705882352941,0.91,charley,579,0.03093069306930693,0.06835491931534587,0.4792871287128713
discover,0.05,0.8533333333333333,0.14,charley,591,0.05089108910891089,0.16521766441338503,-0.2907128712871287
discover,0.55,0.7595,0.61,danny,9,0.54990099009901,0.07138433108005171,0.17928712871287128
discover,0.86,0.7595,0.54,danny,12,0.8592871287128713,0.07138433108005171,0.10928712871287133
discover,0.97,0.5196551724137931,0.12,danny,24,0.969069306930693,-0.16846049650615513,-0.3107128712871287
discover,0.06,0.5196551724137931,0.1,danny,38,0.06087128712871287,-0.16846049650615513,-0.3307128712871287
discover,0.91,0.5196551724137931,0.24,danny,42,0.9091881188118812,-0.16846049650615513,-0.19071287128712872
discover,0.26,0.7595,0.73,danny,59,0.2604752475247525,0.07138433108005171,0.2992871287128713
discover,1,0.7595,0.19,danny,60,0.999009900990099,0.07138433108005171,-0.2407128712871287
discover,0.8,0.7595,0.67,danny,100,0.7994059405940594,0.07138433108005171,0.23928712871287133
discover,0.95,0.5196551724137931,0.1,danny,172,0.9491089108910892,-0.16846049650615513,-0.3307128712871287
discover,0.32,0.5196551724137931,0.32,danny,188,0.32035643564356436,-0.16846049650615513,-0.1107128712871287
discover,0.99,0.5196551724137931,0.18,danny,232,0.989029702970297,-0.16846049650615513,-0.2507128712871287
discover,0.61,0.5196551724137931,0.61,danny,234,0.6097821782178218,-0.16846049650615513,0.17928712871287128
discover,0.06,0.7595,0.68,danny,237,0.06087128712871287,0.07138433108005171,0.24928712871287134
discover,0.87,0.5196551724137931,0.19,danny,241,0.8692673267326733,-0.16846049650615513,-0.2407128712871287
discover,0.29,0.7595,0.7,danny,293,0.2904158415841584,0.07138433108005171,0.26928712871287125
discover,0.47,0.7595,0.53,danny,337,0.470059405940594,0.07138433108005171,0.09928712871287132
discover,0.71,0.5196551724137931,0.34,danny,351,0.7095841584158415,-0.16846049650615513,-0.09071287128712868
discover,0.47,0.7595,0.85,danny,376,0.470059405940594,0.07138433108005171,0.41928712871287127
discover,0.48,0.5196551724137931,0.87,danny,414,0.480039603960396,-0.16846049650615513,0.4392871287128713
discover,0.97,0.5196551724137931,0.03,danny,427,0.969069306930693,-0.16846049650615513,-0.40071287128712874
discover,0.98,0.7595,0.73,danny,463,0.979049504950495,0.07138433108005171,0.2992871287128713
discover,0.94,0.7595,0.52,danny,474,0.9391287128712872,0.07138433108005171,0.08928712871287131
discover,0.96,0.5196551724137931,0.09,danny,477,0.959089108910891,-0.16846049650615513,-0.3407128712871287
discover,0.2,0.5196551724137931,0.14,danny,540,0.2005940594059406,-0.16846049650615513,-0.2907128712871287
discover,0.97,0.5196551724137931,0.1,danny,573,0.969069306930693,-0.16846049650615513,-0.3307128712871287
discover,0.79,0.5196551724137931,0.73,danny,574,0.7894257425742575,-0.16846049650615513,0.2992871287128713
discover,0.97,0.775,0.01,emily,17,0.969069306930693,0.08688433108005178,-0.4207128712871287
discover,0.05,0.7369230769230769,0.05,emily,40,0.05089108910891089,0.04880740800312866,-0.3807128712871287
discover,0.79,0.7369230769230769,0.32,emily,72,0.7894257425742575,0.04880740800312866,-0.1107128712871287
discover,0.5,0.7369230769230769,0.36,emily,104,0.5,0.04880740800312866,-0.07071287128712872
discover,0.79,0.775,0.01,emily,115,0.7894257425742575,0.08688433108005178,-0.4207128712871287
discover,0.69,0.7369230769230769,0.59,emily,130,0.6896237623762376,0.04880740800312866,0.15928712871287126
