short_trigger,projective,aiMean,prior,content,workerid,betaProjective,caiMean,cprior
establish,0.04,0.35419354838709677,0.76,charley,65,0.04091089108910891,-0.019189501570394174,0.33691089108910893
establish,0.46,0.35419354838709677,0.6,charley,71,0.4600792079207921,-0.019189501570394174,0.1769108910891089
establish,0.12,0.35419354838709677,0.74,charley,94,0.12075247524752476,-0.019189501570394174,0.3169108910891089
establish,0.5,0.33107142857142857,0.48,charley,97,0.5,-0.04231162138606237,0.056910891089108906
establish,0.9,0.35419354838709677,0.87,charley,128,0.8992079207920792,-0.019189501570394174,0.4469108910891089
establish,0.15,0.35419354838709677,1,charley,141,0.1506930693069307,-0.019189501570394174,0.576910891089109
establish,0.02,0.33107142857142857,0.15,charley,142,0.02095049504950495,-0.04231162138606237,-0.2730891089108911
establish,0.21,0.33107142857142857,0,charley,195,0.21057425742574257,-0.04231162138606237,-0.4230891089108911
establish,1,0.35419354838709677,0.83,charley,197,0.999009900990099,-0.019189501570394174,0.4069108910891089
establish,0.38,0.33107142857142857,0.06,charley,203,0.38023762376237624,-0.04231162138606237,-0.3630891089108911
establish,0.64,0.33107142857142857,0.36,charley,208,0.6397227722772277,-0.04231162138606237,-0.06308910891089109
establish,0.01,0.35419354838709677,0.85,charley,231,0.01097029702970297,-0.019189501570394174,0.4269108910891089
establish,0.35,0.33107142857142857,0.58,charley,292,0.3502970297029703,-0.04231162138606237,0.15691089108910888
establish,0,0.33107142857142857,0.09,charley,294,9.9009900990099e-4,-0.04231162138606237,-0.33308910891089105
establish,0.59,0.33107142857142857,0.01,charley,331,0.5898217821782178,-0.04231162138606237,-0.41308910891089107
establish,0.13,0.33107142857142857,0.12,charley,348,0.13073267326732674,-0.04231162138606237,-0.3030891089108911
establish,0.09,0.35419354838709677,0.89,charley,371,0.0908118811881188,-0.019189501570394174,0.46691089108910894
establish,0.94,0.35419354838709677,0.69,charley,375,0.9391287128712872,-0.019189501570394174,0.26691089108910887
establish,0.98,0.33107142857142857,0.11,charley,391,0.979049504950495,-0.04231162138606237,-0.3130891089108911
establish,0.97,0.35419354838709677,0.87,charley,394,0.969069306930693,-0.019189501570394174,0.4469108910891089
establish,0.09,0.33107142857142857,0.21,charley,396,0.0908118811881188,-0.04231162138606237,-0.21308910891089108
establish,0.62,0.35419354838709677,0.9,charley,405,0.6197623762376238,-0.019189501570394174,0.47691089108910895
establish,0.15,0.33107142857142857,0.25,charley,407,0.1506930693069307,-0.04231162138606237,-0.17308910891089108
establish,0.01,0.33107142857142857,0.09,charley,410,0.01097029702970297,-0.04231162138606237,-0.33308910891089105
establish,0.59,0.35419354838709677,0.82,charley,414,0.5898217821782178,-0.019189501570394174,0.3969108910891089
establish,0.84,0.35419354838709677,0.98,charley,416,0.8393267326732673,-0.019189501570394174,0.556910891089109
establish,0.01,0.33107142857142857,0.23,charley,459,0.01097029702970297,-0.04231162138606237,-0.19308910891089107
establish,0.6,0.33107142857142857,0.87,charley,503,0.5998019801980198,-0.04231162138606237,0.4469108910891089
establish,0.91,0.35419354838709677,0.68,charley,542,0.9091881188118812,-0.019189501570394174,0.256910891089109
establish,0.67,0.35419354838709677,0.98,charley,546,0.6696633663366337,-0.019189501570394174,0.556910891089109
establish,0,0.33107142857142857,0.08,charley,556,9.9009900990099e-4,-0.04231162138606237,-0.34308910891089106
establish,0.14,0.35419354838709677,0.89,charley,583,0.14071287128712873,-0.019189501570394174,0.46691089108910894
establish,0.01,0.43899999999999995,0.36,danny,35,0.01097029702970297,0.065616950042509,-0.06308910891089109
establish,0.05,0.3775,0.5,danny,50,0.05089108910891089,0.00411695004250906,0.07691089108910892
establish,0.24,0.43899999999999995,0.98,danny,106,0.2405148514851485,0.065616950042509,0.556910891089109
establish,0.19,0.3775,0.04,danny,114,0.19061386138613864,0.00411695004250906,-0.3830891089108911
establish,0,0.3775,0.21,danny,126,9.9009900990099e-4,0.00411695004250906,-0.21308910891089108
establish,0,0.3775,0.43,danny,129,9.9009900990099e-4,0.00411695004250906,0.006910891089108917
establish,0.15,0.3775,0.49,danny,187,0.1506930693069307,0.00411695004250906,0.06691089108910891
establish,0.23,0.3775,0.01,danny,211,0.23053465346534657,0.00411695004250906,-0.41308910891089107
establish,0.7,0.43899999999999995,0.66,danny,224,0.6996039603960396,0.065616950042509,0.23691089108910895
establish,0.54,0.43899999999999995,0.5,danny,228,0.539920792079208,0.065616950042509,0.07691089108910892
establish,0.52,0.43899999999999995,0.89,danny,246,0.519960396039604,0.065616950042509,0.46691089108910894
establish,1,0.3775,0.03,danny,247,0.999009900990099,0.00411695004250906,-0.3930891089108911
establish,0.14,0.3775,0.48,danny,275,0.14071287128712873,0.00411695004250906,0.056910891089108906
establish,0.26,0.43899999999999995,0.74,danny,300,0.2604752475247525,0.065616950042509,0.3169108910891089
establish,0.79,0.43899999999999995,0.72,danny,303,0.7894257425742575,0.065616950042509,0.2969108910891089
establish,0,0.43899999999999995,0.5,danny,332,9.9009900990099e-4,0.065616950042509,0.07691089108910892
establish,0.01,0.3775,0.39,danny,334,0.01097029702970297,0.00411695004250906,-0.03308910891089106
establish,0.77,0.43899999999999995,0.83,danny,422,0.7694653465346535,0.065616950042509,0.4069108910891089
establish,0.05,0.43899999999999995,0.63,danny,436,0.05089108910891089,0.065616950042509,0.20691089108910893
establish,0,0.3775,0.19,danny,452,9.9009900990099e-4,0.00411695004250906,-0.23308910891089107
establish,0.02,0.43899999999999995,0.57,danny,500,0.02095049504950495,0.065616950042509,0.14691089108910887
establish,0.41,0.3775,0.24,danny,504,0.41017821782178215,0.00411695004250906,-0.18308910891089109
establish,0.03,0.43899999999999995,0.67,danny,534,0.03093069306930693,0.065616950042509,0.24691089108910896
establish,0.47,0.43899999999999995,0.77,danny,539,0.470059405940594,0.065616950042509,0.34691089108910894
establish,0.02,0.3775,0.07,danny,571,0.02095049504950495,0.00411695004250906,-0.35308910891089107
establish,0.11,0.3775,0.25,danny,593,0.11077227722772276,0.00411695004250906,-0.17308910891089108
establish,0.51,0.35833333333333334,0.48,emily,6,0.509980198019802,-0.015049716624157605,0.056910891089108906
establish,0.03,0.4162962962962963,0.01,emily,25,0.03093069306930693,0.04291324633880533,-0.41308910891089107
establish,0.57,0.4162962962962963,0.14,emily,90,0.5698613861386138,0.04291324633880533,-0.28308910891089106
establish,0.25,0.35833333333333334,0.49,emily,122,0.2504950495049505,-0.015049716624157605,0.06691089108910891
establish,0.17,0.4162962962962963,0.17,emily,149,0.17065346534653467,0.04291324633880533,-0.2530891089108911
establish,0.02,0.35833333333333334,0.43,emily,153,0.02095049504950495,-0.015049716624157605,0.006910891089108917
establish,0.12,0.4162962962962963,0.04,emily,172,0.12075247524752476,0.04291324633880533,-0.3830891089108911
establish,0.01,0.35833333333333334,0.49,emily,179,0.01097029702970297,-0.015049716624157605,0.06691089108910891
establish,0,0.4162962962962963,0.06,emily,202,9.9009900990099e-4,0.04291324633880533,-0.3630891089108911
establish,0.06,0.4162962962962963,0,emily,251,0.06087128712871287,0.04291324633880533,-0.4230891089108911
establish,0.13,0.4162962962962963,0.23,emily,253,0.13073267326732674,0.04291324633880533,-0.19308910891089107
establish,0.49,0.4162962962962963,0.17,emily,265,0.490019801980198,0.04291324633880533,-0.2530891089108911
establish,0,0.4162962962962963,0,emily,301,9.9009900990099e-4,0.04291324633880533,-0.4230891089108911
establish,0.6,0.35833333333333334,0.5,emily,308,0.5998019801980198,-0.015049716624157605,0.07691089108910892
establish,0.42,0.4162962962962963,0.03,emily,323,0.42015841584158414,0.04291324633880533,-0.3930891089108911
establish,0,0.4162962962962963,0,emily,344,9.9009900990099e-4,0.04291324633880533,-0.4230891089108911
establish,0.24,0.4162962962962963,0.34,emily,401,0.2405148514851485,0.04291324633880533,-0.08308910891089105
establish,0.46,0.35833333333333334,0.48,emily,432,0.4600792079207921,-0.015049716624157605,0.056910891089108906
establish,0,0.4162962962962963,0,emily,461,9.9009900990099e-4,0.04291324633880533,-0.4230891089108911
establish,0,0.35833333333333334,0.59,emily,463,9.9009900990099e-4,-0.015049716624157605,0.1669108910891089
establish,0.13,0.4162962962962963,0.07,emily,492,0.13073267326732674,0.04291324633880533,-0.35308910891089107
establish,0.04,0.35833333333333334,0.2,emily,509,0.04091089108910891,-0.015049716624157605,-0.22308910891089107
establish,0.01,0.4162962962962963,0.02,emily,528,0.01097029702970297,0.04291324633880533,-0.40308910891089106
establish,1,0.35833333333333334,0.5,emily,550,0.999009900990099,-0.015049716624157605,0.07691089108910892
establish,0.21,0.4162962962962963,0.09,emily,575,0.21057425742574257,0.04291324633880533,-0.33308910891089105
establish,0.7,0.4162962962962963,0,emily,584,0.6996039603960396,0.04291324633880533,-0.4230891089108911
establish,0.22,0.4162962962962963,0.13,emily,599,0.22055445544554456,0.04291324633880533,-0.29308910891089107
establish,0.98,0.468125,0.5,emma,17,0.979049504950495,0.09474195004250907,0.07691089108910892
establish,0.05,0.468125,0.63,emma,38,0.05089108910891089,0.09474195004250907,0.20691089108910893
establish,0.04,0.3075,0.21,emma,44,0.04091089108910891,-0.06588304995749095,-0.21308910891089108
establish,0.04,0.468125,0.73,emma,77,0.04091089108910891,0.09474195004250907,0.3069108910891089
establish,0.2,0.468125,0.81,emma,79,0.2005940594059406,0.09474195004250907,0.386910891089109
establish,0.24,0.3075,0.14,emma,82,0.2405148514851485,-0.06588304995749095,-0.28308910891089106
establish,0.28,0.468125,0.87,emma,89,0.28043564356435646,0.09474195004250907,0.4469108910891089
establish,0.05,0.3075,0.2,emma,138,0.05089108910891089,-0.06588304995749095,-0.22308910891089107
establish,0.56,0.3075,0.57,emma,146,0.5598811881188119,-0.06588304995749095,0.14691089108910887
establish,0,0.468125,0.73,emma,160,9.9009900990099e-4,0.09474195004250907,0.3069108910891089
establish,0.02,0.468125,0.64,emma,174,0.02095049504950495,0.09474195004250907,0.21691089108910894
establish,0.04,0.3075,0.33,emma,189,0.04091089108910891,-0.06588304995749095,-0.09308910891089106
establish,0.01,0.468125,0.52,emma,220,0.01097029702970297,0.09474195004250907,0.09691089108910894
establish,0.03,0.3075,0.23,emma,237,0.03093069306930693,-0.06588304995749095,-0.19308910891089107
establish,0.27,0.468125,0.5,emma,286,0.2704554455445545,0.09474195004250907,0.07691089108910892
establish,0.19,0.468125,0.77,emma,337,0.19061386138613864,0.09474195004250907,0.34691089108910894
establish,0,0.3075,1,emma,361,9.9009900990099e-4,-0.06588304995749095,0.576910891089109
establish,0.04,0.468125,0.73,emma,431,0.04091089108910891,0.09474195004250907,0.3069108910891089
establish,0.28,0.468125,0.83,emma,442,0.28043564356435646,0.09474195004250907,0.4069108910891089
establish,0,0.3075,0,emma,472,9.9009900990099e-4,-0.06588304995749095,-0.4230891089108911
establish,0.27,0.468125,0.51,emma,496,0.2704554455445545,0.09474195004250907,0.08691089108910893
