short_trigger,projective,aiMean,prior,content,workerid,betaProjective,caiMean,cprior
inform,1,0.7820689655172414,0.25,charley,39,0.999009900990099,0.01810611696018971,-0.18184158415841584
inform,0.99,0.7831818181818182,0.95,charley,51,0.989029702970297,0.019218969624766546,0.5181584158415842
inform,0.51,0.7820689655172414,0.24,charley,62,0.509980198019802,0.01810611696018971,-0.19184158415841585
inform,0.06,0.7831818181818182,0.9,charley,119,0.06087128712871287,0.019218969624766546,0.4681584158415842
inform,1,0.7820689655172414,0.5,charley,131,0.999009900990099,0.01810611696018971,0.06815841584158416
inform,0.89,0.7831818181818182,0.82,charley,138,0.8892277227722772,0.019218969624766546,0.3881584158415841
inform,0,0.7820689655172414,0,charley,183,9.9009900990099e-4,0.01810611696018971,-0.43184158415841584
inform,0.96,0.7831818181818182,0.97,charley,205,0.959089108910891,0.019218969624766546,0.5381584158415842
inform,0.95,0.7820689655172414,0.53,charley,220,0.9491089108910892,0.01810611696018971,0.09815841584158419
inform,0.67,0.7831818181818182,0.7,charley,229,0.6696633663366337,0.019218969624766546,0.2681584158415841
inform,0.8,0.7831818181818182,0.77,charley,298,0.7994059405940594,0.019218969624766546,0.3381584158415842
inform,0.99,0.7820689655172414,0.19,charley,307,0.989029702970297,0.01810611696018971,-0.24184158415841583
inform,0.68,0.7831818181818182,1,charley,308,0.6796435643564357,0.019218969624766546,0.5681584158415842
inform,1,0.7820689655172414,0.2,charley,344,0.999009900990099,0.01810611696018971,-0.23184158415841583
inform,0.71,0.7820689655172414,0.54,charley,364,0.7095841584158415,0.01810611696018971,0.1081584158415842
inform,0.52,0.7820689655172414,0.37,charley,386,0.519960396039604,0.01810611696018971,-0.06184158415841584
inform,0.97,0.7820689655172414,0.43,charley,393,0.969069306930693,0.01810611696018971,-0.0018415841584158432
inform,0.67,0.7820689655172414,0.53,charley,422,0.6696633663366337,0.01810611696018971,0.09815841584158419
inform,0.9,0.7831818181818182,1,charley,426,0.8992079207920792,0.019218969624766546,0.5681584158415842
inform,0.4,0.7820689655172414,0.89,charley,480,0.4001980198019802,0.01810611696018971,0.4581584158415842
inform,0.98,0.7831818181818182,0.99,charley,525,0.979049504950495,0.019218969624766546,0.5581584158415842
