short_trigger,projective,aiMean,prior,content,workerid,betaProjective,caiMean,cprior
say,0.01,0.4685185185185185,0.01,charley,3,0.01097029702970297,0.12632937428152585,-0.4208910891089109
say,0.01,0.4685185185185185,0.05,charley,46,0.01097029702970297,0.12632937428152585,-0.3808910891089109
say,0.8,0.2524,0.87,charley,82,0.7994059405940594,-0.08978914423699264,0.4391089108910891
say,0.05,0.2524,0.76,charley,86,0.05089108910891089,-0.08978914423699264,0.3291089108910891
say,0.23,0.2524,0.86,charley,91,0.23053465346534657,-0.08978914423699264,0.4291089108910891
say,0.24,0.2524,0.94,charley,103,0.2405148514851485,-0.08978914423699264,0.5091089108910891
say,0.03,0.2524,0.95,charley,114,0.03093069306930693,-0.08978914423699264,0.5191089108910891
say,0,0.4685185185185185,0.38,charley,143,9.9009900990099e-4,0.12632937428152585,-0.05089108910891088
say,0.02,0.4685185185185185,0.25,charley,163,0.02095049504950495,0.12632937428152585,-0.18089108910891089
say,0.22,0.4685185185185185,0.49,charley,167,0.22055445544554456,0.12632937428152585,0.059108910891089106
say,0.14,0.4685185185185185,0.4,charley,210,0.14071287128712873,0.12632937428152585,-0.030891089108910863
say,0.6,0.2524,0.81,charley,224,0.5998019801980198,-0.08978914423699264,0.37910891089108917
say,0.03,0.2524,0.81,charley,237,0.03093069306930693,-0.08978914423699264,0.37910891089108917
say,0.19,0.4685185185185185,0.34,charley,250,0.19061386138613864,0.12632937428152585,-0.09089108910891086
say,0.3,0.4685185185185185,0.24,charley,258,0.3003960396039604,0.12632937428152585,-0.1908910891089109
say,0,0.4685185185185185,0.36,charley,259,9.9009900990099e-4,0.12632937428152585,-0.0708910891089109
say,0.69,0.4685185185185185,0.22,charley,288,0.6896237623762376,0.12632937428152585,-0.21089108910891088
say,0.75,0.4685185185185185,0.08,charley,299,0.7495049504950495,0.12632937428152585,-0.35089108910891087
say,0.22,0.4685185185185185,0.06,charley,341,0.22055445544554456,0.12632937428152585,-0.3708910891089109
say,0.02,0.2524,0.94,charley,347,0.02095049504950495,-0.08978914423699264,0.5091089108910891
say,0.05,0.2524,0.95,charley,381,0.05089108910891089,-0.08978914423699264,0.5191089108910891
say,0.03,0.4685185185185185,0.31,charley,408,0.03093069306930693,0.12632937428152585,-0.12089108910891089
say,0.87,0.2524,0.92,charley,411,0.8692673267326733,-0.08978914423699264,0.48910891089108915
say,0.02,0.2524,0.83,charley,452,0.02095049504950495,-0.08978914423699264,0.3991089108910891
say,0.38,0.4685185185185185,0.28,charley,477,0.38023762376237624,0.12632937428152585,-0.15089108910891086
say,0.02,0.4685185185185185,0.48,charley,501,0.02095049504950495,0.12632937428152585,0.0491089108910891
say,0,0.2524,0.99,charley,547,9.9009900990099e-4,-0.08978914423699264,0.5591089108910892
say,0.01,0.4685185185185185,0.11,charley,580,0.01097029702970297,0.12632937428152585,-0.3208910891089109
say,0.02,0.3308695652173913,0.51,danny,25,0.02095049504950495,-0.011319579019601345,0.07910891089108912
say,0.54,0.21321428571428572,0.79,danny,61,0.539920792079208,-0.12897485852270693,0.35910891089108915
say,0.13,0.3308695652173913,0.25,danny,93,0.13073267326732674,-0.011319579019601345,-0.18089108910891089
say,0.34,0.21321428571428572,0.78,danny,123,0.34031683168316834,-0.12897485852270693,0.34910891089108914
say,0.16,0.21321428571428572,0.72,danny,168,0.16067326732673268,-0.12897485852270693,0.2891089108910891
say,0.02,0.3308695652173913,0,danny,184,0.02095049504950495,-0.011319579019601345,-0.4308910891089109
say,0.74,0.21321428571428572,0.98,danny,203,0.7395247524752475,-0.12897485852270693,0.5491089108910892
say,0.13,0.3308695652173913,0.06,danny,205,0.13073267326732674,-0.011319579019601345,-0.3708910891089109
say,0,0.3308695652173913,0.03,danny,212,9.9009900990099e-4,-0.011319579019601345,-0.4008910891089109
say,0,0.3308695652173913,0.01,danny,242,9.9009900990099e-4,-0.011319579019601345,-0.4208910891089109
say,0.2,0.21321428571428572,0.69,danny,253,0.2005940594059406,-0.12897485852270693,0.25910891089108906
say,0.09,0.3308695652173913,0.33,danny,255,0.0908118811881188,-0.011319579019601345,-0.10089108910891087
say,0.56,0.21321428571428572,0.49,danny,266,0.5598811881188119,-0.12897485852270693,0.059108910891089106
say,0.89,0.21321428571428572,0.83,danny,298,0.8892277227722772,-0.12897485852270693,0.3991089108910891
say,0.22,0.21321428571428572,0.5,danny,346,0.22055445544554456,-0.12897485852270693,0.06910891089108911
say,0.01,0.21321428571428572,0.67,danny,374,0.01097029702970297,-0.12897485852270693,0.23910891089108915
say,0.64,0.21321428571428572,0.74,danny,386,0.6397227722772277,-0.12897485852270693,0.3091089108910891
say,0,0.21321428571428572,0.83,danny,472,9.9009900990099e-4,-0.12897485852270693,0.3991089108910891
say,0.14,0.3308695652173913,0.41,danny,478,0.14071287128712873,-0.011319579019601345,-0.02089108910891091
