block,predicate,hypothesisNEG,estimateNEG,post.probNEG,bfNEG
fullData,acknowledge,cprior < 0,0.7074339763856403,6.25e-4,6.253908692933083e-4
fullData,acknowledge,caiMean < 0,1.6880115235004558,0.06020833333333332,0.06406561737973841
fullData,acknowledge,caiMean:cprior < 0,6.013254393992338,0.04597222222222222,0.048187509098849904
fullData,admit,cprior < 0,0.5836196182015994,0.002013888888888889,0.002017952821654721
fullData,admit,caiMean < 0,2.185376639950555,0.02611111111111111,0.026811180832857957
fullData,admit,caiMean:cprior < 0,0.7349920983543163,0.4148611111111111,0.7089959648706385
fullData,announce,cprior < 0,0.8674450852140083,0,0
fullData,announce,caiMean < 0,1.0469725539647272,0.11534722222222223,0.13038700054949368
fullData,announce,caiMean:cprior < 0,4.736986106767545,0.02805555555555556,0.02886539011146042
fullData,be.annoyed,cprior < 0,0.8872297016688109,0,0
fullData,be.annoyed,caiMean < 0,6.338913755851661,0,0
fullData,be.annoyed,caiMean:cprior < 0,5.251883778565215,0.095625,0.10573600552868002
fullData,be.right,cprior < 0,1.2038005739892623,0,0
fullData,be.right,caiMean < 0,1.6826136850502431,0.06493055555555555,0.0694392870404753
fullData,be.right,caiMean:cprior < 0,1.62610748502717,0.32659722222222226,0.4849953593895019
fullData,confess,cprior < 0,0.6706625985116677,9.722222222222222e-4,9.731683581259558e-4
fullData,confess,caiMean < 0,0.7854820261213566,0.1995138888888889,0.24924091263988896
fullData,confess,caiMean:cprior < 0,4.100747879503636,0.05791666666666667,0.06147722246793454
fullData,confirm,cprior < 0,0.8871642109064989,0.020694444444444442,0.021131754361083534
fullData,confirm,caiMean < 0,3.196298492597645,0.0034722222222222225,0.003484320557491289
fullData,confirm,caiMean:cprior < 0,4.887055945975245,0.09784722222222222,0.10845970287121853
fullData,demonstrate,cprior < 0,1.1375593318669681,6.944444444444444e-5,6.944926731022988e-5
fullData,demonstrate,caiMean < 0,1.1334790903871448,0.1895138888888889,0.23382743552394825
fullData,demonstrate,caiMean:cprior < 0,4.018012054327059,0.11145833333333334,0.1254396248534584
fullData,discover,cprior < 0,0.6504177967803896,4.861111111111111e-4,4.8634753004932955e-4
fullData,discover,caiMean < 0,0.8907991053681237,0.12284722222222222,0.14005225239490143
fullData,discover,caiMean:cprior < 0,-0.4224086112116744,0.5670833333333334,1.3099133782483157
fullData,establish,cprior < 0,1.0641598611225118,0,0
fullData,establish,caiMean < 0,-0.1587928268787755,0.5747222222222221,1.3514043109079033
fullData,establish,caiMean:cprior < 0,0.6711887196540974,0.4056944444444444,0.6826361299369011
fullData,hear,cprior < 0,0.7295579764384222,0,0
fullData,hear,caiMean < 0,2.2322261161277543,0.007152777777777778,0.007204308596208995
fullData,hear,caiMean:cprior < 0,3.2150942126940447,0.12194444444444444,0.13888010123378677
fullData,inform,cprior < 0,0.3712436776321755,0.03298611111111112,0.03411131059245961
fullData,inform,caiMean < 0,2.500490123341177,0.01361111111111111,0.01379892987890735
fullData,inform,caiMean:cprior < 0,6.835803892893537,0.021527777777777778,0.0220014194464159
fullData,know,cprior < 0,0.9765604429271872,0,0
fullData,know,caiMean < 0,1.2618791444878117,0.11347222222222221,0.1279962400125333
fullData,know,caiMean:cprior < 0,5.445872169224672,0.04055555555555555,0.04226983207874928
fullData,pretend,cprior < 0,0.7716677967689337,0,0
fullData,pretend,caiMean < 0,-1.688049326245709,0.935625,14.533980582524272
fullData,pretend,caiMean:cprior < 0,-2.8814070228419197,0.816875,4.460750853242321
fullData,prove,cprior < 0,0.9519144028168273,0,0
fullData,prove,caiMean < 0,0.27959801890443214,0.37354166666666666,0.5962753574991686
fullData,prove,caiMean:cprior < 0,4.323529010735632,0.08277777777777777,0.09024833434282253
fullData,reveal,cprior < 0,0.4170746334398201,0.016527777777777777,0.016805535941251237
fullData,reveal,caiMean < 0,1.3931386754766586,0.06909722222222221,0.0742260350615442
fullData,reveal,caiMean:cprior < 0,-4.230921377769915,0.9190972222222222,11.360515021459227
fullData,say,cprior < 0,0.8690481753391938,0,0
fullData,say,caiMean < 0,-0.44609582138307335,0.7111805555555556,2.4623707622024527
fullData,say,caiMean:cprior < 0,0.8953057070530185,0.3597222222222222,0.561822125813449
fullData,see,cprior < 0,0.7597656278330784,6.944444444444444e-5,6.944926731022988e-5
fullData,see,caiMean < 0,2.376971891993135,0.002708333333333333,0.0027156883225402132
fullData,see,caiMean:cprior < 0,-1.9466429676646126,0.77875,3.519774011299435
fullData,suggest,cprior < 0,1.348903629436433,0,0
fullData,suggest,caiMean < 0,-0.14604528269742195,0.5805555555555556,1.3841059602649006
fullData,suggest,caiMean:cprior < 0,2.9073271147476074,0.09798611111111111,0.10863037955192856
fullData,think,cprior < 0,1.2836959442113034,0,0
fullData,think,caiMean < 0,-0.775163137851265,0.7998611111111111,3.996530187369882
fullData,think,caiMean:cprior < 0,5.735496408839771,0.02020833333333333,0.020625132893897512
