short_trigger,projective,aiMean,priorMean,content,workerid,betaProjective,caiMean,cpriorMean
admit,0.5,0.7390909090909091,0.2666816143497758,charley,26,0.5,0.15107527868699455,-0.1904303670619486
admit,0.7,0.7390909090909091,0.2666816143497758,charley,68,0.6996039603960396,0.15107527868699455,-0.1904303670619486
admit,0.87,0.7390909090909091,0.2666816143497758,charley,122,0.8692673267326733,0.15107527868699455,-0.1904303670619486
admit,0.46,0.6053571428571429,0.8427619047619047,charley,151,0.4600792079207921,0.017341512453228347,0.38564992335018033
admit,0.98,0.7390909090909091,0.2666816143497758,charley,169,0.979049504950495,0.15107527868699455,-0.1904303670619486
admit,0.2,0.6053571428571429,0.8427619047619047,charley,170,0.2005940594059406,0.017341512453228347,0.38564992335018033
admit,0.76,0.7390909090909091,0.2666816143497758,charley,172,0.7594851485148515,0.15107527868699455,-0.1904303670619486
admit,0.62,0.6053571428571429,0.8427619047619047,charley,187,0.6197623762376238,0.017341512453228347,0.38564992335018033
admit,0.1,0.7390909090909091,0.2666816143497758,charley,204,0.1007920792079208,0.15107527868699455,-0.1904303670619486
admit,0.65,0.6053571428571429,0.8427619047619047,charley,275,0.6497029702970297,0.017341512453228347,0.38564992335018033
admit,0.54,0.7390909090909091,0.2666816143497758,charley,295,0.539920792079208,0.15107527868699455,-0.1904303670619486
admit,0.5,0.7390909090909091,0.2666816143497758,charley,303,0.5,0.15107527868699455,-0.1904303670619486
admit,0.39,0.7390909090909091,0.2666816143497758,charley,311,0.39021782178217823,0.15107527868699455,-0.1904303670619486
admit,0.34,0.6053571428571429,0.8427619047619047,charley,314,0.34031683168316834,0.017341512453228347,0.38564992335018033
admit,0.93,0.6053571428571429,0.8427619047619047,charley,350,0.9291485148514852,0.017341512453228347,0.38564992335018033
admit,0.01,0.6053571428571429,0.8427619047619047,charley,357,0.01097029702970297,0.017341512453228347,0.38564992335018033
admit,0.99,0.7390909090909091,0.2666816143497758,charley,388,0.989029702970297,0.15107527868699455,-0.1904303670619486
admit,0.55,0.6053571428571429,0.8427619047619047,charley,399,0.54990099009901,0.017341512453228347,0.38564992335018033
admit,0,0.6053571428571429,0.8427619047619047,charley,450,9.9009900990099e-4,0.017341512453228347,0.38564992335018033
admit,0.24,0.6053571428571429,0.8427619047619047,charley,465,0.2405148514851485,0.017341512453228347,0.38564992335018033
admit,0.69,0.7390909090909091,0.2666816143497758,charley,478,0.6896237623762376,0.15107527868699455,-0.1904303670619486
admit,0.95,0.6053571428571429,0.8427619047619047,charley,482,0.9491089108910892,0.017341512453228347,0.38564992335018033
admit,0.39,0.6053571428571429,0.8427619047619047,charley,504,0.39021782178217823,0.017341512453228347,0.38564992335018033
admit,0.9,0.6053571428571429,0.8427619047619047,charley,523,0.8992079207920792,0.017341512453228347,0.38564992335018033
admit,0.77,0.6053571428571429,0.8427619047619047,charley,526,0.7694653465346535,0.017341512453228347,0.38564992335018033
admit,0.16,0.6053571428571429,0.8427619047619047,charley,545,0.16067326732673268,0.017341512453228347,0.38564992335018033
admit,0.26,0.6053571428571429,0.8427619047619047,charley,560,0.2604752475247525,0.017341512453228347,0.38564992335018033
admit,1,0.6053571428571429,0.8427619047619047,charley,573,0.999009900990099,0.017341512453228347,0.38564992335018033
admit,0.56,0.7390909090909091,0.2666816143497758,charley,595,0.5598811881188119,0.15107527868699455,-0.1904303670619486
admit,0.57,0.617037037037037,0.6855633802816902,danny,40,0.5698613861386138,0.02902140663312247,0.2284513988699658
admit,0.91,0.6127586206896551,0.24754545454545457,danny,86,0.9091881188118812,0.024742990285740563,-0.2095665268662698
admit,0.81,0.617037037037037,0.6855633802816902,danny,89,0.8093861386138614,0.02902140663312247,0.2284513988699658
admit,0,0.617037037037037,0.6855633802816902,danny,92,9.9009900990099e-4,0.02902140663312247,0.2284513988699658
admit,0.52,0.6127586206896551,0.24754545454545457,danny,113,0.519960396039604,0.024742990285740563,-0.2095665268662698
admit,0.9,0.6127586206896551,0.24754545454545457,danny,115,0.8992079207920792,0.024742990285740563,-0.2095665268662698
admit,0.96,0.6127586206896551,0.24754545454545457,danny,127,0.959089108910891,0.024742990285740563,-0.2095665268662698
admit,0.85,0.6127586206896551,0.24754545454545457,danny,149,0.8493069306930693,0.024742990285740563,-0.2095665268662698
admit,0.41,0.6127586206896551,0.24754545454545457,danny,173,0.41017821782178215,0.024742990285740563,-0.2095665268662698
admit,0.52,0.617037037037037,0.6855633802816902,danny,209,0.519960396039604,0.02902140663312247,0.2284513988699658
admit,0.74,0.6127586206896551,0.24754545454545457,danny,222,0.7395247524752475,0.024742990285740563,-0.2095665268662698
admit,0.63,0.617037037037037,0.6855633802816902,danny,229,0.6297425742574257,0.02902140663312247,0.2284513988699658
admit,0,0.6127586206896551,0.24754545454545457,danny,304,9.9009900990099e-4,0.024742990285740563,-0.2095665268662698
admit,0.42,0.6127586206896551,0.24754545454545457,danny,308,0.42015841584158414,0.024742990285740563,-0.2095665268662698
admit,0.71,0.617037037037037,0.6855633802816902,danny,364,0.7095841584158415,0.02902140663312247,0.2284513988699658
admit,0.31,0.6127586206896551,0.24754545454545457,danny,389,0.3103762376237624,0.024742990285740563,-0.2095665268662698
admit,0.17,0.617037037037037,0.6855633802816902,danny,396,0.17065346534653467,0.02902140663312247,0.2284513988699658
admit,0.17,0.617037037037037,0.6855633802816902,danny,407,0.17065346534653467,0.02902140663312247,0.2284513988699658
admit,0.86,0.6127586206896551,0.24754545454545457,danny,411,0.8592871287128713,0.024742990285740563,-0.2095665268662698
admit,0.96,0.6127586206896551,0.24754545454545457,danny,416,0.959089108910891,0.024742990285740563,-0.2095665268662698
admit,0.59,0.6127586206896551,0.24754545454545457,danny,418,0.5898217821782178,0.024742990285740563,-0.2095665268662698
admit,0.99,0.617037037037037,0.6855633802816902,danny,426,0.989029702970297,0.02902140663312247,0.2284513988699658
admit,0.3,0.6127586206896551,0.24754545454545457,danny,433,0.3003960396039604,0.024742990285740563,-0.2095665268662698
admit,0,0.6127586206896551,0.24754545454545457,danny,488,9.9009900990099e-4,0.024742990285740563,-0.2095665268662698
admit,1,0.617037037037037,0.6855633802816902,danny,550,0.999009900990099,0.02902140663312247,0.2284513988699658
admit,0.25,0.6127586206896551,0.24754545454545457,danny,579,0.2504950495049505,0.024742990285740563,-0.2095665268662698
admit,0.02,0.617037037037037,0.6855633802816902,danny,580,0.02095049504950495,0.02902140663312247,0.2284513988699658
admit,0.88,0.617037037037037,0.6855633802816902,danny,582,0.8792475247524753,0.02902140663312247,0.2284513988699658
admit,0,0.5209090909090909,0.5171162790697674,emily,11,9.9009900990099e-4,-0.0671065394948237,0.06000429765804305
admit,0.43,0.5209090909090909,0.5171162790697674,emily,29,0.4301386138613862,-0.0671065394948237,0.06000429765804305
admit,0.11,0.5209090909090909,0.5171162790697674,emily,38,0.11077227722772276,-0.0671065394948237,0.06000429765804305
admit,0.77,0.5209090909090909,0.5171162790697674,emily,46,0.7694653465346535,-0.0671065394948237,0.06000429765804305
admit,0.9,0.5676,0.127454128440367,emily,57,0.8992079207920792,-0.020415630403914586,-0.3296578529713574
admit,0.71,0.5209090909090909,0.5171162790697674,emily,100,0.7095841584158415,-0.0671065394948237,0.06000429765804305
admit,0.5,0.5676,0.127454128440367,emily,101,0.5,-0.020415630403914586,-0.3296578529713574
admit,0,0.5676,0.127454128440367,emily,112,9.9009900990099e-4,-0.020415630403914586,-0.3296578529713574
admit,0.9,0.5676,0.127454128440367,emily,150,0.8992079207920792,-0.020415630403914586,-0.3296578529713574
admit,0.94,0.5209090909090909,0.5171162790697674,emily,194,0.9391287128712872,-0.0671065394948237,0.06000429765804305
admit,0.8,0.5676,0.127454128440367,emily,198,0.7994059405940594,-0.020415630403914586,-0.3296578529713574
admit,0.48,0.5209090909090909,0.5171162790697674,emily,210,0.480039603960396,-0.0671065394948237,0.06000429765804305
admit,0.06,0.5209090909090909,0.5171162790697674,emily,255,0.06087128712871287,-0.0671065394948237,0.06000429765804305
admit,0.33,0.5676,0.127454128440367,emily,290,0.33033663366336635,-0.020415630403914586,-0.3296578529713574
admit,0.98,0.5676,0.127454128440367,emily,299,0.979049504950495,-0.020415630403914586,-0.3296578529713574
admit,0.72,0.5676,0.127454128440367,emily,306,0.7195643564356435,-0.020415630403914586,-0.3296578529713574
admit,0.3,0.5209090909090909,0.5171162790697674,emily,329,0.3003960396039604,-0.0671065394948237,0.06000429765804305
admit,0.79,0.5209090909090909,0.5171162790697674,emily,341,0.7894257425742575,-0.0671065394948237,0.06000429765804305
admit,0.18,0.5676,0.127454128440367,emily,404,0.18063366336633663,-0.020415630403914586,-0.3296578529713574
admit,0.02,0.5209090909090909,0.5171162790697674,emily,413,0.02095049504950495,-0.0671065394948237,0.06000429765804305
admit,0.75,0.5209090909090909,0.5171162790697674,emily,424,0.7495049504950495,-0.0671065394948237,0.06000429765804305
admit,1,0.5209090909090909,0.5171162790697674,emily,442,0.999009900990099,-0.0671065394948237,0.06000429765804305
admit,0.85,0.5676,0.127454128440367,emily,578,0.8493069306930693,-0.020415630403914586,-0.3296578529713574
admit,0.37,0.5209090909090909,0.5171162790697674,emily,585,0.37025742574257425,-0.0671065394948237,0.06000429765804305
admit,0.09,0.5446428571428571,0.7071824480369515,emma,4,0.0908118811881188,-0.043372773261057485,0.25007046662522714
admit,0.09,0.5808,0.2759353348729792,emma,20,0.0908118811881188,-0.007215630403914597,-0.18117664653874516
admit,0.24,0.5808,0.2759353348729792,emma,52,0.2405148514851485,-0.007215630403914597,-0.18117664653874516
admit,0.21,0.5808,0.2759353348729792,emma,123,0.21057425742574257,-0.007215630403914597,-0.18117664653874516
admit,0.89,0.5446428571428571,0.7071824480369515,emma,135,0.8892277227722772,-0.043372773261057485,0.25007046662522714
admit,0.51,0.5808,0.2759353348729792,emma,145,0.509980198019802,-0.007215630403914597,-0.18117664653874516
admit,0.32,0.5446428571428571,0.7071824480369515,emma,147,0.32035643564356436,-0.043372773261057485,0.25007046662522714
admit,0.02,0.5446428571428571,0.7071824480369515,emma,163,0.02095049504950495,-0.043372773261057485,0.25007046662522714
admit,0.98,0.5808,0.2759353348729792,emma,201,0.979049504950495,-0.007215630403914597,-0.18117664653874516
admit,0.07,0.5446428571428571,0.7071824480369515,emma,233,0.07085148514851486,-0.043372773261057485,0.25007046662522714
admit,0.79,0.5446428571428571,0.7071824480369515,emma,236,0.7894257425742575,-0.043372773261057485,0.25007046662522714
admit,0.17,0.5808,0.2759353348729792,emma,239,0.17065346534653467,-0.007215630403914597,-0.18117664653874516
admit,0.62,0.5446428571428571,0.7071824480369515,emma,244,0.6197623762376238,-0.043372773261057485,0.25007046662522714
admit,0.48,0.5808,0.2759353348729792,emma,309,0.480039603960396,-0.007215630403914597,-0.18117664653874516
admit,0.77,0.5446428571428571,0.7071824480369515,emma,321,0.7694653465346535,-0.043372773261057485,0.25007046662522714
admit,0.83,0.5446428571428571,0.7071824480369515,emma,331,0.8293465346534653,-0.043372773261057485,0.25007046662522714
admit,0.36,0.5446428571428571,0.7071824480369515,emma,377,0.36027722772277226,-0.043372773261057485,0.25007046662522714
admit,0.08,0.5808,0.2759353348729792,emma,454,0.08083168316831683,-0.007215630403914597,-0.18117664653874516
admit,0.98,0.5808,0.2759353348729792,emma,463,0.979049504950495,-0.007215630403914597,-0.18117664653874516
admit,1,0.5446428571428571,0.7071824480369515,emma,498,0.999009900990099,-0.043372773261057485,0.25007046662522714
admit,0.05,0.5808,0.2759353348729792,emma,528,0.05089108910891089,-0.007215630403914597,-0.18117664653874516
admit,0.5,0.5446428571428571,0.7071824480369515,emma,547,0.5,-0.043372773261057485,0.25007046662522714
admit,0.93,0.5446428571428571,0.7071824480369515,emma,588,0.9291485148514852,-0.043372773261057485,0.25007046662522714
admit,0.81,0.5446428571428571,0.7071824480369515,emma,593,0.8093861386138614,-0.043372773261057485,0.25007046662522714
