short_trigger,projective,aiMean,priorMean,content,workerid,betaProjective,caiMean,cpriorMean
discover,0.69,0.7564705882352941,0.8427619047619047,charley,10,0.6896237623762376,0.06835491931534587,0.3960626454705704
discover,0.61,0.8533333333333333,0.2666816143497758,charley,57,0.6097821782178218,0.16521766441338503,-0.18001764494155853
discover,0.99,0.8533333333333333,0.2666816143497758,charley,95,0.989029702970297,0.16521766441338503,-0.18001764494155853
discover,0.52,0.8533333333333333,0.2666816143497758,charley,96,0.519960396039604,0.16521766441338503,-0.18001764494155853
discover,1,0.7564705882352941,0.8427619047619047,charley,144,0.999009900990099,0.06835491931534587,0.3960626454705704
discover,0.98,0.8533333333333333,0.2666816143497758,charley,201,0.979049504950495,0.16521766441338503,-0.18001764494155853
discover,0.85,0.8533333333333333,0.2666816143497758,charley,226,0.8493069306930693,0.16521766441338503,-0.18001764494155853
discover,0.84,0.7564705882352941,0.8427619047619047,charley,228,0.8393267326732673,0.06835491931534587,0.3960626454705704
discover,0,0.8533333333333333,0.2666816143497758,charley,243,9.9009900990099e-4,0.16521766441338503,-0.18001764494155853
discover,0.25,0.7564705882352941,0.8427619047619047,charley,334,0.2504950495049505,0.06835491931534587,0.3960626454705704
discover,0.7,0.7564705882352941,0.8427619047619047,charley,397,0.6996039603960396,0.06835491931534587,0.3960626454705704
discover,0.5,0.8533333333333333,0.2666816143497758,charley,418,0.5,0.16521766441338503,-0.18001764494155853
discover,0.65,0.7564705882352941,0.8427619047619047,charley,436,0.6497029702970297,0.06835491931534587,0.3960626454705704
discover,0.98,0.7564705882352941,0.8427619047619047,charley,458,0.979049504950495,0.06835491931534587,0.3960626454705704
discover,0.87,0.7564705882352941,0.8427619047619047,charley,468,0.8692673267326733,0.06835491931534587,0.3960626454705704
discover,0.97,0.8533333333333333,0.2666816143497758,charley,483,0.969069306930693,0.16521766441338503,-0.18001764494155853
discover,0.68,0.8533333333333333,0.2666816143497758,charley,507,0.6796435643564357,0.16521766441338503,-0.18001764494155853
discover,0.91,0.7564705882352941,0.8427619047619047,charley,518,0.9091881188118812,0.06835491931534587,0.3960626454705704
discover,0.52,0.8533333333333333,0.2666816143497758,charley,524,0.519960396039604,0.16521766441338503,-0.18001764494155853
discover,0.02,0.7564705882352941,0.8427619047619047,charley,534,0.02095049504950495,0.06835491931534587,0.3960626454705704
discover,0.03,0.7564705882352941,0.8427619047619047,charley,579,0.03093069306930693,0.06835491931534587,0.3960626454705704
discover,0.05,0.8533333333333333,0.2666816143497758,charley,591,0.05089108910891089,0.16521766441338503,-0.18001764494155853
discover,0.55,0.7595,0.6855633802816902,danny,9,0.54990099009901,0.07138433108005171,0.23886412099035587
discover,0.86,0.7595,0.6855633802816902,danny,12,0.8592871287128713,0.07138433108005171,0.23886412099035587
discover,0.97,0.5196551724137931,0.24754545454545457,danny,24,0.969069306930693,-0.16846049650615513,-0.19915380474587974
discover,0.06,0.5196551724137931,0.24754545454545457,danny,38,0.06087128712871287,-0.16846049650615513,-0.19915380474587974
discover,0.91,0.5196551724137931,0.24754545454545457,danny,42,0.9091881188118812,-0.16846049650615513,-0.19915380474587974
discover,0.26,0.7595,0.6855633802816902,danny,59,0.2604752475247525,0.07138433108005171,0.23886412099035587
discover,1,0.7595,0.6855633802816902,danny,60,0.999009900990099,0.07138433108005171,0.23886412099035587
discover,0.8,0.7595,0.6855633802816902,danny,100,0.7994059405940594,0.07138433108005171,0.23886412099035587
discover,0.95,0.5196551724137931,0.24754545454545457,danny,172,0.9491089108910892,-0.16846049650615513,-0.19915380474587974
discover,0.32,0.5196551724137931,0.24754545454545457,danny,188,0.32035643564356436,-0.16846049650615513,-0.19915380474587974
discover,0.99,0.5196551724137931,0.24754545454545457,danny,232,0.989029702970297,-0.16846049650615513,-0.19915380474587974
discover,0.61,0.5196551724137931,0.24754545454545457,danny,234,0.6097821782178218,-0.16846049650615513,-0.19915380474587974
discover,0.06,0.7595,0.6855633802816902,danny,237,0.06087128712871287,0.07138433108005171,0.23886412099035587
discover,0.87,0.5196551724137931,0.24754545454545457,danny,241,0.8692673267326733,-0.16846049650615513,-0.19915380474587974
discover,0.29,0.7595,0.6855633802816902,danny,293,0.2904158415841584,0.07138433108005171,0.23886412099035587
discover,0.47,0.7595,0.6855633802816902,danny,337,0.470059405940594,0.07138433108005171,0.23886412099035587
discover,0.71,0.5196551724137931,0.24754545454545457,danny,351,0.7095841584158415,-0.16846049650615513,-0.19915380474587974
discover,0.47,0.7595,0.6855633802816902,danny,376,0.470059405940594,0.07138433108005171,0.23886412099035587
discover,0.48,0.5196551724137931,0.24754545454545457,danny,414,0.480039603960396,-0.16846049650615513,-0.19915380474587974
discover,0.97,0.5196551724137931,0.24754545454545457,danny,427,0.969069306930693,-0.16846049650615513,-0.19915380474587974
discover,0.98,0.7595,0.6855633802816902,danny,463,0.979049504950495,0.07138433108005171,0.23886412099035587
discover,0.94,0.7595,0.6855633802816902,danny,474,0.9391287128712872,0.07138433108005171,0.23886412099035587
discover,0.96,0.5196551724137931,0.24754545454545457,danny,477,0.959089108910891,-0.16846049650615513,-0.19915380474587974
discover,0.2,0.5196551724137931,0.24754545454545457,danny,540,0.2005940594059406,-0.16846049650615513,-0.19915380474587974
discover,0.97,0.5196551724137931,0.24754545454545457,danny,573,0.969069306930693,-0.16846049650615513,-0.19915380474587974
discover,0.79,0.5196551724137931,0.24754545454545457,danny,574,0.7894257425742575,-0.16846049650615513,-0.19915380474587974
discover,0.97,0.775,0.127454128440367,emily,17,0.969069306930693,0.08688433108005178,-0.3192451308509673
discover,0.05,0.7369230769230769,0.5171162790697674,emily,40,0.05089108910891089,0.04880740800312866,0.07041701977843312
discover,0.79,0.7369230769230769,0.5171162790697674,emily,72,0.7894257425742575,0.04880740800312866,0.07041701977843312
discover,0.5,0.7369230769230769,0.5171162790697674,emily,104,0.5,0.04880740800312866,0.07041701977843312
discover,0.79,0.775,0.127454128440367,emily,115,0.7894257425742575,0.08688433108005178,-0.3192451308509673
discover,0.69,0.7369230769230769,0.5171162790697674,emily,130,0.6896237623762376,0.04880740800312866,0.07041701977843312
discover,0.8,0.7369230769230769,0.5171162790697674,emily,164,0.7994059405940594,0.04880740800312866,0.07041701977843312
discover,1,0.7369230769230769,0.5171162790697674,emily,208,0.999009900990099,0.04880740800312866,0.07041701977843312
discover,0.9,0.7369230769230769,0.5171162790697674,emily,211,0.8992079207920792,0.04880740800312866,0.07041701977843312
discover,0.56,0.7369230769230769,0.5171162790697674,emily,231,0.5598811881188119,0.04880740800312866,0.07041701977843312
discover,0.83,0.7369230769230769,0.5171162790697674,emily,236,0.8293465346534653,0.04880740800312866,0.07041701977843312
discover,0.35,0.775,0.127454128440367,emily,254,0.3502970297029703,0.08688433108005178,-0.3192451308509673
discover,0.58,0.775,0.127454128440367,emily,288,0.5798415841584158,0.08688433108005178,-0.3192451308509673
discover,0,0.7369230769230769,0.5171162790697674,emily,357,9.9009900990099e-4,0.04880740800312866,0.07041701977843312
discover,0.82,0.775,0.127454128440367,emily,358,0.8193663366336633,0.08688433108005178,-0.3192451308509673
discover,1,0.7369230769230769,0.5171162790697674,emily,379,0.999009900990099,0.04880740800312866,0.07041701977843312
discover,0.53,0.775,0.127454128440367,emily,381,0.529940594059406,0.08688433108005178,-0.3192451308509673
discover,0.99,0.775,0.127454128440367,emily,410,0.989029702970297,0.08688433108005178,-0.3192451308509673
discover,1,0.775,0.127454128440367,emily,435,0.999009900990099,0.08688433108005178,-0.3192451308509673
discover,1,0.7369230769230769,0.5171162790697674,emily,450,0.999009900990099,0.04880740800312866,0.07041701977843312
