short_trigger,projective,aiMean,priorMean,content,workerid,betaProjective,caiMean,cpriorMean
suggest,0.02,0.5021739130434782,0.2666816143497758,charley,17,0.02095049504950495,0.006701840489351907,-0.18222430289907998
suggest,0.02,0.5021739130434782,0.2666816143497758,charley,25,0.02095049504950495,0.006701840489351907,-0.18222430289907998
suggest,0.03,0.36136363636363633,0.8427619047619047,charley,41,0.03093069306930693,-0.13410843619049,0.39385598751304896
suggest,0.22,0.5021739130434782,0.2666816143497758,charley,44,0.22055445544554456,0.006701840489351907,-0.18222430289907998
suggest,0.19,0.5021739130434782,0.2666816143497758,charley,78,0.19061386138613864,0.006701840489351907,-0.18222430289907998
suggest,0.21,0.36136363636363633,0.8427619047619047,charley,107,0.21057425742574257,-0.13410843619049,0.39385598751304896
suggest,0.35,0.5021739130434782,0.2666816143497758,charley,123,0.3502970297029703,0.006701840489351907,-0.18222430289907998
suggest,0.67,0.5021739130434782,0.2666816143497758,charley,185,0.6696633663366337,0.006701840489351907,-0.18222430289907998
suggest,0.63,0.36136363636363633,0.8427619047619047,charley,222,0.6297425742574257,-0.13410843619049,0.39385598751304896
suggest,0.09,0.5021739130434782,0.2666816143497758,charley,244,0.0908118811881188,0.006701840489351907,-0.18222430289907998
suggest,0.05,0.36136363636363633,0.8427619047619047,charley,296,0.05089108910891089,-0.13410843619049,0.39385598751304896
suggest,0.17,0.5021739130434782,0.2666816143497758,charley,309,0.17065346534653467,0.006701840489351907,-0.18222430289907998
suggest,0,0.36136363636363633,0.8427619047619047,charley,310,9.9009900990099e-4,-0.13410843619049,0.39385598751304896
suggest,0,0.36136363636363633,0.8427619047619047,charley,332,9.9009900990099e-4,-0.13410843619049,0.39385598751304896
suggest,0.2,0.5021739130434782,0.2666816143497758,charley,349,0.2005940594059406,0.006701840489351907,-0.18222430289907998
suggest,0.12,0.36136363636363633,0.8427619047619047,charley,352,0.12075247524752476,-0.13410843619049,0.39385598751304896
suggest,0.11,0.5021739130434782,0.2666816143497758,charley,353,0.11077227722772276,0.006701840489351907,-0.18222430289907998
suggest,0.18,0.36136363636363633,0.8427619047619047,charley,360,0.18063366336633663,-0.13410843619049,0.39385598751304896
suggest,0,0.5021739130434782,0.2666816143497758,charley,362,9.9009900990099e-4,0.006701840489351907,-0.18222430289907998
suggest,0.25,0.36136363636363633,0.8427619047619047,charley,390,0.2504950495049505,-0.13410843619049,0.39385598751304896
suggest,0.02,0.5021739130434782,0.2666816143497758,charley,392,0.02095049504950495,0.006701840489351907,-0.18222430289907998
suggest,0.07,0.5021739130434782,0.2666816143497758,charley,398,0.07085148514851486,0.006701840489351907,-0.18222430289907998
suggest,0.4,0.36136363636363633,0.8427619047619047,charley,489,0.4001980198019802,-0.13410843619049,0.39385598751304896
suggest,0,0.5021739130434782,0.2666816143497758,charley,497,9.9009900990099e-4,0.006701840489351907,-0.18222430289907998
suggest,0.05,0.36136363636363633,0.8427619047619047,charley,509,0.05089108910891089,-0.13410843619049,0.39385598751304896
suggest,0.35,0.5021739130434782,0.2666816143497758,charley,521,0.3502970297029703,0.006701840489351907,-0.18222430289907998
suggest,0,0.5357692307692308,0.24754545454545457,danny,3,9.9009900990099e-4,0.040297158215104434,-0.2013604627034012
suggest,0.03,0.5357692307692308,0.24754545454545457,danny,16,0.03093069306930693,0.040297158215104434,-0.2013604627034012
suggest,0,0.4785294117647058,0.6855633802816902,danny,21,9.9009900990099e-4,-0.016942660789420527,0.23665746303283441
