block,predicate,hypothesisNEG,estimateNEG,post.probNEG,bfNEG
fullData,acknowledge,cpriorMean < 0,0.5938836692423635,0.005208333333333334,0.005235602094240838
fullData,acknowledge,caiMean < 0,1.3379631828105187,0.09145833333333332,0.10066498509516165
fullData,acknowledge,caiMean:cpriorMean < 0,3.066419024196852,0.21458333333333335,0.27320954907161804
fullData,admit,cpriorMean < 0,0.6120222434776894,0.002708333333333333,0.0027156883225402132
fullData,admit,caiMean < 0,1.8067514242394098,0.033125,0.03425985778926956
fullData,admit,caiMean:cpriorMean < 0,1.9630424580036983,0.29770833333333335,0.42390981904479386
fullData,announce,cpriorMean < 0,0.9295856605440891,0,0
fullData,announce,caiMean < 0,0.7045479509754367,0.17131944444444444,0.2067376183692282
fullData,announce,caiMean:cpriorMean < 0,4.670954725236863,0.035694444444444445,0.03701569926544721
fullData,be.annoyed,cpriorMean < 0,1.1597208855144712,0,0
fullData,be.annoyed,caiMean < 0,6.081814118380903,0,0
fullData,be.annoyed,caiMean:cpriorMean < 0,6.082345954323126,0.11194444444444446,0.12605567719737254
fullData,be.right,cpriorMean < 0,0.9370414586114311,6.944444444444444e-5,6.944926731022988e-5
fullData,be.right,caiMean < 0,2.2454849992420947,0.021805555555555557,0.022291637086468835
fullData,be.right,caiMean:cpriorMean < 0,2.7374235882297597,0.2728472222222222,0.37522681692293
fullData,confess,cpriorMean < 0,0.6757474923683964,0.0010416666666666667,0.0010427528675703858
fullData,confess,caiMean < 0,0.9074609965761854,0.1359027777777778,0.15727718395885237
fullData,confess,caiMean:cpriorMean < 0,1.6578936465585992,0.28381944444444446,0.3962959371666828
fullData,confirm,cpriorMean < 0,0.6428727596974361,0.0019444444444444444,0.0019482326746451434
fullData,confirm,caiMean < 0,2.328594403230677,0.006180555555555556,0.0062189923834812385
fullData,confirm,caiMean:cpriorMean < 0,0.7536009940447826,0.41680555555555554,0.7146939747558942
fullData,demonstrate,cpriorMean < 0,0.7678659100196259,4.861111111111111e-4,4.8634753004932955e-4
fullData,demonstrate,caiMean < 0,1.2587862242907462,0.09152777777777778,0.10074912092952149
fullData,demonstrate,caiMean:cpriorMean < 0,4.564652042399814,0.07159722222222223,0.07711870745755105
fullData,discover,cpriorMean < 0,0.6619984001195236,0.0015277777777777779,0.001530115454166087
fullData,discover,caiMean < 0,0.7911488047011535,0.1348611111111111,0.15588376946540375
fullData,discover,caiMean:cpriorMean < 0,1.0185948339657984,0.36215277777777777,0.5677735438214481
fullData,establish,cpriorMean < 0,1.2440112263092993,0,0
fullData,establish,caiMean < 0,-0.4395966674455911,0.6907638888888888,2.233774983157422
fullData,establish,caiMean:cpriorMean < 0,1.3501466520741412,0.3365277777777778,0.5072221059242202
fullData,hear,cpriorMean < 0,0.5526828511774695,0.010763888888888889,0.01088101088101088
fullData,hear,caiMean < 0,2.8154606013531596,0.0015277777777777779,0.001530115454166087
fullData,hear,caiMean:cpriorMean < 0,5.07752847384013,0.07784722222222222,0.08441900745538068
fullData,inform,cpriorMean < 0,0.5510551297666411,0.007013888888888889,0.00706343100916148
fullData,inform,caiMean < 0,2.122667777145019,0.02326388888888889,0.023817987913259866
fullData,inform,caiMean:cpriorMean < 0,8.107709296714777,0.020416666666666666,0.020842194810718844
fullData,know,cpriorMean < 0,1.035189546231806,0,0
fullData,know,caiMean < 0,1.3593169756177084,0.08895833333333333,0.09764463754859365
fullData,know,caiMean:cpriorMean < 0,-0.20705454709252996,0.5251388888888888,1.105878911962562
fullData,pretend,cpriorMean < 0,0.3351505347082625,0.08319444444444445,0.09074382669292531
fullData,pretend,caiMean < 0,-2.6899184845949677,0.9921527777777778,126.43362831858407
fullData,pretend,caiMean:cpriorMean < 0,-3.6627812411997183,0.8366666666666667,5.122448979591836
fullData,prove,cpriorMean < 0,1.020040138872855,0,0
fullData,prove,caiMean < 0,0.3959980521425021,0.32736111111111116,0.4866818087962007
fullData,prove,caiMean:cpriorMean < 0,5.575330580685204,0.06208333333333334,0.06619280319857841
fullData,reveal,cpriorMean < 0,0.5453141381389791,0.0060416666666666665,0.0060783902745755606
fullData,reveal,caiMean < 0,1.449375451428291,0.04868055555555556,0.05117161836630411
fullData,reveal,caiMean:cpriorMean < 0,-1.4272291240267234,0.664375,1.9795158286778398
fullData,say,cpriorMean < 0,0.5411365569572456,0.012291666666666666,0.012444631934191099
fullData,say,caiMean < 0,-1.0780171379760475,0.905625,9.596026490066226
fullData,say,caiMean:cpriorMean < 0,-1.4430037544126628,0.6761805555555556,2.0881406819644006
fullData,see,cpriorMean < 0,0.9024145382225485,0,0
fullData,see,caiMean < 0,2.288268413398455,0.001875,0.001878522229179712
fullData,see,caiMean:cpriorMean < 0,-2.25803005786775,0.7745833333333333,3.436229205175601
fullData,suggest,cpriorMean < 0,1.16382715129119,0,0
fullData,suggest,caiMean < 0,-0.15288262321040622,0.5838194444444446,1.4028032704822293
fullData,suggest,caiMean:cpriorMean < 0,1.8397322660476183,0.26840277777777777,0.36687233032747985
fullData,think,cpriorMean < 0,0.8526882621355696,2.0833333333333332e-4,2.0837674515524068e-4
fullData,think,caiMean < 0,-0.736548917987564,0.8025,4.063291139240507
fullData,think,caiMean:cpriorMean < 0,-0.32380324715776704,0.5409027777777778,1.1781878687036758
