item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior
acknowledge_charley,charley,acknowledge,15,low_prior,Charley lives in Korea,block2,0.97,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,23,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,91,high_prior,Charley lives in Mexico,block2,0.10999999999999999,0.13,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
acknowledge_charley,charley,acknowledge,113,high_prior,Charley lives in Mexico,block2,0.96,0.89,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
acknowledge_charley,charley,acknowledge,161,low_prior,Charley lives in Korea,block2,0.91,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,165,low_prior,Charley lives in Korea,block2,0.63,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,224,low_prior,Charley lives in Korea,block2,0.83,0.77,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,238,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,280,high_prior,Charley lives in Mexico,block2,0.5,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
acknowledge_charley,charley,acknowledge,281,low_prior,Charley lives in Korea,block2,0.08999999999999997,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,298,high_prior,Charley lives in Mexico,block2,0.52,0.38,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
acknowledge_charley,charley,acknowledge,315,high_prior,Charley lives in Mexico,block2,0.99,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
acknowledge_charley,charley,acknowledge,413,low_prior,Charley lives in Korea,block2,0.63,0.55,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,426,low_prior,Charley lives in Korea,block2,0.33999999999999997,0.83,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,438,high_prior,Charley lives in Mexico,block2,0.72,0.58,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
acknowledge_charley,charley,acknowledge,444,low_prior,Charley lives in Korea,block2,0.29000000000000004,0.71,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
acknowledge_charley,charley,acknowledge,510,high_prior,Charley lives in Mexico,block2,0.98,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
acknowledge_charley,charley,acknowledge,520,high_prior,Charley lives in Mexico,block2,0,0.47,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
admit_charley,charley,admit,2,low_prior,Charley lives in Korea,block2,1,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,144,low_prior,Charley lives in Korea,block2,0.28,0.12,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,153,high_prior,Charley lives in Mexico,block2,0.75,0.66,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
admit_charley,charley,admit,206,high_prior,Charley lives in Mexico,block2,0.83,0.64,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
admit_charley,charley,admit,225,low_prior,Charley lives in Korea,block2,0.72,0.66,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,251,low_prior,Charley lives in Korea,block2,1,0.85,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,266,high_prior,Charley lives in Mexico,block2,0.030000000000000027,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
admit_charley,charley,admit,282,high_prior,Charley lives in Mexico,block2,0.96,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
admit_charley,charley,admit,335,low_prior,Charley lives in Korea,block2,0.5800000000000001,0.41,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,349,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,392,high_prior,Charley lives in Mexico,block2,0.99,0.47,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
admit_charley,charley,admit,430,high_prior,Charley lives in Mexico,block2,0.32999999999999996,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
admit_charley,charley,admit,446,high_prior,Charley lives in Mexico,block2,0.51,0.18,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095
admit_charley,charley,admit,460,low_prior,Charley lives in Korea,block2,0.45999999999999996,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,497,low_prior,Charley lives in Korea,block2,0.92,0.77,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,505,low_prior,Charley lives in Korea,block2,0.94,0.79,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,566,low_prior,Charley lives in Korea,block2,0.45999999999999996,0.3,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
admit_charley,charley,admit,584,low_prior,Charley lives in Korea,block2,0.87,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
announce_charley,charley,announce,0,low_prior,Charley lives in Korea,block2,0.5700000000000001,0.21,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
announce_charley,charley,announce,5,low_prior,Charley lives in Korea,block2,0.61,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023
