workerid,american,comments,language,age
0,Yes,,english,48
1,Yes,i like this study,english,25
2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26
3,Yes,"Enjoyed this HIT, Thanks!",english,54
4,Yes,,English,30
5,Yes,Great survey ,English,59
6,Yes,,English,50
7,Yes,,English,49
8,Yes,no comment ,english ,26
9,Yes,good,english,23
10,Yes,,english,41
11,Yes,I hope I understood what you were asking.,English,63
12,Yes,,English,31
13,Yes,fun !,English,50
14,Yes,Interesting survey,English,22
15,Yes,,english,36
16,Yes,None,English,37
17,Yes,no issues,english,27
18,Yes,,english,34
19,Yes,,"English, Vietnamese",26
20,Yes,,English,20
21,Yes,,English,36
22,Yes,Funny how some of these can be interpreted in a couple of ways. ,English,44
23,Yes,No comments! I'd be happy to do this again however!,English,27
24,Yes,,English,28
25,Yes,A very brief and quite enjoyable survey.,English,61
26,Yes,,English,34
27,Yes,,English,38
28,Yes,,english,35
29,Yes,,English,48
30,Yes,,English,31
31,Yes,,English,49
32,Yes,Interesting study,English,40
33,Yes,I think a lot of people would have been caught at a surprise about these questions. Very Clever. ,English,31
34,Yes,,English,29
35,Yes,,English,58
36,Yes,,english,33
37,Yes,fun!,english,39
38,Yes,,English,34
39,Yes,Thanks for the opportunity to participate and good luck with your research!,English,53
40,Yes,Interesting study,English,52
41,Yes,,English,32
42,Yes,Have a nice day!,English,37
43,Yes,none thanks,English,29
44,Yes,,English,29
45,Yes,,english,56
46,Yes,,english,29
47,Yes,good,english,30
48,Yes,,english,29
49,Yes,,English,36
50,Yes,none,English ,48
51,Yes,,English,25
52,Yes,,english,41
53,Yes,This survey is very good and interesting,English,39
54,Yes,,English,37
55,Yes,,English ,32
56,Yes,GOOD,ENGLISH,27
57,Yes,,English,36
58,Yes,"It seemed for the most part the fact didn't play a big part in helping me make my judgements. For a few items, the fact was a major consideration, though.",English,51
59,Yes,,ENGLISH,32
60,Yes,,English,60
61,Yes,,English,25
62,Yes,,English,35
63,Yes,,English,40
64,Yes,,English,33
65,Yes,no comments,english,34
66,Yes,,English,26
67,Yes,nice,english,27
68,Yes,No additional comments.,English,30
69,Yes,,english,31
70,Yes,fun,english,35
71,Yes,,English,30
72,Yes,,English,32
73,Yes,thank you!,English,36
74,Yes,,English,26
75,Yes,n/a,English,35
76,Yes,,english,41
77,Yes,,English,25
78,Yes,,english,53
79,Yes,"I enjoyed the study. Speech can be misinterpreted
sometimes ",English,58
80,Yes,,English,33
81,Yes,This is fun and interesting!,English,49
82,Yes,,English,55
83,Yes,,English,54
84,Yes,"These questions are answered as a matter of perspective, in my opinion.",English,54
85,Yes,Thank you,English,45
86,Yes,Some parts of this were more difficult than I expected they would be. The way the some of the sentences were worded made the meaning of the sentence seem vague.,English,27
87,Yes,,English,35
88,Yes,"Interesting experiment, it would be nice to see the results and how they compare to others.",English,29
89,Yes,Thanks,English,26
90,Yes,,english,25
91,Yes,,english,27
92,Yes,,English,34
93,Yes,good survey,English,36
94,Yes,,English,54
95,Yes,Fun study,english,31
96,No,,Nepali,30
97,Yes,Yes please!,English,38
98,Yes,,English,33
99,Yes,,English,55
100,Yes,,english,34
101,Yes,Interesting and fun!  Thank you!,English,46
102,Yes,,English,30
103,Yes,,English,26
104,Yes,,English,39
105,Yes,everything was okay,English,31
106,Yes,nice task to do,ENGLISH,61
107,Yes,I like this experiment,English,30
108,Yes,,eng,40
109,Yes,,English,29
110,Yes,Enjoyable survey...thanks!,English,46
111,Yes,,English,51
112,Yes,,English,26
113,Yes,,English,26
114,,,,
115,Yes,,english,50
116,Yes,,english,31
117,Yes,,english,34
118,Yes,Very good and nice.,English,34
