item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
confess_charley,charley,confess,27,high_prior,Charley lives in Mexico,block1,0.98,0.25,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.377823780951751,0.35207468879668047,0.25103734439834025,0.9781467181467182
confess_charley,charley,confess,97,low_prior,Charley lives in Korea,block1,0.96,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19825650946037793,0.33207468879668045,0.012033195020746887,0.9582239382239381
confess_charley,charley,confess,275,low_prior,Charley lives in Korea,block1,0.73,0.12,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19825650946037793,0.10207468879668047,0.12157676348547716,0.7291119691119691
confess_charley,charley,confess,350,high_prior,Charley lives in Mexico,block1,0.48,0.71,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.377823780951751,-0.14792531120331953,0.7091286307053941,0.48007722007722003
confess_charley,charley,confess,476,high_prior,Charley lives in Mexico,block1,0.28,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.377823780951751,-0.3479253112033195,0.002074688796680498,0.2808494208494209
confess_charley,charley,confess,484,low_prior,Charley lives in Korea,block1,0.7,0.32,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19825650946037793,0.07207468879668044,0.32074688796680495,0.6992277992277992
confess_danny,danny,confess,31,low_prior,Danny is a diabetic,block1,0.75,0.78,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21739266926469913,0.12207468879668049,0.778838174273859,0.749034749034749
confess_danny,danny,confess,38,low_prior,Danny is a diabetic,block1,0.38,0.63,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21739266926469913,-0.2479253112033195,0.629460580912863,0.3804633204633205
confess_danny,danny,confess,89,low_prior,Danny is a diabetic,block1,0.87,0.74,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21739266926469913,0.24207468879668048,0.7390041493775933,0.8685714285714285
confess_danny,danny,confess,94,high_prior,Danny loves cake,block1,1,0.03,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22062525647153647,0.3720746887966805,0.031950207468879666,0.9980694980694981
confess_danny,danny,confess,164,high_prior,Danny loves cake,block1,0.77,0.33,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22062525647153647,0.1420746887966805,0.33070539419087136,0.7689575289575289
confess_danny,danny,confess,192,high_prior,Danny loves cake,block1,0.30000000000000004,0.21,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22062525647153647,-0.32792531120331947,0.2112033195020747,0.3007722007722008
confess_danny,danny,confess,218,high_prior,Danny loves cake,block1,0.6799999999999999,0.06,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22062525647153647,0.052074688796680424,0.061825726141078834,0.6793050193050193
confess_danny,danny,confess,253,low_prior,Danny is a diabetic,block1,0.02000000000000001,0.02,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21739266926469913,-0.6079253112033195,0.021991701244813276,0.021853281853281864
confess_danny,danny,confess,345,low_prior,Danny is a diabetic,block1,0.72,0.52,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21739266926469913,0.09207468879668046,0.5199170124481328,0.7191505791505791
confess_danny,danny,confess,370,low_prior,Danny is a diabetic,block1,0.31999999999999995,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21739266926469913,-0.30792531120331956,0.002074688796680498,0.32069498069498065
confess_danny,danny,confess,418,high_prior,Danny loves cake,block1,0.91,0.65,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22062525647153647,0.2820746887966805,0.6493775933609959,0.9084169884169884
