item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
think_charley,charley,think,41,low_prior,Charley lives in Korea,block1,0.86,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626063617408548,0.15896265560165979,0.021991701244813276,0.8586100386100386
think_charley,charley,think,192,high_prior,Charley lives in Mexico,block1,0.45,0.18,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.41347392867127414,-0.2510373443983402,0.1813278008298755,0.4501930501930502
think_charley,charley,think,214,high_prior,Charley lives in Mexico,block1,0.87,0.53,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.41347392867127414,0.1689626556016598,0.5298755186721992,0.8685714285714285
think_charley,charley,think,219,low_prior,Charley lives in Korea,block1,0,0.48,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626063617408548,-0.7010373443983402,0.4800829875518672,0.0019305019305019305
think_charley,charley,think,325,low_prior,Charley lives in Korea,block1,0.20999999999999996,0.81,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626063617408548,-0.49103734439834024,0.8087136929460581,0.2111196911196911
think_charley,charley,think,377,high_prior,Charley lives in Mexico,block1,0.84,0.25,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.41347392867127414,0.13896265560165977,0.25103734439834025,0.8386872586872587
think_charley,charley,think,489,high_prior,Charley lives in Mexico,block1,0.61,0.28,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.41347392867127414,-0.09103734439834021,0.2809128630705394,0.6095752895752895
think_charley,charley,think,506,high_prior,Charley lives in Mexico,block1,0.98,0.05,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.41347392867127414,0.2789626556016598,0.05186721991701245,0.9781467181467182
think_charley,charley,think,507,high_prior,Charley lives in Mexico,block1,1,0.49,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.41347392867127414,0.2989626556016598,0.4900414937759336,0.9980694980694981
think_charley,charley,think,562,high_prior,Charley lives in Mexico,block1,0.95,0.47,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.41347392867127414,0.24896265560165975,0.4701244813278008,0.9482625482625482
think_danny,danny,think,145,high_prior,Danny loves cake,block1,0.41,0.43,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2562754041910596,-0.2910373443983402,0.4302904564315353,0.4103474903474903
think_danny,danny,think,234,high_prior,Danny loves cake,block1,0.5,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2562754041910596,-0.2010373443983402,0.002074688796680498,0.5
think_danny,danny,think,332,low_prior,Danny is a diabetic,block1,0.4,0.16,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.181742521545176,-0.3010373443983402,0.16141078838174272,0.4003861003861004
think_danny,danny,think,333,low_prior,Danny is a diabetic,block1,0.8,0.15,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.181742521545176,0.09896265560165984,0.15145228215767634,0.7988416988416989
