item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
confess_charley,charley,confess,11,high_prior,Charley lives in Mexico,block2,0.95,0.49,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38530583499016013,0.3755984555984555,0.49003861003861005,0.9482625482625482
confess_charley,charley,confess,40,high_prior,Charley lives in Mexico,block2,0.03000000000000002,0.74,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38530583499016013,-0.5444015444015444,0.739073359073359,0.03181467181467183
confess_charley,charley,confess,181,low_prior,Charley lives in Korea,block2,0.32999999999999996,0.1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1907744554219688,-0.2444015444015445,0.10154440154440154,0.3306563706563706
confess_charley,charley,confess,277,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1907744554219688,0.42559845559845555,0.9980694980694981,0.9980694980694981
confess_charley,charley,confess,396,high_prior,Charley lives in Mexico,block2,0.09999999999999998,0.21,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38530583499016013,-0.4744015444015445,0.21111969111969112,0.10154440154440152
confess_charley,charley,confess,468,high_prior,Charley lives in Mexico,block2,0.94,0.14,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38530583499016013,0.3655984555984555,0.1413899613899614,0.9383011583011582
confess_charley,charley,confess,492,high_prior,Charley lives in Mexico,block2,0.91,0.07,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38530583499016013,0.3355984555984556,0.07166023166023167,0.9084169884169884
confess_charley,charley,confess,570,low_prior,Charley lives in Korea,block2,0.02000000000000001,0.05,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1907744554219688,-0.5544015444015444,0.051737451737451735,0.021853281853281864
confess_danny,danny,confess,20,high_prior,Danny loves cake,block2,0.02000000000000001,0.73,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2281073105099456,-0.5544015444015444,0.7291119691119691,0.021853281853281864
confess_danny,danny,confess,29,low_prior,Danny is a diabetic,block2,0.32999999999999996,0.8,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.20991061522629,-0.2444015444015445,0.7988416988416989,0.3306563706563706
