item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
establish_charley,charley,establish,50,high_prior,Charley lives in Mexico,block2,0.53,0.79,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4045199208083151,0.15791505791505794,0.7888803088803089,0.5298841698841699
establish_charley,charley,establish,55,high_prior,Charley lives in Mexico,block2,0.16000000000000003,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4045199208083151,-0.21208494208494205,0.39042471042471044,0.16131274131274134
establish_charley,charley,establish,115,high_prior,Charley lives in Mexico,block2,0.27,0.23,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4045199208083151,-0.10208494208494207,0.23104247104247105,0.27088803088803093
establish_charley,charley,establish,123,high_prior,Charley lives in Mexico,block2,0.6799999999999999,0.56,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4045199208083151,0.30791505791505785,0.5597683397683398,0.6793050193050193
establish_charley,charley,establish,180,low_prior,Charley lives in Korea,block2,0.11,0.13,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.17156036960381382,-0.2620849420849421,0.13142857142857142,0.1115057915057915
establish_charley,charley,establish,198,high_prior,Charley lives in Mexico,block2,0.03000000000000002,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4045199208083151,-0.34208494208494206,0.9781467181467182,0.03181467181467183
establish_charley,charley,establish,338,high_prior,Charley lives in Mexico,block2,0.98,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4045199208083151,0.6079150579150578,0.9582239382239381,0.9781467181467182
establish_charley,charley,establish,343,low_prior,Charley lives in Korea,block2,0.30000000000000004,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.17156036960381382,-0.07208494208494204,0.0019305019305019305,0.3007722007722008
establish_charley,charley,establish,394,high_prior,Charley lives in Mexico,block2,0,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4045199208083151,-0.3720849420849421,0.0019305019305019305,0.0019305019305019305
establish_charley,charley,establish,481,high_prior,Charley lives in Mexico,block2,0.86,0.74,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4045199208083151,0.4879150579150579,0.739073359073359,0.8586100386100386
establish_charley,charley,establish,512,low_prior,Charley lives in Korea,block2,0.4,0.09,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.17156036960381382,0.02791505791505794,0.09158301158301158,0.4003861003861004
establish_charley,charley,establish,561,high_prior,Charley lives in Mexico,block2,0.36,0.29,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4045199208083151,-0.012084942084942096,0.2908108108108108,0.3605405405405405
establish_danny,danny,establish,111,low_prior,Danny is a diabetic,block2,0.49,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.19069652940813503,0.11791505791505791,0.0019305019305019305,0.49003861003861005
establish_danny,danny,establish,165,low_prior,Danny is a diabetic,block2,0.18999999999999995,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.19069652940813503,-0.18208494208494214,0.0019305019305019305,0.19119691119691115
establish_danny,danny,establish,196,low_prior,Danny is a diabetic,block2,0.78,0.62,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.19069652940813503,0.40791505791505794,0.6195366795366796,0.778918918918919
establish_danny,danny,establish,211,high_prior,Danny loves cake,block2,0.01,0.48,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.24732139632810057,-0.3620849420849421,0.48007722007722003,0.011891891891891892
establish_danny,danny,establish,212,low_prior,Danny is a diabetic,block2,0.17000000000000004,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.19069652940813503,-0.20208494208494204,0.0019305019305019305,0.17127413127413132
establish_danny,danny,establish,262,low_prior,Danny is a diabetic,block2,0,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.19069652940813503,-0.3720849420849421,0.9980694980694981,0.0019305019305019305
establish_danny,danny,establish,367,low_prior,Danny is a diabetic,block2,0.94,0.79,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.19069652940813503,0.5679150579150578,0.7888803088803089,0.9383011583011582
establish_danny,danny,establish,580,high_prior,Danny loves cake,block2,0.83,0.88,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.24732139632810057,0.4579150579150579,0.8785328185328185,0.8287258687258686
establish_emily,emily,establish,151,high_prior,Emily has been saving for a year,block2,0.02000000000000001,0.02,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.07887429511617783,-0.35208494208494207,0.021853281853281854,0.021853281853281864
establish_emily,emily,establish,160,high_prior,Emily has been saving for a year,block2,0.47,0.02,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.07887429511617783,0.09791505791505789,0.021853281853281854,0.4701158301158301
