item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
inform_charley,charley,inform,30,high_prior,Charley lives in Mexico,block2,1,0.81,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.43092966863271137,0.21050193050193056,0.8088030888030888,0.9980694980694981
inform_charley,charley,inform,109,low_prior,Charley lives in Korea,block2,0.47,0.48,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.14515062177941757,-0.31949806949806947,0.48007722007722003,0.4701158301158301
inform_charley,charley,inform,148,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.14515062177941757,0.21050193050193056,0.9980694980694981,0.9980694980694981
inform_charley,charley,inform,179,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.14515062177941757,0.21050193050193056,0.9980694980694981,0.9980694980694981
inform_charley,charley,inform,340,low_prior,Charley lives in Korea,block2,0.6,0.88,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.14515062177941757,-0.18949806949806947,0.8785328185328185,0.5996138996138995
inform_charley,charley,inform,393,high_prior,Charley lives in Mexico,block2,0.97,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.43092966863271137,0.18050193050193053,0.9781467181467182,0.9681853281853281
inform_charley,charley,inform,470,high_prior,Charley lives in Mexico,block2,0.78,0.8,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.43092966863271137,-0.009498069498069417,0.7988416988416989,0.778918918918919
inform_charley,charley,inform,490,high_prior,Charley lives in Mexico,block2,0.96,0.78,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.43092966863271137,0.17050193050193052,0.778918918918919,0.9582239382239381
inform_charley,charley,inform,503,low_prior,Charley lives in Korea,block2,0.96,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.14515062177941757,0.17050193050193052,0.9681853281853281,0.9582239382239381
inform_charley,charley,inform,586,low_prior,Charley lives in Korea,block2,0.95,0.27,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.14515062177941757,0.1605019305019305,0.27088803088803093,0.9482625482625482
