item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
reveal_charley,charley,reveal,29,high_prior,Charley lives in Mexico,block2,0.7,0.19,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.37990006856796144,0.11613899613899614,0.1911969111969112,0.6992277992277992
reveal_charley,charley,reveal,44,low_prior,Charley lives in Korea,block2,0.99,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1961802218441675,0.4061389961389962,0.9681853281853281,0.988108108108108
reveal_charley,charley,reveal,68,high_prior,Charley lives in Mexico,block2,0.49,0.55,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.37990006856796144,-0.09386100386100382,0.5498069498069498,0.49003861003861005
reveal_charley,charley,reveal,141,high_prior,Charley lives in Mexico,block2,0.12,0.77,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.37990006856796144,-0.4638610038610038,0.7689575289575289,0.12146718146718145
reveal_charley,charley,reveal,228,high_prior,Charley lives in Mexico,block2,0.99,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.37990006856796144,0.4061389961389962,0.9681853281853281,0.988108108108108
reveal_charley,charley,reveal,248,low_prior,Charley lives in Korea,block2,0.51,0.87,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1961802218441675,-0.0738610038610038,0.8685714285714285,0.50996138996139
reveal_charley,charley,reveal,278,low_prior,Charley lives in Korea,block2,0.47,0.04,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1961802218441675,-0.11386100386100384,0.04177606177606178,0.4701158301158301
reveal_charley,charley,reveal,291,low_prior,Charley lives in Korea,block2,0.97,0.76,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1961802218441675,0.38613899613899616,0.758996138996139,0.9681853281853281
reveal_charley,charley,reveal,441,high_prior,Charley lives in Mexico,block2,0.65,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.37990006856796144,0.06613899613899621,0.39042471042471044,0.6494208494208494
reveal_charley,charley,reveal,478,high_prior,Charley lives in Mexico,block2,0.42,0.66,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.37990006856796144,-0.16386100386100383,0.6593822393822394,0.4203088803088803
reveal_charley,charley,reveal,494,low_prior,Charley lives in Korea,block2,0.19999999999999996,0.14,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1961802218441675,-0.38386100386100386,0.1413899613899614,0.2011583011583011
reveal_charley,charley,reveal,508,low_prior,Charley lives in Korea,block2,1,0.78,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1961802218441675,0.4161389961389962,0.778918918918919,0.9980694980694981
reveal_charley,charley,reveal,518,high_prior,Charley lives in Mexico,block2,0.98,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.37990006856796144,0.39613899613899617,0.9482625482625482,0.9781467181467182
reveal_charley,charley,reveal,524,low_prior,Charley lives in Korea,block2,0.97,0.91,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1961802218441675,0.38613899613899616,0.9084169884169884,0.9681853281853281
reveal_charley,charley,reveal,582,high_prior,Charley lives in Mexico,block2,1,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.37990006856796144,0.4161389961389962,0.0019305019305019305,0.9980694980694981
reveal_danny,danny,reveal,93,high_prior,Danny loves cake,block2,0.05000000000000004,0.02,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2227015440877469,-0.5338610038610038,0.021853281853281854,0.05173745173745177
