item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
suggest_charley,charley,suggest,79,low_prior,Charley lives in Korea,block2,0.02000000000000001,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16775082399091407,-0.4966795366795367,0.021853281853281854,0.021853281853281864
suggest_charley,charley,suggest,134,low_prior,Charley lives in Korea,block2,0,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16775082399091407,-0.5166795366795367,0.021853281853281854,0.0019305019305019305
suggest_charley,charley,suggest,197,high_prior,Charley lives in Mexico,block2,0,0.75,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.40832946642121487,-0.5166795366795367,0.749034749034749,0.0019305019305019305
suggest_charley,charley,suggest,211,high_prior,Charley lives in Mexico,block2,0.51,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.40832946642121487,-0.006679536679536691,0.021853281853281854,0.50996138996139
suggest_charley,charley,suggest,262,low_prior,Charley lives in Korea,block2,0,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16775082399091407,-0.5166795366795367,0.0019305019305019305,0.0019305019305019305
suggest_charley,charley,suggest,308,low_prior,Charley lives in Korea,block2,0.02000000000000001,0.22,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16775082399091407,-0.4966795366795367,0.22108108108108107,0.021853281853281864
suggest_charley,charley,suggest,321,low_prior,Charley lives in Korea,block2,0.98,0.04,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16775082399091407,0.4633204633204633,0.04177606177606178,0.9781467181467182
suggest_charley,charley,suggest,347,high_prior,Charley lives in Mexico,block2,0.03000000000000002,0.59,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.40832946642121487,-0.4866795366795367,0.5896525096525096,0.03181467181467183
suggest_charley,charley,suggest,401,low_prior,Charley lives in Korea,block2,1,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16775082399091407,0.4833204633204633,0.39042471042471044,0.9980694980694981
suggest_charley,charley,suggest,439,high_prior,Charley lives in Mexico,block2,0.21999999999999997,0.24,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.40832946642121487,-0.2966795366795367,0.24100386100386098,0.22108108108108104
suggest_charley,charley,suggest,528,high_prior,Charley lives in Mexico,block2,0.76,0.2,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.40832946642121487,0.2433204633204633,0.20115830115830116,0.758996138996139
