item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
admit_charley,charley,admit,2,low_prior,Charley lives in Korea,block2,1,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.39586,0.001,0.999
admit_charley,charley,admit,8,low_prior,Charley lives in Korea,block1,0.95,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.34585999999999995,0.02096,0.9490999999999999
admit_charley,charley,admit,70,low_prior,Charley lives in Korea,block1,0.99,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.38586,0.9490999999999999,0.98902
admit_charley,charley,admit,98,low_prior,Charley lives in Korea,block1,0.37,0.27,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,-0.23414000000000001,0.27046000000000003,0.37026
admit_charley,charley,admit,144,low_prior,Charley lives in Korea,block2,0.28,0.12,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,-0.32414,0.12075999999999999,0.2804400000000001
admit_charley,charley,admit,153,high_prior,Charley lives in Mexico,block2,0.75,0.66,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,0.14586,0.65968,0.7495
admit_charley,charley,admit,156,high_prior,Charley lives in Mexico,block1,0.96,0.89,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,0.35585999999999995,0.88922,0.9590799999999999
admit_charley,charley,admit,206,high_prior,Charley lives in Mexico,block2,0.83,0.64,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,0.22585999999999995,0.6397200000000001,0.82934
admit_charley,charley,admit,225,low_prior,Charley lives in Korea,block2,0.72,0.66,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.11585999999999996,0.65968,0.71956
admit_charley,charley,admit,251,low_prior,Charley lives in Korea,block2,1,0.85,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.39586,0.8492999999999999,0.999
admit_charley,charley,admit,266,high_prior,Charley lives in Mexico,block2,0.03000000000000002,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,-0.57414,0.9790399999999999,0.03094000000000002
admit_charley,charley,admit,279,low_prior,Charley lives in Korea,block1,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.39586,0.999,0.999
admit_charley,charley,admit,282,high_prior,Charley lives in Mexico,block2,0.96,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,0.35585999999999995,0.9790399999999999,0.9590799999999999
admit_charley,charley,admit,283,low_prior,Charley lives in Korea,block1,0.06000000000000005,0.04,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,-0.54414,0.040920000000000005,0.06088000000000005
admit_charley,charley,admit,287,high_prior,Charley lives in Mexico,block1,1,0.71,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,0.39586,0.7095799999999999,0.999
admit_charley,charley,admit,318,low_prior,Charley lives in Korea,block1,0.6,0.84,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,-0.0041400000000000325,0.83932,0.5998
admit_charley,charley,admit,335,low_prior,Charley lives in Korea,block2,0.5800000000000001,0.41,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,-0.02413999999999994,0.41017999999999993,0.57984
admit_charley,charley,admit,349,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.39586,0.999,0.999
admit_charley,charley,admit,392,high_prior,Charley lives in Mexico,block2,0.99,0.47,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,0.38586,0.4700599999999999,0.98902
admit_charley,charley,admit,430,high_prior,Charley lives in Mexico,block2,0.32999999999999996,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,-0.27414000000000005,0.9590799999999999,0.33033999999999997
admit_charley,charley,admit,446,high_prior,Charley lives in Mexico,block2,0.51,0.18,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,-0.09414,0.18064,0.50998
admit_charley,charley,admit,460,low_prior,Charley lives in Korea,block2,0.46,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,-0.14414,0.01098,0.46008000000000004
admit_charley,charley,admit,463,low_prior,Charley lives in Korea,block1,0.98,0.35,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.37585999999999997,0.35029999999999994,0.9790399999999999
admit_charley,charley,admit,475,low_prior,Charley lives in Korea,block1,1,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.39586,0.001,0.999
admit_charley,charley,admit,483,low_prior,Charley lives in Korea,block1,0.96,0.69,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.35585999999999995,0.6896199999999999,0.9590799999999999
admit_charley,charley,admit,497,low_prior,Charley lives in Korea,block2,0.92,0.77,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.31586000000000003,0.76946,0.9191600000000001
admit_charley,charley,admit,505,low_prior,Charley lives in Korea,block2,0.94,0.79,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.33585999999999994,0.7894200000000001,0.9391199999999998
admit_charley,charley,admit,519,high_prior,Charley lives in Mexico,block1,0.97,0.03,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,0.36585999999999996,0.03094,0.9690599999999999
admit_charley,charley,admit,544,low_prior,Charley lives in Korea,block1,1,0.3,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.39586,0.3004,0.999
admit_charley,charley,admit,555,high_prior,Charley lives in Mexico,block1,0.93,0.3,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.379295949354342,0.32586000000000004,0.3004,0.9291400000000001
admit_charley,charley,admit,566,low_prior,Charley lives in Korea,block2,0.46,0.3,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,-0.14414,0.3004,0.46008000000000004
admit_charley,charley,admit,584,low_prior,Charley lives in Korea,block2,0.87,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19678434105778692,0.26586,0.9690599999999999,0.86926
admit_danny,danny,admit,24,high_prior,Danny loves cake,block1,1,0.78,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22209742487412748,0.39586,0.77944,0.999
