item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
confess_charley,charley,confess,11,high_prior,Charley lives in Mexico,block2,0.95,0.49,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38169948494364697,0.3498,0.49001999999999996,0.9490999999999999
confess_charley,charley,confess,27,high_prior,Charley lives in Mexico,block1,0.98,0.25,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38169948494364697,0.3798,0.2505,0.9790399999999999
confess_charley,charley,confess,40,high_prior,Charley lives in Mexico,block2,0.03000000000000002,0.74,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38169948494364697,-0.5701999999999999,0.73952,0.03094000000000002
confess_charley,charley,confess,97,low_prior,Charley lives in Korea,block1,0.96,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19438080546848197,0.3598,0.01098,0.9590799999999999
confess_charley,charley,confess,181,low_prior,Charley lives in Korea,block2,0.32999999999999996,0.1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19438080546848197,-0.2702,0.10080000000000001,0.33033999999999997
confess_charley,charley,confess,275,low_prior,Charley lives in Korea,block1,0.73,0.12,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19438080546848197,0.12980000000000003,0.12075999999999999,0.72954
confess_charley,charley,confess,277,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19438080546848197,0.39980000000000004,0.999,0.999
confess_charley,charley,confess,350,high_prior,Charley lives in Mexico,block1,0.48,0.71,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38169948494364697,-0.12019999999999997,0.7095799999999999,0.48003999999999997
confess_charley,charley,confess,396,high_prior,Charley lives in Mexico,block2,0.09999999999999998,0.21,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38169948494364697,-0.5002,0.21058,0.10079999999999999
confess_charley,charley,confess,468,high_prior,Charley lives in Mexico,block2,0.94,0.14,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38169948494364697,0.3398,0.14072000000000004,0.9391199999999998
confess_charley,charley,confess,476,high_prior,Charley lives in Mexico,block1,0.28,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38169948494364697,-0.32019999999999993,0.001,0.2804400000000001
confess_charley,charley,confess,484,low_prior,Charley lives in Korea,block1,0.7,0.32,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19438080546848197,0.0998,0.32036000000000003,0.6995999999999999
confess_charley,charley,confess,492,high_prior,Charley lives in Mexico,block2,0.91,0.07,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38169948494364697,0.3098000000000001,0.07086000000000002,0.9091800000000001
confess_charley,charley,confess,570,low_prior,Charley lives in Korea,block2,0.02000000000000001,0.05,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19438080546848197,-0.5801999999999999,0.05090000000000001,0.02096000000000001
confess_danny,danny,confess,20,high_prior,Danny loves cake,block2,0.02000000000000001,0.73,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22450096046343243,-0.5801999999999999,0.72954,0.02096000000000001
confess_danny,danny,confess,29,low_prior,Danny is a diabetic,block2,0.32999999999999996,0.8,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21351696527280317,-0.2702,0.7994000000000001,0.33033999999999997
confess_danny,danny,confess,31,low_prior,Danny is a diabetic,block1,0.75,0.78,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21351696527280317,0.14980000000000004,0.77944,0.7495
confess_danny,danny,confess,38,low_prior,Danny is a diabetic,block1,0.38,0.63,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21351696527280317,-0.22019999999999995,0.62974,0.38024
confess_danny,danny,confess,89,low_prior,Danny is a diabetic,block1,0.87,0.74,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21351696527280317,0.26980000000000004,0.73952,0.86926
confess_danny,danny,confess,94,high_prior,Danny loves cake,block1,1,0.03,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22450096046343243,0.39980000000000004,0.03094,0.999
confess_danny,danny,confess,127,low_prior,Danny is a diabetic,block2,0.96,0.01,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21351696527280317,0.3598,0.01098,0.9590799999999999
confess_danny,danny,confess,164,high_prior,Danny loves cake,block1,0.77,0.33,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22450096046343243,0.16980000000000006,0.33034,0.76946
confess_danny,danny,confess,168,high_prior,Danny loves cake,block2,0.43999999999999995,0.27,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22450096046343243,-0.1602,0.27046000000000003,0.44011999999999996
confess_danny,danny,confess,192,high_prior,Danny loves cake,block1,0.30000000000000004,0.21,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22450096046343243,-0.3001999999999999,0.21058,0.30040000000000006
confess_danny,danny,confess,218,high_prior,Danny loves cake,block1,0.6799999999999999,0.06,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22450096046343243,0.07979999999999998,0.06088,0.67964
confess_danny,danny,confess,253,low_prior,Danny is a diabetic,block1,0.02000000000000001,0.02,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21351696527280317,-0.5801999999999999,0.02096,0.02096000000000001
confess_danny,danny,confess,345,low_prior,Danny is a diabetic,block1,0.72,0.52,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21351696527280317,0.11980000000000002,0.5199600000000001,0.71956
confess_danny,danny,confess,370,low_prior,Danny is a diabetic,block1,0.31999999999999995,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21351696527280317,-0.2802,0.001,0.32036
confess_danny,danny,confess,403,low_prior,Danny is a diabetic,block2,0.02000000000000001,0.62,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21351696527280317,-0.5801999999999999,0.61976,0.02096000000000001
confess_danny,danny,confess,418,high_prior,Danny loves cake,block1,0.91,0.65,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.22450096046343243,0.3098000000000001,0.6497,0.9091800000000001
