item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
confirm_charley,charley,confirm,3,low_prior,Charley lives in Korea,block1,0.17000000000000004,0.05,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16777616867997064,-0.16691999999999996,0.05090000000000001,0.17066000000000006
confirm_charley,charley,confirm,14,low_prior,Charley lives in Korea,block2,0.51,0.22,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16777616867997064,0.17308,0.22056,0.50998
confirm_charley,charley,confirm,22,high_prior,Charley lives in Mexico,block1,0.02000000000000001,0.24,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.31692,0.24051999999999998,0.02096000000000001
confirm_charley,charley,confirm,90,high_prior,Charley lives in Mexico,block2,0,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.33692,0.5,0.001
confirm_charley,charley,confirm,131,high_prior,Charley lives in Mexico,block1,0.01,0.21,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.32692,0.21058,0.01098
confirm_charley,charley,confirm,143,high_prior,Charley lives in Mexico,block2,0,0.05,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.33692,0.05090000000000001,0.001
confirm_charley,charley,confirm,187,high_prior,Charley lives in Mexico,block2,0,0.49,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.33692,0.49001999999999996,0.001
confirm_charley,charley,confirm,190,low_prior,Charley lives in Korea,block1,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16777616867997064,0.66308,0.999,0.999
confirm_charley,charley,confirm,239,high_prior,Charley lives in Mexico,block1,1,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,0.66308,0.001,0.999
confirm_charley,charley,confirm,265,high_prior,Charley lives in Mexico,block2,0.86,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,0.52308,0.999,0.8592799999999999
confirm_charley,charley,confirm,299,high_prior,Charley lives in Mexico,block2,0.43999999999999995,0.08,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,0.10307999999999995,0.08084000000000001,0.44011999999999996
confirm_charley,charley,confirm,304,high_prior,Charley lives in Mexico,block1,0.20999999999999996,0.36,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.12692000000000003,0.36028,0.21057999999999996
confirm_charley,charley,confirm,305,low_prior,Charley lives in Korea,block2,0.32999999999999996,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16777616867997064,-0.006920000000000037,0.001,0.33033999999999997
confirm_charley,charley,confirm,322,high_prior,Charley lives in Mexico,block2,0.19999999999999996,0.34,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.13692000000000004,0.34032000000000007,0.20059999999999997
confirm_charley,charley,confirm,326,high_prior,Charley lives in Mexico,block2,0,0.01,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.33692,0.01098,0.001
confirm_charley,charley,confirm,339,low_prior,Charley lives in Korea,block1,0.39,0.25,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16777616867997064,0.053080000000000016,0.2505,0.39022
confirm_charley,charley,confirm,368,high_prior,Charley lives in Mexico,block2,0.46,0.6,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,0.12308000000000002,0.5998,0.46008000000000004
confirm_charley,charley,confirm,423,high_prior,Charley lives in Mexico,block1,0.02000000000000001,0.26,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.31692,0.26048000000000004,0.02096000000000001
confirm_charley,charley,confirm,448,low_prior,Charley lives in Korea,block1,0.11,0.08,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16777616867997064,-0.22692,0.08084000000000001,0.11078
confirm_charley,charley,confirm,458,high_prior,Charley lives in Mexico,block2,0.92,0.47,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,0.58308,0.4700599999999999,0.9191600000000001
confirm_charley,charley,confirm,461,low_prior,Charley lives in Korea,block1,0.20999999999999996,0.05,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.16777616867997064,-0.12692000000000003,0.05090000000000001,0.21057999999999996
confirm_charley,charley,confirm,513,high_prior,Charley lives in Mexico,block2,0.31999999999999995,0.48,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.016920000000000046,0.48003999999999997,0.32036
confirm_charley,charley,confirm,542,high_prior,Charley lives in Mexico,block2,0.13,0.31,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,-0.20692,0.31038,0.13074000000000002
confirm_charley,charley,confirm,574,high_prior,Charley lives in Mexico,block1,0.6599999999999999,0.18,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4083041217321583,0.3230799999999999,0.18064,0.6596799999999999
confirm_danny,danny,confirm,27,low_prior,Danny is a diabetic,block1,1,0.62,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.18691232848429185,0.66308,0.61976,0.999
