item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
hear_charley,charley,hear,6,low_prior,Charley lives in Korea,block1,0.19999999999999996,0.06,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,-0.5567000000000001,0.06088,0.20059999999999997
hear_charley,charley,hear,46,low_prior,Charley lives in Korea,block2,0.26,0.19,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,-0.49670000000000003,0.19062,0.26048000000000004
hear_charley,charley,hear,84,high_prior,Charley lives in Mexico,block1,0.91,0.67,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38024622579919015,0.1533,0.66966,0.9091800000000001
hear_charley,charley,hear,147,high_prior,Charley lives in Mexico,block1,1,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38024622579919015,0.24329999999999996,0.9790399999999999,0.999
hear_charley,charley,hear,152,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,0.24329999999999996,0.999,0.999
hear_charley,charley,hear,158,low_prior,Charley lives in Korea,block2,0.99,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,0.23329999999999995,0.98902,0.98902
hear_charley,charley,hear,166,low_prior,Charley lives in Korea,block2,0.5800000000000001,0.79,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,-0.17669999999999997,0.7894200000000001,0.57984
hear_charley,charley,hear,169,high_prior,Charley lives in Mexico,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38024622579919015,0.24329999999999996,0.999,0.999
hear_charley,charley,hear,186,high_prior,Charley lives in Mexico,block2,0.4,0.2,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38024622579919015,-0.3567,0.20060000000000003,0.40020000000000006
hear_charley,charley,hear,193,low_prior,Charley lives in Korea,block1,0.72,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,-0.036700000000000066,0.5,0.71956
hear_charley,charley,hear,212,high_prior,Charley lives in Mexico,block2,0.87,0.66,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38024622579919015,0.11329999999999996,0.65968,0.86926
hear_charley,charley,hear,220,low_prior,Charley lives in Korea,block1,0,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,-0.7567,0.001,0.001
hear_charley,charley,hear,327,high_prior,Charley lives in Mexico,block2,0.35,0.74,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38024622579919015,-0.40670000000000006,0.73952,0.35029999999999994
hear_charley,charley,hear,374,low_prior,Charley lives in Korea,block1,0.5,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,-0.25670000000000004,0.98902,0.5
hear_charley,charley,hear,379,low_prior,Charley lives in Korea,block1,0.5700000000000001,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,-0.18669999999999998,0.999,0.56986
hear_charley,charley,hear,387,low_prior,Charley lives in Korea,block1,0.92,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,0.1633,0.9690599999999999,0.9191600000000001
hear_charley,charley,hear,424,high_prior,Charley lives in Mexico,block2,0.91,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38024622579919015,0.1533,0.9590799999999999,0.9091800000000001
hear_charley,charley,hear,472,high_prior,Charley lives in Mexico,block1,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38024622579919015,0.24329999999999996,0.999,0.999
hear_charley,charley,hear,473,high_prior,Charley lives in Mexico,block1,0.15000000000000002,0.54,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.38024622579919015,-0.6067,0.5399200000000001,0.15070000000000003
hear_charley,charley,hear,486,low_prior,Charley lives in Korea,block2,0.8200000000000001,0.83,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,0.06330000000000002,0.82934,0.81936
hear_charley,charley,hear,517,low_prior,Charley lives in Korea,block2,0.91,0.91,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.19583406461293879,0.1533,0.9091800000000001,0.9091800000000001
hear_danny,danny,hear,3,high_prior,Danny loves cake,block1,0.65,0.82,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2230477013189756,-0.10670000000000002,0.8193599999999999,0.6497
hear_danny,danny,hear,64,high_prior,Danny loves cake,block1,1,0.27,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2230477013189756,0.24329999999999996,0.27046000000000003,0.999
hear_danny,danny,hear,87,high_prior,Danny loves cake,block1,1,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2230477013189756,0.24329999999999996,0.001,0.999
hear_danny,danny,hear,88,low_prior,Danny is a diabetic,block2,1,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21497022441726,0.24329999999999996,0.999,0.999
hear_danny,danny,hear,151,high_prior,Danny loves cake,block2,0.97,0.02,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2230477013189756,0.21329999999999993,0.02096,0.9690599999999999
hear_danny,danny,hear,199,low_prior,Danny is a diabetic,block2,0.03000000000000002,0.24,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21497022441726,-0.7267,0.24051999999999998,0.03094000000000002
hear_danny,danny,hear,205,high_prior,Danny loves cake,block1,0.87,0.76,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2230477013189756,0.11329999999999996,0.75948,0.86926
hear_danny,danny,hear,231,high_prior,Danny loves cake,block2,0.86,0.77,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2230477013189756,0.10329999999999995,0.76946,0.8592799999999999
hear_danny,danny,hear,245,high_prior,Danny loves cake,block1,0.89,0.62,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2230477013189756,0.13329999999999997,0.61976,0.88922
hear_danny,danny,hear,251,low_prior,Danny is a diabetic,block2,1,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21497022441726,0.24329999999999996,0.999,0.999
hear_danny,danny,hear,271,high_prior,Danny loves cake,block1,0.9,0.63,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2230477013189756,0.14329999999999998,0.62974,0.8992
hear_danny,danny,hear,275,low_prior,Danny is a diabetic,block1,0.56,0.98,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.21497022441726,-0.19669999999999999,0.9790399999999999,0.5598800000000002
