trigger_class,prior,workerid,rt,Answer.time_in_minutes,trigger,prior_fact,slide_number_in_experiment,response,question_type,content,block,short_trigger
C,low_prior,0,18802,3.9572,know,Jon lives 10 miles away from work,5,0.64,projective,jon,block1,know
C,high_prior,0,9254,3.9572,inform,Sophia is a hipster,6,0.86,projective,sophia,block1,inform
C,high_prior,0,22215,3.9572,prove,Emily has been saving for a year,7,0.4,projective,emily,block1,prove
C,low_prior,0,4347,3.9572,see,Julian is German,8,0.74,projective,julian,block1,see
C,low_prior,0,3159,3.9572,think,Danny is a diabetic,9,0.4,projective,danny,block1,think
C,high_prior,0,3465,3.9572,admit,Frank has always wanted a pet,10,0.28,projective,frank,block1,admit
C,low_prior,0,10111,3.9572,acknowledge,Josh is a 75-year old man,11,0.23,projective,josh,block1,acknowledge
C,high_prior,0,5773,3.9572,confirm,Olivia works the third shift,12,0.45,projective,olivia,block1,confirm
C,low_prior,0,5248,3.9572,confess,Mary is a middle school student,13,0.72,projective,mary,block1,confess
MC,,0,6604,3.9572,MC,Many children like ice cream,14,0.14,projective,kids,block1,MC
MC,,0,4867,3.9572,MC,Garages are used to store cars and other things,15,0.2,projective,garage,block1,MC
C,low_prior,0,11202,3.9572,discover,Jayden doesn't have a driver's license,16,0.23,projective,jayden,block1,discover
MC,,0,4961,3.9572,MC,Pizza is sold at the pizzeria,17,0.13,projective,pizza,block1,MC
C,high_prior,0,3430,3.9572,establish,Mia is a college student,18,0.58,projective,mia,block1,establish
C,high_prior,0,4691,3.9572,reveal,Josie loves France,19,0.8,projective,josie,block1,reveal
C,low_prior,0,3179,3.9572,announce,Jackson is obese,20,0.27,projective,jackson,block1,announce
MC,,0,2903,3.9572,MC,Ballet is a type of dance,21,0.1,projective,ballet,block1,MC
C,high_prior,0,2633,3.9572,hear,Isabella is from Argentina,22,0.67,projective,isabella,block1,hear
MC,,0,3046,3.9572,MC,Hats are worn on the head,23,0.22,projective,hat,block1,MC
C,low_prior,0,2581,3.9572,be_annoyed,Emma is in first grade,24,0.87,projective,emma,block1,be_annoyed
MC,,0,2267,3.9572,MC,Muffins are sold at the bakery,25,0.03,projective,muffins,block1,MC
