question_type,slide_number_in_experiment,rt,trigger,workerid,content,trigger_class,short_trigger,prior_fact,block,response,Answer.time_in_minutes,prior,gender,comments,language,american,age,trial
projective,5,5274,MC,0,pizza,MC,MC,Pizza is sold at the pizzeria,block1,0.1,2.8126,NA,male,NA,English,Yes,29,1
projective,6,2395,confirm,0,frank,C,confirm,Frank is allergic to cats,block1,0.76,2.8126,low_prior,male,NA,English,Yes,29,2
projective,7,4266,see,0,josh,C,see,Josh is a 5-year old boy,block1,0.89,2.8126,high_prior,male,NA,English,Yes,29,3
projective,8,3232,announce,0,emma,C,announce,Emma is in law school,block1,0.39,2.8126,high_prior,male,NA,English,Yes,29,4
projective,9,2058,MC,0,hat,MC,MC,Hats are worn on the head,block1,0.05,2.8126,NA,male,NA,English,Yes,29,5
projective,10,2208,reveal,0,zoe,C,reveal,Zoe is 5 years old,block1,0.89,2.8126,low_prior,male,NA,English,Yes,29,6
projective,11,4923,be_annoyed,0,isabella,C,be_annoyed,Isabella is a vegetarian,block1,0.93,2.8126,low_prior,male,NA,English,Yes,29,7
projective,12,2854,be_right,0,emily,C,be_right,Emily never has any money,block1,0.5,2.8126,low_prior,male,NA,English,Yes,29,8
projective,13,2360,MC,0,ballet,MC,MC,Ballet is a type of dance,block1,0.07,2.8126,NA,male,NA,English,Yes,29,9
projective,14,3048,MC,0,muffins,MC,MC,Muffins are sold at the bakery,block1,0.06,2.8126,NA,male,NA,English,Yes,29,10
projective,15,1983,prove,0,mia,C,prove,Mia is a nun,block1,0.76,2.8126,low_prior,male,NA,English,Yes,29,11
projective,16,2432,confess,0,danny,C,confess,Danny loves cake,block1,0.87,2.8126,high_prior,male,NA,English,Yes,29,12
projective,17,2082,demonstrate,0,tony,C,demonstrate,Tony has been sober for 20 years,block1,0.94,2.8126,low_prior,male,NA,English,Yes,29,13
projective,18,1925,inform,0,josie,C,inform,Josie loves France,block1,0.93,2.8126,high_prior,male,NA,English,Yes,29,14
projective,19,2890,MC,0,kids,MC,MC,Many children like ice cream,block1,0.06,2.8126,NA,male,NA,English,Yes,29,15
projective,20,4931,think,0,charley,C,think,Charley lives in Mexico,block1,0.18,2.8126,high_prior,male,NA,English,Yes,29,16
projective,21,2972,hear,0,grace,C,hear,Grace hates her sister,block1,0.81,2.8126,low_prior,male,NA,English,Yes,29,17
projective,22,3064,suggest,0,jayden,C,suggest,Jayden's car is in the shop,block1,0.28,2.8126,high_prior,male,NA,English,Yes,29,18
projective,23,3362,know,0,jon,C,know,Jon lives 10 miles away from work,block1,0.8,2.8126,low_prior,male,NA,English,Yes,29,19
projective,24,2384,establish,0,olivia,C,establish,Olivia has two small children,block1,0.7,2.8126,low_prior,male,NA,English,Yes,29,20
projective,25,1913,say,0,mary,C,say,Mary is a middle school student,block1,0.04,2.8126,low_prior,male,NA,English,Yes,29,21
projective,26,2245,MC,0,garage,MC,MC,Garages are used to store cars and other things,block1,0.02,2.8126,NA,male,NA,English,Yes,29,22
projective,27,4078,pretend,0,sophia,C,pretend,Sophia is a hipster,block1,0.74,2.8126,high_prior,male,NA,English,Yes,29,23
projective,28,2811,acknowledge,0,owen,C,acknowledge,Owen lives in Chicago,block1,0.87,2.8126,high_prior,male,NA,English,Yes,29,24
projective,29,2669,discover,0,jackson,C,discover,Jackson is training for a marathon,block1,0.9,2.8126,high_prior,male,NA,English,Yes,29,25
projective,30,2157,admit,0,julian,C,admit,Julian is Cuban,block1,0.87,2.8126,high_prior,male,NA,English,Yes,29,26
prior,32,3874,confess,0,danny,C,confess,Danny loves cake,block2,0.75,2.8126,high_prior,male,NA,English,Yes,29,27
prior,33,2188,see,0,josh,C,see,Josh is a 5-year old boy,block2,0.8,2.8126,high_prior,male,NA,English,Yes,29,28
prior,34,4429,MC,0,hat,MC,MC,Hats are worn on the head,block2,0.56,2.8126,NA,male,NA,English,Yes,29,29
prior,35,2381,admit,0,julian,C,admit,Julian is Cuban,block2,0.74,2.8126,high_prior,male,NA,English,Yes,29,30
prior,36,2468,say,0,mary,C,say,Mary is a middle school student,block2,0.14,2.8126,low_prior,male,NA,English,Yes,29,31
prior,37,2861,inform,0,josie,C,inform,Josie loves France,block2,0.91,2.8126,high_prior,male,NA,English,Yes,29,32
prior,38,2952,be_annoyed,0,isabella,C,be_annoyed,Isabella is a vegetarian,block2,0.1,2.8126,low_prior,male,NA,English,Yes,29,33
prior,39,2349,prove,0,mia,C,prove,Mia is a nun,block2,0,2.8126,low_prior,male,NA,English,Yes,29,34
prior,40,2552,announce,0,emma,C,announce,Emma is in law school,block2,0.86,2.8126,high_prior,male,NA,English,Yes,29,35
prior,41,2790,hear,0,grace,C,hear,Grace hates her sister,block2,0.1,2.8126,low_prior,male,NA,English,Yes,29,36
prior,42,2517,acknowledge,0,owen,C,acknowledge,Owen lives in Chicago,block2,0.93,2.8126,high_prior,male,NA,English,Yes,29,37
prior,43,2948,MC,0,muffins,MC,MC,Muffins are sold at the bakery,block2,0.63,2.8126,NA,male,NA,English,Yes,29,38
prior,44,2760,know,0,jon,C,know,Jon lives 10 miles away from work,block2,0.11,2.8126,low_prior,male,NA,English,Yes,29,39
prior,45,2901,MC,0,ballet,MC,MC,Ballet is a type of dance,block2,0.5,2.8126,NA,male,NA,English,Yes,29,40
prior,46,2500,think,0,charley,C,think,Charley lives in Mexico,block2,0.98,2.8126,high_prior,male,NA,English,Yes,29,41
prior,47,2141,confirm,0,frank,C,confirm,Frank is allergic to cats,block2,0,2.8126,low_prior,male,NA,English,Yes,29,42
prior,48,4143,MC,0,garage,MC,MC,Garages are used to store cars and other things,block2,0.16,2.8126,NA,male,NA,English,Yes,29,43
prior,49,4280,be_right,0,emily,C,be_right,Emily never has any money,block2,0.04,2.8126,low_prior,male,NA,English,Yes,29,44
prior,50,2691,establish,0,olivia,C,establish,Olivia has two small children,block2,0.06,2.8126,low_prior,male,NA,English,Yes,29,45
prior,51,3659,MC,0,kids,MC,MC,Many children like ice cream,block2,0.51,2.8126,NA,male,NA,English,Yes,29,46
prior,52,2661,MC,0,pizza,MC,MC,Pizza is sold at the pizzeria,block2,0.51,2.8126,NA,male,NA,English,Yes,29,47
prior,53,2111,demonstrate,0,tony,C,demonstrate,Tony has been sober for 20 years,block2,0,2.8126,low_prior,male,NA,English,Yes,29,48
prior,54,2279,discover,0,jackson,C,discover,Jackson is training for a marathon,block2,0.75,2.8126,high_prior,male,NA,English,Yes,29,49
prior,55,2594,pretend,0,sophia,C,pretend,Sophia is a hipster,block2,0.79,2.8126,high_prior,male,NA,English,Yes,29,50
prior,56,2868,suggest,0,jayden,C,suggest,Jayden's car is in the shop,block2,0.16,2.8126,high_prior,male,NA,English,Yes,29,51
prior,57,2401,reveal,0,zoe,C,reveal,Zoe is 5 years old,block2,0,2.8126,low_prior,male,NA,English,Yes,29,52
prior,5,15911,prove,1,jon,C,prove,Jon lives 10 miles away from work,block1,0.15,11.615533333333333,low_prior,male,NA,English,Yes,64,1
prior,6,9896,suggest,1,josie,C,suggest,Josie loves France,block1,0.96,11.615533333333333,high_prior,male,NA,English,Yes,64,2
prior,7,9265,know,1,mary,C,know,Mary is a middle school student,block1,0.01,11.615533333333333,low_prior,male,NA,English,Yes,64,3
prior,8,16180,confirm,1,julian,C,confirm,Julian is German,block1,0.49,11.615533333333333,low_prior,male,NA,English,Yes,64,4
prior,9,12779,see,1,josh,C,see,Josh is a 5-year old boy,block1,0.85,11.615533333333333,high_prior,male,NA,English,Yes,64,5
